Setup title,"Gate Scan Cycles"
Application test name,gate_scan_cycles
Test date,12/8/2017
Test time,15:28:06
Device ID,1
Count,4
Flags,!
Remarks,VFET-LED-good
Name,Gate,Source,Drain,False,VgStart,VgStop,VgStep,Vd,IgLimit,IntegTime,curr_cycle,Vs,HoldTime,DelayTime,DrainMinRng
Value,"SMU1:HP	HPSMU","SMU3:HR	HRSMU","SMU4:HR	HRSMU","SMU2:HR	HRSMU",-50,100,1,5,0.01,MEDIUM,0,0,0,0,1nA
Name,Polarity,Lg,Wg,Temp,IdMax,test_cycles
Value,1,1E-06,1E-05,25,0.01,11
Vgate,Idrain,Isource,Igate,t,cycle,Vdrain
-50,-2.1E-10,4.98527E-07,-1.37448E-06,0.02476,0,5
-49,-1.06E-10,5.9257E-09,-9.343E-09,0.29384,0,5
-48,9E-12,-3.6477E-09,1.0277E-08,0.60477,0,5
-47,9.4E-11,-1.16916E-08,2.5238E-08,0.82244,0,5
-46,6.2E-11,-5.387E-09,1.1778E-08,1.07343,0,5
-45,-5.6E-11,-1.00784E-08,2.4452E-08,1.31183,0,5
-44,-9.3E-11,-1.26609E-08,2.6732E-08,1.52378,0,5
-43,1.41E-10,-1.28659E-08,2.7024E-08,1.747,0,5
-42,-1.31E-10,-6.2032E-09,1.4718E-08,2.04545,0,5
-41,3.5E-11,-1.27853E-08,2.6593E-08,2.26335,0,5
-40,3.3E-11,-1.33555E-08,2.7567E-08,2.46724,0,5
-39,-1.62E-10,-1.09851E-08,2.2663E-08,2.7206,0,5
-38,3.365E-09,-6.7632E-09,1.3752E-08,2.97162,0,5
-37,4.9693E-08,-4.25205E-08,7.626E-09,3.204,0,5
-36,6.3719E-08,-5.8911E-08,1.7056E-08,3.44546,0,5
-35,6.0364E-08,-6.6024E-08,2.3454E-08,3.74502,0,5
-34,5.3022E-08,-8.0777E-08,8.4574E-08,3.91474,0,5
-33,6.1158E-08,-6.6674E-08,8.7353E-08,4.04498,0,5
-32,6.4838E-08,-6.8207E-08,2.8125E-08,4.30997,0,5
-31,6.9834E-08,-6.7926E-08,3.1242E-08,4.53027,0,5
-30,7.8809E-08,-7.0793E-08,2.7668E-08,4.75166,0,5
-29,6.0763E-08,-7.8881E-08,6.7335E-08,4.9874,0,5
-28,6.0003E-08,-6.8534E-08,9.1411E-08,5.12787,0,5
-27,5.9539E-08,-7.0041E-08,7.2567E-08,5.35254,0,5
-26,7.9261E-08,-6.2825E-08,3.3454E-08,5.55132,0,5
-25,6.1999E-08,-6.2345E-08,2.7624E-08,5.8323,0,5
-24,4.0189E-08,-7.7362E-08,8.681E-08,5.97263,0,5
-23,7.9001E-08,-6.4077E-08,3.1971E-08,6.17144,0,5
-22,6.5287E-08,-7.5646E-08,7.056E-08,6.40686,0,5
-21,6.4379E-08,-7.8849E-08,8.8806E-08,6.54722,0,5
-20,6.3311E-08,-6.5097E-08,4.1635E-08,6.74605,0,5
-19,5.3894E-08,-6.6384E-08,2.7162E-08,7.01036,0,5
-18,6.3263E-08,-6.4123E-08,4.2486E-08,7.22502,0,5
-17,6.8915E-08,-6.923E-08,2.2775E-08,7.49053,0,5
-16,7.5936E-08,-7.2105E-08,3.6333E-08,7.68938,0,5
-15,7.5739E-08,-7.5068E-08,3.1613E-08,7.9095,0,5
-14,8.1329E-08,-7.2786E-08,2.9709E-08,8.12956,0,5
-13,8.9747E-08,-7.8711E-08,3.0702E-08,8.34967,0,5
-12,1.31811E-07,-9.5116E-08,2.1238E-08,8.56982,0,5
-11,1.05197E-07,-1.1159E-07,7.7183E-08,8.8056,0,5
-10,1.08538E-07,-1.16787E-07,1.07452E-07,8.94594,0,5
-9,1.06248E-07,-1.08476E-07,3.6315E-08,9.14471,0,5
-8,1.25052E-07,-1.12851E-07,8.1579E-08,9.36931,0,5
-7,1.12377E-07,-1.09701E-07,2.7872E-08,9.58941,0,5
-6,1.02754E-07,-1.07842E-07,1.6727E-08,9.85124,0,5
-5,1.06581E-07,-1.10085E-07,2.6485E-08,10.04898,0,5
-4,1.05999E-07,-1.11981E-07,3.0591E-08,10.24779,0,5
-3,1.02674E-07,-1.08466E-07,3.2787E-08,10.44681,0,5
-2,1.13222E-07,-1.07166E-07,3.4519E-08,10.64578,0,5
-1,1.0183E-07,-1.07839E-07,3.2825E-08,10.84471,0,5
0,1.0196E-07,-1.125E-07,7.9729E-08,11.07022,0,5
1,1.01584E-07,-1.06372E-07,3.9376E-08,11.2637,0,5
2,1.02236E-07,-1.12481E-07,8.379E-08,11.4881,0,5
3,9.9193E-08,-1.08007E-07,3.3087E-08,11.68704,0,5
4,1.01063E-07,-1.0606E-07,3.274E-08,11.88672,0,5
5,1.03494E-07,-1.08747E-07,3.3317E-08,12.08552,0,5
6,1.04758E-07,-1.09882E-07,3.5755E-08,12.28453,0,5
7,1.04494E-07,-1.09273E-07,3.4609E-08,12.48339,0,5
8,1.38346E-07,-1.15071E-07,7.8599E-08,12.70873,0,5
9,1.05376E-07,-1.13016E-07,7.8163E-08,12.94432,0,5
10,1.02083E-07,-1.14569E-07,1.08878E-07,13.08472,0,5
11,1.05369E-07,-1.13357E-07,3.1249E-08,13.28363,0,5
12,1.12238E-07,-1.18732E-07,7.9689E-08,13.50789,0,5
13,1.20574E-07,-1.19089E-07,2.781E-08,13.70672,0,5
14,1.08628E-07,-1.18762E-07,3.5888E-08,13.90563,0,5
15,1.15214E-07,-1.22736E-07,2.8731E-08,14.10517,0,5
16,1.22142E-07,-1.29158E-07,2.9227E-08,14.304,0,5
17,1.3012E-07,-1.37744E-07,2.6077E-08,14.50333,0,5
18,1.39036E-07,-1.41027E-07,2.8837E-08,14.70229,0,5
19,1.47238E-07,-1.4768E-07,1.9892E-08,14.90739,0,5
20,1.92013E-07,-1.55182E-07,1.3499E-08,15.12341,0,5
21,2.0052E-07,-1.76769E-07,2.5487E-08,15.33841,0,5
22,2.11127E-07,-1.82591E-07,2.4262E-08,15.59786,0,5
23,2.24046E-07,-2.03808E-07,2.1934E-08,15.83784,0,5
24,2.34441E-07,-2.32785E-07,1.74E-08,16.07914,0,5
25,2.76479E-07,-2.80008E-07,-1.27E-10,16.34833,0,5
