Time,I_DS,img_Nr
2.00029,1.31E-07,
3.0002,1.32E-07,
3.50024,1.33E-07,
4.00025,1.33E-07,
4.5002,1.31E-07,
5.00024,1.29E-07,
5.50021,1.27E-07,
6.00021,1.28E-07,
6.5002,1.29E-07,
7.00025,1.28E-07,
7.50025,1.28E-07,
8.00021,1.31E-07,
9.00024,1.29E-07,
9.50024,1.30E-07,
10.50024,1.31E-07,
11.0002,1.29E-07,
12.0002,1.31E-07,
12.50024,1.30E-07,27
13.66564,1.60E-06,
14.50024,1.64E-06,32
15.00025,1.61E-06,
15.50021,1.60E-06,
16.00021,1.59E-06,
16.50021,1.58E-06,
17.0002,2.43E-07,47
17.5002,1.11E-07,
18.50024,1.10E-07,
19.5002,1.10E-07,
20.50024,1.11E-07,66
21.50024,1.68E-06,71
22.00025,1.66E-06,
22.50025,1.66E-06,
23.00024,1.68E-06,
23.50025,1.72E-06,
24.0002,1.72E-06,
24.5002,1.72E-06,
25.00024,1.78E-06,
25.5002,1.80E-06,88
26.0002,1.32E-07,
26.5002,1.11E-07,
27.50025,1.10E-07,
28.5002,1.08E-07,
29.50024,1.08E-07,
30.5002,1.72E-06,115
31.00025,1.75E-06,
31.50021,1.76E-06,
32.00025,1.77E-06,
32.50024,1.77E-06,
33.0002,1.77E-06,
33.50025,1.76E-06,
34.00025,1.77E-06,
34.5002,1.76E-06,
35.00021,1.23E-07,139
35.5002,1.06E-07,
36.50021,8.81E-08,
37.00021,8.84E-08,
38.0002,8.91E-08,155
39.16556,1.80E-06,
40.0002,1.80E-06,
40.50024,1.81E-06,
41.00025,1.86E-06,
41.50021,1.84E-06,
42.00025,1.88E-06,
42.5002,1.88E-06,
43.00025,1.87E-06,
43.50025,1.85E-06,
44.00021,1.85E-06,182
44.50025,8.87E-07,
45.50025,9.04E-08,
46.5002,9.11E-08,
47.5002,8.98E-08,
48.50025,9.07E-08,
49.50025,9.51E-08,208
50.50024,1.81E-06,214
51.00024,1.91E-06,
51.50024,1.86E-06,
52.0002,1.86E-06,
52.50024,1.86E-06,
53.00025,1.82E-06,
53.50021,1.84E-06,
54.00024,1.86E-06,
54.50025,1.50E-06,
55.00021,1.33E-06,233
56.00021,8.02E-08,238
57.00024,8.03E-08,
58.00025,7.87E-08,
59.0002,7.81E-08,
60.0002,7.88E-08,262
61.00024,1.75E-06,
61.50024,1.76E-06,
62.0002,1.75E-06,
62.50025,1.74E-06,
63.0002,1.76E-06,
63.5002,1.73E-06,
64.00021,1.71E-06,
64.50021,1.73E-06,
65.00021,1.74E-06,
65.50021,1.74E-06,287
66.00025,8.90E-08,
67.0002,8.55E-08,
68.0002,8.55E-08,
69.00024,8.30E-08,
70.00024,8.35E-08,
71.0002,8.50E-08,
72.00025,8.80E-08,324
73.00024,1.66E-06,
73.50025,1.67E-06,
74.00025,1.69E-06,
74.5002,1.66E-06,
75.00021,1.66E-06,
75.50025,1.64E-06,
76.00021,1.67E-06,
76.50021,1.66E-06,
77.00021,1.72E-06,
77.50025,1.68E-06,
78.00025,1.70E-06,352
78.50021,9.81E-07,
79.5002,9.01E-08,
80.00024,8.90E-08,
81.00025,8.89E-08,
81.5002,9.01E-08,
82.5002,9.00E-08,
83.5002,9.00E-08,
84.5002,1.10E-07,385
85.5002,1.75E-06,
86.00021,1.73E-06,
86.50021,1.74E-06,
87.00025,1.73E-06,
87.50021,1.73E-06,
88.00021,1.76E-06,
88.50021,1.77E-06,
89.00025,1.75E-06,
89.5002,1.69E-06,406
90.0002,9.29E-08,
90.5002,9.26E-08,
91.5002,9.20E-08,
92.50024,9.34E-08,432
93.50024,1.01E-07,
94.5002,1.79E-06,
95.50024,1.79E-06,
96.00024,1.82E-06,
96.5002,1.80E-06,
97.00024,1.82E-06,
97.5002,1.78E-06,
98.00025,1.77E-06,
98.50025,1.80E-06,
99.0002,1.79E-06,
99.5002,1.81E-06,
100.0002,1.55E-06,458
100.50025,8.86E-08,
101.5002,8.95E-08,
102.5002,8.97E-08,
103.5002,8.95E-08,
104.00025,8.85E-08,
104.50024,8.90E-08,483
105.50021,1.79E-06,
106.0002,1.76E-06,
106.50024,1.74E-06,
107.00024,1.77E-06,
107.50025,1.80E-06,
108.00021,1.80E-06,
108.50021,1.79E-06,
109.00025,1.78E-06,
109.50025,1.80E-06,
110.00024,1.77E-06,
110.50021,1.79E-06,
111.00021,1.13E-06,513
111.50021,9.80E-08,
112.50024,9.68E-08,
113.0002,9.90E-08,
114.0002,9.80E-08,
115.0002,9.82E-08,
116.00024,9.99E-08,546
117.0002,1.78E-06,
118.00024,1.80E-06,
118.50024,1.81E-06,
119.0002,1.80E-06,
119.50024,1.76E-06,
120.00024,1.80E-06,
120.5002,1.82E-06,
121.0002,1.76E-06,
121.50024,1.74E-06,
122.00024,1.70E-06,
122.5002,1.76E-06,
123.0002,1.76E-06,
123.50021,1.73E-06,
124.0002,1.78E-06,580
124.50021,8.00E-08,
125.5002,8.86E-08,
126.50024,8.90E-08,
127.5002,8.84E-08,599
128.50019,1.86E-06,
129.00025,1.86E-06,
129.50024,1.86E-06,
130.00024,1.88E-06,
130.50021,1.87E-06,
131.00021,1.88E-06,
131.50021,1.88E-06,
132.00025,1.86E-06,
132.50021,1.54E-07,
133.00021,1.04E-07,
133.50000,9.85e-8,
134.00000,9.75e-8,
134.5000,9.89e-8,
135.0000,9.80e-8,
135.5000,9.70e-8,
136.0000,9.750e-8,
136.5000,9.790e-8,
137.000,9.780e-8,
