Setup title,VFET_cycle
Application test name,gate_scan_cycles
Test date,3/22/2018
Test time,16:53:33
Device ID,gr-ots-vfet
Count,11
Flags,!
Remarks,temp-id-vg-20-100
Name,Gate,Source,Drain,False,VgStart,VgStop,VgStep,Vd,IgLimit,IntegTime,curr_cycle,Vs,HoldTime,DelayTime,DrainMinRng
Value,"SMU1:HP	HPSMU","SMU4:HR	HRSMU","SMU3:HR	HRSMU","SMU2:HR	HRSMU",-100,100,1,1,0.01,MEDIUM,0,0,0,0,1nA
Name,Polarity,Lg,Wg,Temp,IdMax,test_cycles
Value,1,1E-06,1E-05,25,0.01,20
Vgate,Idrain,Isource,Igate,t,cycle,Vdrain
-100,1.51E-10,3.65E-09,-9.21E-09,0.08682,0,1
-99,2.6E-11,1.561E-09,-2.511E-09,0.42411,0,1
-98,1.7E-11,1.05E-09,-1.502E-09,0.60171,0,1
-97,1.12E-10,6.85E-10,-1.28E-09,0.914,0,1
-96,5E-11,4.86E-10,-7.76E-10,1.17765,0,1
-95,-4.2E-11,4.12E-10,-6.09E-10,1.44118,0,1
-94,1.4E-11,2.75E-10,-5.49E-10,1.72513,0,1
-93,1.2E-11,2.86E-10,-1.52E-10,1.92308,0,1
-92,-5.5E-11,2.43E-10,-4.01E-10,2.28473,0,1
-91,8.9E-11,1.53E-10,-2.68E-10,2.53147,0,1
-90,1E-12,4.7E-11,-1.85E-10,2.81451,0,1
-89,7E-11,4.7E-11,-2.09E-10,3.17583,0,1
-88,-1.7E-11,6.3E-11,-1.6E-11,3.48232,0,1
-87,-6E-12,1.5E-11,-5.9E-11,3.83913,0,1
-86,-2.3E-11,-7E-12,2.14E-10,4.15914,0,1
-85,7E-12,-1.8E-11,2.38E-10,4.42432,0,1
-84,-9.2E-11,-4.7E-11,1.28E-10,4.7856,0,1
-83,8.5E-11,-5.3E-11,1.03E-10,5.09321,0,1
-82,-2.9E-11,-1.15E-10,1.58E-10,5.42319,0,1
