X,Y
0.0000,47.667
0.0957,47.667
0.1914,47.667
0.2871,47.667
0.3828,47.667
0.4785,47.667
0.5742,47.667
0.6698,47.667
0.7655,47.667
0.8612,47.667
0.9569,47.667
1.0526,47.667
1.1483,47.667
1.2440,47.667
1.3397,47.667
1.4354,47.667
1.5311,47.667
1.6268,47.667
1.7225,47.667
1.8182,47.667
1.9139,47.667
2.0095,47.667
2.1052,47.667
2.2009,47.667
2.2966,47.667
2.3923,47.667
2.4880,47.667
2.5837,47.667
2.6794,47.667
2.7751,47.667
2.8708,47.667
2.9665,47.667
3.0622,47.667
3.1579,47.667
3.2536,47.667
3.3492,47.667
3.4449,47.667
3.5406,47.667
3.6363,47.248
3.7320,55.922
3.8277,79.634
3.9234,79.297
4.0191,48.236
4.1148,41.895
4.2105,42.333
4.3062,41.813
4.4019,52.442
4.4976,106.186
4.5932,166.923
4.6889,169.866
4.7846,169.667
4.8803,169.667
4.9760,169.667
5.0717,169.667
5.1674,169.667
5.2631,169.658
5.3588,169.559
5.4545,169.548
5.5502,169.809
5.6459,170.000
5.7416,169.863
5.8373,168.184
5.9329,166.233
6.0286,164.331
6.1243,163.245
6.2200,162.292
6.3157,159.689
6.4114,162.121
6.5071,166.343
6.6028,169.454
6.6985,169.847
6.7942,157.788
6.8899,68.777
6.9856,83.830
7.0813,157.419
7.1770,169.446
7.2726,165.776
7.3683,162.746
7.4640,162.284
7.5597,162.182
7.6554,161.103
7.7511,163.879
7.8468,167.069
7.9425,169.351
8.0382,164.410
8.1339,163.483
8.2296,168.198
8.3253,169.900
8.4210,169.846
8.5166,169.845
8.6123,169.602
8.7080,169.544
8.8037,169.646
8.8994,169.629
8.9951,169.667
9.0908,169.667
9.1865,169.667
9.2822,170.496
9.3779,140.845
9.4736,75.464
9.5693,41.408
9.6650,46.938
9.7607,95.731
9.8563,158.172
9.9520,169.857
10.0477,169.773
10.1434,169.801
10.2391,169.605
10.3348,169.521
10.4305,167.500
10.5262,162.360
10.6219,163.612
10.7176,169.482
10.8133,169.841
10.9090,169.757
11.0047,169.667
11.1004,169.667
11.1960,169.605
11.2917,169.473
11.3874,169.580
11.4831,168.451
11.5788,163.940
11.6745,159.021
11.7702,153.093
11.8659,144.818
11.9616,136.136
12.0573,139.383
12.1530,153.039
12.2487,166.624
12.3444,169.991
12.4400,169.735
12.5357,169.788
12.6314,169.137
12.7271,166.197
12.8228,162.661
12.9185,155.440
13.0142,124.658
13.1099,74.051
13.2056,44.283
13.3013,41.889
13.3970,59.118
13.4927,91.645
13.5884,111.062
13.6841,133.945
13.7797,147.271
13.8754,143.955
13.9711,137.301
14.0668,133.176
14.1625,142.534
14.2582,153.831
14.3539,159.533
14.4496,157.113
14.5453,147.706
14.6410,140.399
14.7367,143.049
14.8324,151.861
14.9281,158.715
15.0238,161.157
15.1194,151.044
15.2151,134.081
15.3108,133.700
15.4065,145.758
15.5022,151.934
15.5979,151.484
15.6936,147.439
15.7893,140.178
15.8850,131.229
15.9807,123.782
16.0764,117.274
16.1721,110.206
16.2678,107.659
16.3634,108.839
16.4591,111.504
16.5548,115.091
16.6505,116.645
16.7462,119.851
16.8419,133.173
16.9376,152.270
17.0333,164.621
17.1290,169.310
17.2247,169.859
17.3204,169.667
17.4161,169.667
17.5118,169.667
17.6075,169.667
17.7031,169.665
17.7988,169.580
17.8945,169.601
17.9902,169.817
18.0859,169.667
18.1816,169.662
18.2773,169.269
18.3730,164.282
18.4687,158.959
18.5644,152.849
18.6601,146.931
18.7558,143.267
18.8515,143.333
18.9472,140.621
19.0428,137.554
19.1385,134.096
19.2342,132.098
19.3299,128.375
19.4256,128.088
19.5213,127.438
19.6170,130.300
19.7127,132.671
19.8084,132.090
19.9041,131.375
19.9998,136.135
20.0955,135.990
20.1912,130.857
20.2868,127.610
20.3825,127.672
20.4782,132.582
20.5739,118.869
20.6696,170.895
20.7653,236.341
20.8610,255.000
