X,Y
0.0000,47.519
0.0943,47.778
0.1887,47.667
0.2830,47.667
0.3774,47.667
0.4717,47.667
0.5660,47.667
0.6604,47.667
0.7547,47.667
0.8491,47.667
0.9434,47.667
1.0377,47.667
1.1321,47.667
1.2264,47.667
1.3208,47.667
1.4151,47.667
1.5094,47.667
1.6038,47.667
1.6981,47.667
1.7925,47.667
1.8868,47.667
1.9811,47.667
2.0755,47.667
2.1698,47.667
2.2642,47.667
2.3585,47.667
2.4528,47.569
2.5472,47.146
2.6415,50.891
2.7358,59.005
2.8302,85.458
2.9245,109.669
3.0189,129.669
3.1132,138.372
3.2075,146.312
3.3019,150.947
3.3962,155.445
3.4906,160.924
3.5849,166.518
3.6792,169.524
3.7736,164.732
3.8679,114.999
3.9623,53.383
4.0566,45.359
4.1509,114.801
4.2453,164.172
4.3396,169.705
4.4340,169.667
4.5283,169.697
4.6226,169.685
4.7170,169.667
4.8113,169.740
4.9057,169.583
5.0000,169.401
5.0943,169.651
5.1887,169.724
5.2830,169.995
5.3774,169.768
5.4717,169.233
5.5660,167.220
5.6604,165.000
5.7547,164.343
5.8491,161.553
5.9434,159.765
6.0377,158.677
6.1321,155.929
6.2264,154.429
6.3208,153.943
6.4151,153.592
6.5094,153.044
6.6038,152.556
6.6981,150.860
6.7925,150.968
6.8868,155.074
6.9811,159.750
7.0755,153.578
7.1698,115.279
7.2642,104.603
7.3585,141.606
7.4528,152.439
7.5472,151.774
7.6415,159.441
7.7358,159.719
7.8302,106.435
7.9245,49.755
8.0189,82.909
8.1132,146.594
8.2075,157.976
8.3019,152.512
8.3962,151.354
8.4906,152.375
8.5849,152.973
8.6792,155.108
8.7736,164.247
8.8679,137.611
8.9623,88.534
9.0566,94.321
9.1509,112.537
9.2453,142.849
9.3396,162.601
9.4340,163.990
9.5283,163.810
9.6226,163.912
9.7170,164.974
9.8113,167.320
9.9057,169.694
10.0000,169.709
10.0943,169.615
10.1887,168.476
10.2830,146.808
10.3774,88.764
10.4717,63.465
10.5660,90.803
10.6604,137.299
10.7547,167.075
10.8491,169.509
10.9434,169.722
11.0377,169.628
11.1321,169.687
11.2264,169.686
11.3208,169.664
11.4151,169.667
11.5094,169.667
11.6038,169.667
11.6981,169.667
11.7925,168.581
11.8868,147.209
11.9811,103.287
12.0755,67.549
12.1698,104.276
12.2642,144.809
12.3585,166.670
12.4528,169.672
12.5472,169.932
12.6415,169.720
12.7358,169.696
12.8302,169.908
12.9245,169.822
13.0189,169.753
13.1132,169.667
13.2075,169.768
13.3019,169.667
13.3962,169.667
13.4906,168.928
13.5849,161.568
13.6792,142.812
13.7736,93.716
13.8679,101.281
13.9623,133.144
14.0566,164.660
14.1509,168.995
14.2453,155.515
14.3396,156.910
14.4340,153.696
14.5283,143.184
14.6226,130.925
14.7170,153.094
14.8113,157.793
14.9057,148.795
15.0000,160.512
15.0943,156.429
15.1887,162.294
15.2830,168.924
15.3774,169.667
15.4717,169.667
15.5660,169.667
15.6604,169.406
15.7547,166.591
15.8491,157.934
15.9434,165.576
16.0377,164.271
16.1321,123.738
16.2264,66.815
16.3208,63.558
16.4151,99.497
16.5094,122.968
16.6038,138.060
16.6981,160.119
16.7925,168.636
16.8868,169.667
16.9811,169.667
17.0755,169.673
17.1698,169.894
17.2642,159.056
17.3585,105.485
17.4528,74.822
17.5472,137.507
17.6415,150.804
17.7358,123.892
17.8302,113.769
17.9245,139.876
18.0189,155.404
18.1132,109.066
18.2075,63.828
18.3019,81.817
18.3962,153.104
18.4906,168.600
18.5849,162.016
18.6792,157.247
18.7736,160.183
18.8679,166.216
18.9623,168.674
19.0566,162.685
19.1509,156.572
19.2453,149.702
19.3396,147.710
19.4340,156.041
19.5283,166.913
19.6226,161.996
19.7170,151.075
19.8113,147.878
19.9057,148.276
20.0000,150.960
20.0943,140.411
20.1887,130.178
20.2830,132.750
20.3774,143.902
20.4717,153.744
20.5660,146.447
20.6604,138.470
20.7547,136.113
20.8491,134.554
20.9434,130.513
21.0377,125.185
21.1321,122.719
21.2264,124.189
21.3208,129.196
21.4151,137.895
21.5094,150.633
21.6038,158.994
21.6981,162.033
21.7925,146.201
21.8868,137.980
21.9811,133.319
22.0755,131.400
22.1698,125.606
22.2642,119.610
22.3585,114.715
22.4528,112.424
22.5472,113.396
22.6415,111.847
22.7358,111.413
22.8302,112.474
22.9245,115.681
23.0189,116.801
23.1132,116.671
23.2075,117.033
23.3019,121.791
23.3962,123.418
23.4906,118.490
23.5849,116.863
23.6792,115.107
23.7736,114.536
23.8679,116.828
23.9623,115.519
