X,Y
0.0000,47.667
0.0957,47.667
0.1914,47.667
0.2871,47.667
0.3828,47.667
0.4785,47.667
0.5742,47.667
0.6698,47.667
0.7655,47.667
0.8612,47.667
0.9569,47.667
1.0526,47.667
1.1483,47.667
1.2440,47.667
1.3397,47.667
1.4354,47.667
1.5311,47.667
1.6268,47.667
1.7225,47.667
1.8182,47.667
1.9139,47.667
2.0095,47.667
2.1052,47.667
2.2009,47.667
2.2966,47.667
2.3923,47.667
2.4880,47.667
2.5837,47.667
2.6794,47.667
2.7751,47.667
2.8708,47.667
2.9665,47.667
3.0622,47.667
3.1579,47.667
3.2536,47.667
3.3492,47.667
3.4449,47.667
3.5406,47.667
3.6363,47.667
3.7320,47.408
3.8277,50.748
3.9234,84.615
4.0191,80.691
4.1148,51.405
4.2105,41.781
4.3062,41.744
4.4019,74.860
4.4976,140.968
4.5932,169.816
4.6889,169.823
4.7846,169.667
4.8803,169.750
4.9760,169.746
5.0717,169.667
5.1674,169.667
5.2631,169.633
5.3588,169.491
5.4545,169.544
5.5502,169.964
5.6459,169.136
5.7416,167.204
5.8373,166.119
5.9329,163.249
6.0286,163.184
6.1243,159.612
6.2200,158.186
6.3157,160.629
6.4114,163.738
6.5071,166.592
6.6028,169.223
6.6985,169.696
6.7942,143.525
6.8899,85.286
6.9856,126.996
7.0813,164.981
7.1770,166.374
7.2726,161.075
7.3683,158.736
7.4640,157.549
7.5597,157.889
7.6554,159.916
7.7511,162.432
7.8468,165.510
7.9425,168.511
8.0382,169.675
8.1339,169.701
8.2296,169.676
8.3253,169.750
8.4210,169.682
8.5166,169.848
8.6123,169.667
8.7080,169.683
8.8037,169.841
8.8994,169.667
8.9951,169.667
9.0908,169.662
9.1865,169.531
9.2822,170.304
9.3779,122.327
9.4736,50.319
9.5693,41.480
9.6650,54.676
9.7607,139.598
9.8563,167.862
9.9520,169.677
10.0477,169.447
10.1434,169.594
10.2391,169.776
10.3348,169.741
10.4305,169.700
10.5262,169.678
10.6219,169.667
10.7176,169.667
10.8133,169.667
10.9090,169.681
11.0047,169.756
11.1004,169.827
11.1960,169.849
11.2917,169.683
11.3874,169.667
11.4831,168.997
11.5788,166.762
11.6745,163.424
11.7702,158.845
11.8659,147.317
11.9616,144.377
12.0573,153.716
12.1530,164.694
12.2487,169.610
12.3444,169.606
12.4400,169.667
12.5357,169.667
12.6314,169.667
12.7271,168.113
12.8228,162.275
12.9185,150.647
13.0142,118.659
13.1099,80.308
13.2056,54.484
13.3013,63.111
13.3970,92.714
13.4927,117.297
13.5884,135.218
13.6841,148.537
13.7797,150.710
13.8754,144.479
13.9711,137.577
14.0668,140.202
14.1625,152.463
14.2582,162.108
14.3539,164.537
14.4496,155.501
14.5453,146.152
14.6410,141.021
14.7367,147.767
14.8324,157.325
14.9281,164.630
15.0238,165.009
15.1194,148.763
15.2151,133.550
15.3108,142.873
15.4065,156.897
15.5022,162.514
15.5979,159.750
15.6936,154.174
15.7893,146.890
15.8850,140.393
15.9807,134.429
16.0764,128.102
16.1721,123.239
16.2678,123.578
16.3634,125.611
16.4591,129.005
16.5548,132.172
16.6505,131.746
16.7462,136.082
16.8419,149.588
16.9376,161.582
17.0333,167.362
17.1290,169.667
17.2247,169.667
17.3204,169.667
17.4161,169.574
17.5118,169.486
17.6075,169.667
17.7031,169.718
17.7988,169.937
17.8945,169.700
17.9902,169.812
18.0859,169.667
18.1816,169.626
18.2773,168.096
18.3730,163.579
18.4687,157.549
18.5644,149.933
18.6601,145.687
18.7558,143.550
18.8515,141.961
18.9472,138.494
19.0428,135.767
19.1385,133.100
19.2342,130.413
19.3299,128.000
