   h    k    l      d(Å)      F(real)      F(imag)          |F|         2θ          I    M
   0    2    0  16.225000    82.070637     0.179424      82.0708    5.44665  100.00000    2
   0    1    1   8.988636   -45.209958    -0.048578        45.21    9.83990   18.48518    4
   0    4    0   8.112500    -1.477077    -0.067794      1.47863   10.90565    0.00803    2
   0    2    1   8.104166    62.965076     0.197700      62.9654   10.91690   29.07289    4
   0    3    1   7.075626   -66.263384    -0.013960      66.2634   12.50975   24.44069    4
   0    4    1   6.128871    76.581354     0.147413      76.5815   14.45180   24.34922    4
   0    6    0   5.408333     9.591119     0.015546      9.59113   16.38962    0.14771    2
   0    5    1   5.332375    68.343019     0.086893      68.3431   16.62473   14.56872    4
   0    6    1   4.682149   -59.443605    -0.124743      59.4437   18.95341    8.41956    4
   0    0    2   4.677342     5.951287     0.069243      5.95169   18.97307    0.04211    2
   1    0    0   4.661106    13.122185    -0.067777      13.1224   19.03977    0.20324    2
   0    1    2   4.629497   -37.300302    -0.121570      37.3005   19.17099    3.23806    4
   1    1    0   4.613753   -17.330718    -0.098566       17.331   19.23703    0.69410    4
   0    2    2   4.494318   -29.791158    -0.026583      29.7912   19.75331    1.94178    4
   1    2    0   4.479909   -39.753013    -0.133821      39.7532   19.81748    3.43446    4
   1    1   -1   4.462010   -43.278331    -0.179671      43.2787   19.89779    4.03675    4
   1    2   -1   4.340603    59.695142     0.199554      59.6955   20.46023    7.24965    4
   0    3    2   4.293151    57.859007     0.133764      57.8592   20.68886    6.65550    4
   1    3    0   4.280586     0.106561    -0.033761     0.111782   20.75026    0.00002    4
   1    3   -1   4.158570    41.050994     0.090821      41.0511   21.36614    3.13372    4
   0    7    1   4.153676   -25.751842    -0.167107      25.7524   21.39161    1.23019    4
   0    8    0   4.056250     9.177734    -0.046555      9.17785   21.91168    0.07432    2
   0    4    2   4.052083    -7.910913    -0.007335      7.91092   21.93449    0.11019    4
   1    4    0   4.041513    62.879781     0.128180      62.8799   21.99257    6.92372    4
   1    4   -1   3.938346  -117.789660    -0.222838       117.79   22.57616   23.00566    4
   1    1    1   3.875427    -3.098023    -0.026377      3.09814   22.94762    0.01538    4
   1    2    1   3.795084   -15.240575    -0.007948      15.2406   23.44025    0.35608    4
   0    5    2   3.794564    31.673635     0.180890      31.6742   23.44350    1.53756    4
   1    5    0   3.785880    -9.082626     0.070888       9.0829   23.49805    0.12582    4
   0    8    1   3.721464     8.235012     0.042411      8.23512   23.91073    0.09973    4
   1    5   -1   3.700680   108.947775     0.251532      108.948   24.04702   17.24834    4
   1    3    1   3.671612     5.391967    -0.081187      5.39258   24.24028    0.04155    4
   1    0   -2   3.642230   -23.360841    -0.016523      23.3608   24.43884    0.38329    2
   1    1   -2   3.619502   149.160188     0.295847       149.16   24.59469   30.83865    4
   1    2   -2   3.553789  -103.073015    -0.253102      103.073   25.05679   14.16079    4
   0    6    2   3.537813   -19.647886    -0.034992      19.6479   25.17179    0.50962    4
   1    6    0   3.530772    16.969491     0.084485      16.9697   25.22281    0.37854    4
   1    4    1   3.517387   -29.644300    -0.126352      29.6446   25.32038    1.14583    4
   1    6   -1   3.461358   -35.307181    -0.091654      35.3073   25.73722    1.57041    4
   1    3   -2   3.451796    88.455011     0.234309      88.4553   25.80975    9.79841    4
   0    9    1   3.364313   -26.788670    -0.072660      26.7888   26.49294    0.85045    4
   1    5    1   3.344976    -3.819216     0.002782      3.81922   26.64890    0.01707    4
   1    4   -2   3.322713  -101.279579    -0.280449       101.28   26.83078   11.83434    4
   0    7    2   3.292564    -2.270621    -0.013561      2.27066   27.08112    0.00583    4
   1    7    0   3.286886    -6.325533    -0.011558      6.32554   27.12880    0.04510    4
   0   10    0   3.245000   -37.654270    -0.165221      37.6546   27.48579    0.77713    2
   1    7   -1   3.230666     7.117046     0.039966      7.11716   27.61016    0.05500    4
