Setup title,TFT Id-Vd-Tian,,,,,,,,,,,,,,
Application test name,TFT Id-Vd-Tian,,,,,,,,,,,,,,
Test date,3/22/2018,,,,,,,,,,,,,,
Test time,10:14:58,,,,,,,,,,,,,,
Device ID,gr-ots-vfet,,,,,,,,,,,,,,
Count,12,,,,,,,,,,,,,,
Flags,!,,,,,,,,,,,,,,
Remarks,idvd-2-neg,,,,,,,,,,,,,,
Name,Gate,Source,Drain,VgStart,,,,VdStop,VdStep,Vs,IgLimit,IntegTime,HoldTime,DelayTime,DrainMinRng
Value,"SMU1:HP	HPSMU","SMU4:HR	HRSMU","SMU3:HR	HRSMU",0,,,,3,0.02,0,0.01,MEDIUM,0,0,1nA
Name,Polarity,Lg,Wg,Temp,,,,,,,,,,,
Value,1,1.00E-06,1.00E-05,25,,,,,,,,,,,
Vdrain,Idrain,Vgate,gds,Rds,,,,,,,,,,,
-3,-0.000122662,0,-1.06E-05,-94786.72986,,,,,,,,,,,
-2.98,-0.000122873,0,9.55E-06,104712.0419,,,,,,,,,,,
-2.96,-0.00012228,0,3.99E-05,25062.65664,,,,,,,,,,,
-2.94,-0.000121277,0,5.35E-05,18674.13632,,,,,,,,,,,
-2.92,-0.000120138,0,5.90E-05,16963.52841,,,,,,,,,,,
-2.9,-0.000118919,0,6.17E-05,16214.02513,,,,,,,,,,,
-2.88,-0.000117671,0,6.42E-05,15576.32399,,,,,,,,,,,
-2.86,-0.000116351,0,6.53E-05,15302.21882,,,,,,,,,,,
-2.84,-0.000115057,0,6.65E-05,15043.24934,,,,,,,,,,,
-2.82,-0.000113692,0,6.75E-05,14809.32988,,,,,,,,,,,
-2.8,-0.000112356,0,6.88E-05,14534.88372,,,,,,,,,,,
-2.78,-0.00011094,0,6.97E-05,14347.2023,,,,,,,,,,,
-2.76,-0.000109568,0,6.80E-05,14695.07715,,,,,,,,,,,
-2.74,-0.000108218,0,6.90E-05,14503.26323,,,,,,,,,,,
-2.72,-0.00010681,0,7.00E-05,14280.61407,,,,,,,,,,,
