Setup title,"TFT Id-Vd-Tian"
Application test name,"TFT Id-Vd-Tian"
Test date,3/22/2018
Test time,10:52:21
Device ID,gr-ots-vfet
Count,5
Flags,!
Remarks,idvd-3-neg
Name,Gate,Source,Drain,VgStart,VgStop,VgStep,VdStart,VdStop,VdStep,Vs,IgLimit,IntegTime,HoldTime,DelayTime,DrainMinRng
Value,"SMU1:HP	HPSMU","SMU4:HR	HRSMU","SMU3:HR	HRSMU",0,-100,25,-3,3,0.02,0,0.01,MEDIUM,0,0,1nA
Name,Polarity,Lg,Wg,Temp,IdMax
Value,1,1E-06,1E-05,25,0.01
Vdrain,Idrain,Vgate,gds,Rds
-3,-1.08356E-06,0,-2.7135E-06,-368527.731711811
-2.98,-1.13783E-06,0,-1.60025E-06,-624902.359006406
-2.96,-1.14757E-06,0,-8.06999999999998E-07,-1239157.37298637
-2.94,-1.17011E-06,0,-8.11000000000003E-07,-1233045.62268803
-2.92,-1.18001E-06,0,-4.45750000000001E-07,-2243409.98317442
-2.9,-1.18794E-06,0,1.32750000000001E-07,7532956.68549901
-2.88,-1.1747E-06,0,1.08575E-06,921022.334791618
-2.86,-1.14451E-06,0,7.875E-07,1269841.26984127
-2.84,-1.1432E-06,0,5.05249999999997E-07,1979218.20880753
-2.82,-1.1243E-06,0,9.54250000000008E-07,1047943.41105579
-2.8,-1.10503E-06,0,9.30000000000011E-07,1075268.81720429
-2.78,-1.0871E-06,0,7.45250000000004E-07,1341831.60013418
-2.76,-1.07522E-06,0,8.74499999999998E-07,1143510.57747284
-2.74,-1.05212E-06,0,8.85499999999995E-07,1129305.47713157
-2.72,-1.0398E-06,0,7.9975E-07,1250390.74710847
-2.7,-1.02013E-06,0,9.20500000000003E-07,1086366.10537751
-2.68,-1.00298E-06,0,7.46750000000003E-07,1339136.25711416
-2.66,-9.9026E-07,0,8.46775000000001E-07,1180951.2562369
-2.64,-9.69109E-07,0,1.087275E-06,919730.518957945
-2.62,-9.46769E-07,0,9.439E-07,1059434.26210404
-2.6,-9.31353E-07,0,9.3525E-07,1069232.82544774
-2.58,-9.09359E-07,0,9.714E-07,1029442.04241301
-2.56,-8.92497E-07,0,6.04174999999998E-07,1655149.58414367
-2.54,-8.85192E-07,0,6.53399999999999E-07,1530456.07591062
-2.52,-8.66361E-07,0,9.98424999999999E-07,1001577.48453815
-2.5,-8.45255E-07,0,8.45099999999999E-07,1183291.9181162
-2.48,-8.32557E-07,0,7.50675E-07,1332134.41236221
-2.46,-8.15228E-07,0,8.49449999999998E-07,1177232.3267997
-2.44,-7.98579E-07,0,8.39824999999999E-07,1190724.25802995
-2.42,-7.81635E-07,0,8.66099999999999E-07,1154601.08532502
-2.4,-7.63935E-07,0,8.269E-07,1209336.0744951
-2.38,-7.48559E-07,0,7.03375E-07,1421716.72294295
-2.36,-7.358E-07,0,6.83099999999998E-07,1463914.50739277
-2.34,-7.21235E-07,0,7.64400000000001E-07,1308215.59392988
-2.32,-7.05224E-07,0,8.4370000000001E-07,1185255.42254354
-2.3,-6.87487E-07,0,8.82850000000008E-07,1132695.24834342
-2.28,-6.6991E-07,0,6.50074999999997E-07,1538284.04414876
-2.26,-6.61484E-07,0,6.40800000000001E-07,1560549.3133583
-2.24,-6.44278E-07,0,9.12725E-07,1095620.25801857
-2.22,-6.24975E-07,0,7.91224999999997E-07,1263862.9972511
-2.2,-6.12629E-07,0,5.58374999999999E-07,1790911.12603537
-2.18,-6.0264E-07,0,7.60775000000001E-07,1314449.0815287
-2.16,-5.82198E-07,0,7.83175E-07,1276853.83215756
-2.14,-5.71313E-07,0,6.31724999999999E-07,1582967.27215165
-2.12,-5.56929E-07,0,7.72024999999999E-07,1295294.8414883
-2.1,-5.40432E-07,0,8.2095E-07,1218100.98057129
-2.08,-5.24091E-07,0,6.81599999999999E-07,1467136.15023474
-2.06,-5.13168E-07,0,6.26599999999998E-07,1595914.458985
-2.04,-4.99027E-07,0,6.12375E-07,1632986.32373954
-2.02,-4.88673E-07,0,5.65975E-07,1766862.49392641
-2,-4.76388E-07,0,7.18649999999999E-07,1391497.94754053
-1.98,-4.59927E-07,0,6.53149999999999E-07,1531041.87399526
-1.96,-4.50262E-07,0,4.974E-07,2010454.36268597
-1.94,-4.40031E-07,0,5.644E-07,1771793.05457123
-1.92,-4.27686E-07,0,6.25500000000003E-07,1598721.02318145
-1.9,-4.15011E-07,0,5.81400000000003E-07,1719986.24011007
-1.88,-4.0443E-07,0,5.24274999999999E-07,1907395.9277097
-1.86,-3.9404E-07,0,5.14549999999999E-07,1943445.72927801
-1.84,-3.83848E-07,0,5.97E-07,1675041.8760469
-1.82,-3.7016E-07,0,6.21174999999999E-07,1609852.29605184
-1.8,-3.59001E-07,0,5.29624999999999E-07,1888128.39273071
-1.78,-3.48975E-07,0,5.40325E-07,1850737.98177023
-1.76,-3.37388E-07,0,6.00075E-07,1666458.35937174
-1.74,-3.24972E-07,0,5.82899999999999E-07,1715560.13038257
-1.72,-3.14072E-07,0,4.82574999999999E-07,2072216.75387246
-1.7,-3.05669E-07,0,4.3485E-07,2299643.55524893
-1.68,-2.96678E-07,0,4.44025000000002E-07,2252125.44338719
-1.66,-2.87908E-07,0,5.20875000000002E-07,1919846.41228701
-1.64,-2.75843E-07,0,5.10474999999999E-07,1958959.79235026
-1.62,-2.67489E-07,0,4.84674999999999E-07,2063238.2524372
-1.6,-2.56456E-07,0,4.97424999999999E-07,2010353.31959592
-1.58,-2.47592E-07,0,4.19825E-07,2381944.85797654
-1.56,-2.39663E-07,0,3.7735E-07,2650059.62634159
-1.54,-2.32498E-07,0,4.04975E-07,2469288.22766838
-1.52,-2.23464E-07,0,4.356E-07,2295684.11386593
-1.5,-2.15074E-07,0,4.67899999999999E-07,2137208.80530028
-1.48,-2.04748E-07,0,4.40074999999999E-07,2272339.94205534
-1.46,-1.97471E-07,0,4.547E-07,2199252.25423356
-1.44,-1.8656E-07,0,4.63175E-07,2159011.17288282
-1.42,-1.78944E-07,0,3.68875000000002E-07,2710945.44222296
