Setup title,"TFT Id-Vd-Tian"
Application test name,"TFT Id-Vd-Tian"
Test date,2/12/2018
Test time,16:58:28
Device ID,gr-ots-vfet
Count,2
Flags,!
Remarks,id-vg-1-neg
Name,Gate,Source,Drain,VgStart,VgStop,VgStep,VdStart,VdStop,VdStep,Vs,IgLimit,IntegTime,HoldTime,DelayTime,DrainMinRng
Value,"SMU1:HP	HPSMU","SMU4:HR	HRSMU","SMU3:HR	HRSMU",0,-100,20,-5,5,0.05,0,0.01,MEDIUM,0,0,1nA
Name,Polarity,Lg,Wg,Temp,IdMax
Value,1,1E-06,1E-05,25,0.01
Vdrain,Idrain,Vgate,gds,Rds
-5,-2.16802E-05,0,1.172E-05,85324.2320819113
-4.95,-2.10942E-05,0,1.0432E-05,95858.8957055211
-4.9,-2.0637E-05,0,8.63900000000003E-06,115754.138210441
-4.85,-2.02303E-05,0,7.78699999999996E-06,128419.160138693
-4.8,-1.98583E-05,0,7.37399999999997E-06,135611.608353676
-4.75,-1.94929E-05,0,7.09300000000003E-06,140984.068800225
-4.7,-1.9149E-05,0,6.85300000000004E-06,145921.4942361
-4.65,-1.88076E-05,0,6.70200000000001E-06,149209.191286183
-4.6,-1.84788E-05,0,6.50699999999994E-06,153680.651605964
-4.55,-1.81569E-05,0,6.36799999999997E-06,157035.175879398
-4.5,-1.7842E-05,0,6.14200000000004E-06,162813.415825463
-4.45,-1.75427E-05,0,6.02000000000001E-06,166112.956810631
-4.4,-1.724E-05,0,6.01900000000001E-06,166140.554909453
-4.35,-1.69408E-05,0,5.91599999999996E-06,169033.130493578
-4.3,-1.66484E-05,0,5.746E-06,174034.110685694
-4.25,-1.63662E-05,0,5.58800000000004E-06,178954.903364351
-4.2,-1.60896E-05,0,5.59300000000002E-06,178794.922224208
-4.15,-1.58069E-05,0,5.54199999999996E-06,180440.274269218
-4.1,-1.55354E-05,0,5.49999999999995E-06,181818.181818183
-4.05,-1.52569E-05,0,5.47200000000002E-06,182748.538011695
