Setup title,"TFT Id-Vd-Tian"
Application test name,"TFT Id-Vd-Tian"
Test date,2/12/2018
Test time,16:55:14
Device ID,gr-ots-vfet
Count,1
Flags,!
Remarks,id-vg-1-pos
Name,Gate,Source,Drain,VgStart,VgStop,VgStep,VdStart,VdStop,VdStep,Vs,IgLimit,IntegTime,HoldTime,DelayTime,DrainMinRng
Value,"SMU1:HP	HPSMU","SMU4:HR	HRSMU","SMU3:HR	HRSMU",0,100,20,-5,5,0.05,0,0.01,MEDIUM,0,0,1nA
Name,Polarity,Lg,Wg,Temp,IdMax
Value,1,1E-06,1E-05,25,0.01
Vdrain,Idrain,Vgate,gds,Rds
-5,-1.87312E-05,0,1.0286E-05,97219.5216799531
-4.95,-1.82169E-05,0,9.44700000000005E-06,105853.710172541
-4.9,-1.77865E-05,0,7.76200000000004E-06,128832.775057974
-4.85,-1.74407E-05,0,6.80699999999995E-06,146907.595122669
-4.8,-1.71058E-05,0,6.59599999999996E-06,151607.034566405
-4.75,-1.67811E-05,0,6.29400000000003E-06,158881.474420082
-4.7,-1.64764E-05,0,6.04600000000003E-06,165398.61065167
-4.65,-1.61765E-05,0,5.79100000000001E-06,172681.747539285
-4.6,-1.58973E-05,0,5.56999999999995E-06,179533.213644526
-4.55,-1.56195E-05,0,5.54799999999997E-06,180245.1333814
-4.5,-1.53425E-05,0,5.47000000000004E-06,182815.356489944
-4.45,-1.50725E-05,0,5.40100000000002E-06,185150.897981855
-4.4,-1.48024E-05,0,5.19000000000001E-06,192678.227360308
-4.35,-1.45535E-05,0,5.03999999999998E-06,198412.698412699
-4.3,-1.42984E-05,0,5.13099999999998E-06,194893.782888327
-4.25,-1.40404E-05,0,5.01400000000002E-06,199441.563621858
-4.2,-1.3797E-05,0,4.85500000000001E-06,205973.223480947
-4.15,-1.35549E-05,0,4.81899999999997E-06,207511.931936088
-4.1,-1.33151E-05,0,4.77399999999999E-06,209467.951403436
-4.05,-1.30775E-05,0,4.78700000000001E-06,208899.101733862
-4,-1.28364E-05,0,4.63200000000001E-06,215889.464594127
-3.95,-1.26143E-05,0,4.50200000000001E-06,222123.50066637
-3.9,-1.23862E-05,0,4.46999999999999E-06,223713.646532439
-3.85,-1.21673E-05,0,4.46300000000001E-06,224064.530584808
-3.8,-1.19399E-05,0,4.47100000000001E-06,223663.609930664
-3.75,-1.17202E-05,0,4.298E-06,232666.356444858
-3.7,-1.15101E-05,0,4.226E-06,236630.383341221
-3.65,-1.12976E-05,0,4.22999999999999E-06,236406.619385343
-3.6,-1.10871E-05,0,4.21500000000001E-06,237247.924080664
-3.55,-1.08761E-05,0,4.188E-06,238777.459407832
-3.5,-1.06683E-05,0,4.096E-06,244140.625
-3.45,-1.04665E-05,0,4.1243E-06,242465.388065854
-3.4,-1.025587E-05,0,4.08389999999998E-06,244863.978060189
-3.35,-1.005811E-05,0,3.9021E-06,256272.263652905
