Setup title,"TFT Id-Vd-Tian"
Application test name,"TFT Id-Vd-Tian"
Test date,2/12/2018
Test time,17:02:14
Device ID,gr-ots-vfet
Count,5
Flags,!
Remarks,idvg-2-neg
Name,Gate,Source,Drain,VgStart,VgStop,VgStep,VdStart,VdStop,VdStep,Vs,IgLimit,IntegTime,HoldTime,DelayTime,DrainMinRng
Value,"SMU1:HP	HPSMU","SMU4:HR	HRSMU","SMU3:HR	HRSMU",0,-100,20,-5,5,0.05,0,0.01,MEDIUM,0,0,1nA
Name,Polarity,Lg,Wg,Temp,IdMax
Value,1,1E-06,1E-05,25,0.01
Vdrain,Idrain,Vgate,gds,Rds
-5,-6.28356E-06,0,4.01120000000001E-06,249301.954527323
-4.95,-6.083E-06,0,3.46830000000001E-06,288325.692702476
-4.9,-5.93673E-06,0,2.77150000000001E-06,360815.442900954
-4.85,-5.80585E-06,0,2.52439999999998E-06,396133.734748854
-4.8,-5.68429E-06,0,2.34269999999999E-06,426857.899005423
-4.75,-5.57158E-06,0,2.17800000000001E-06,459136.822773183
-4.7,-5.46649E-06,0,2.1087E-06,474225.826338502
-4.65,-5.36071E-06,0,2.14980000000001E-06,465159.549725554
-4.6,-5.25151E-06,0,2.24179999999999E-06,446070.122223215
-4.55,-5.13653E-06,0,2.03939999999999E-06,490340.296165541
-4.5,-5.04757E-06,0,1.84820000000001E-06,541066.984092629
-4.45,-4.95171E-06,0,1.98090000000001E-06,504821.040940985
-4.4,-4.84948E-06,0,1.9638E-06,509216.824523881
-4.35,-4.75533E-06,0,1.92049999999999E-06,520697.734964855
-4.3,-4.65743E-06,0,1.95779999999999E-06,510777.403207684
-4.25,-4.55955E-06,0,1.86380000000001E-06,536538.255177593
-4.2,-4.47105E-06,0,1.80290000000001E-06,554661.933551499
-4.15,-4.37926E-06,0,1.76899999999999E-06,565291.124929342
-4.1,-4.29415E-06,0,1.67719999999999E-06,596231.814929649
-4.05,-4.21154E-06,0,1.67480000000001E-06,597086.219250058
-4,-4.12667E-06,0,1.71080000000001E-06,584521.861117603
-3.95,-4.04046E-06,0,1.6707E-06,598551.505357036
-3.9,-3.9596E-06,0,1.5937E-06,627470.665746376
-3.85,-3.88109E-06,0,1.5719E-06,636172.784528277
-3.8,-3.80241E-06,0,1.5699E-06,636983.247340597
-3.75,-3.7241E-06,0,1.596E-06,626566.4160401
-3.7,-3.64281E-06,0,1.5601E-06,640984.55227229
-3.65,-3.56809E-06,0,1.5178E-06,658848.333113718
-3.6,-3.49103E-06,0,1.5551E-06,643045.463314255
-3.55,-3.41258E-06,0,1.5155E-06,659848.234905971
-3.5,-3.33948E-06,0,1.4406E-06,694155.21310565
-3.45,-3.26852E-06,0,1.4363E-06,696233.377428116
