Setup title,"TFT Id-Vd-Tian"
Application test name,"TFT Id-Vd-Tian"
Test date,2/12/2018
Test time,17:03:59
Device ID,gr-ots-vfet
Count,6
Flags,!
Remarks,id-vg-2-pos1
Name,Gate,Source,Drain,VgStart,VgStop,VgStep,VdStart,VdStop,VdStep,Vs,IgLimit,IntegTime,HoldTime,DelayTime,DrainMinRng
Value,"SMU1:HP	HPSMU","SMU4:HR	HRSMU","SMU3:HR	HRSMU",0,100,20,-5,5,0.05,0,0.01,MEDIUM,0,0,1nA
Name,Polarity,Lg,Wg,Temp,IdMax
Value,1,1E-06,1E-05,25,0.01
Vdrain,Idrain,Vgate,gds,Rds
-5,-7.02314E-06,0,3.73540000000001E-06,267708.946833002
-4.95,-6.83637E-06,0,3.39140000000001E-06,294863.478209588
-4.9,-6.684E-06,0,2.95850000000001E-06,338009.126246408
-4.85,-6.54052E-06,0,2.78129999999999E-06,359544.098083631
-4.8,-6.40587E-06,0,2.56589999999999E-06,389726.801512141
-4.75,-6.28393E-06,0,2.39280000000001E-06,417920.427950517
-4.7,-6.16659E-06,0,2.32550000000001E-06,430015.050526767
-4.65,-6.05138E-06,0,2.26300000000001E-06,441891.294741492
-4.6,-5.94029E-06,0,2.21529999999999E-06,451406.130095249
-4.55,-5.82985E-06,0,2.12869999999999E-06,469770.282331943
-4.5,-5.72742E-06,0,2.14640000000001E-06,465896.384644054
-4.45,-5.61521E-06,0,2.16460000000001E-06,461979.11854384
-4.4,-5.51096E-06,0,2.03850000000001E-06,490556.781947507
-4.35,-5.41136E-06,0,2.03549999999999E-06,491279.783836898
-4.3,-5.30741E-06,0,2.00319999999998E-06,499201.277955276
-4.25,-5.21104E-06,0,1.96390000000001E-06,509190.895666782
-4.2,-5.11102E-06,0,1.95230000000001E-06,512216.360190541
-4.15,-5.01581E-06,0,1.90469999999999E-06,525017.063054553
-4.1,-4.92055E-06,0,1.83379999999999E-06,545315.737812196
-4.05,-4.83243E-06,0,1.84200000000001E-06,542888.165038001
-4,-4.73635E-06,0,1.8637E-06,536567.044052155
-3.95,-4.64606E-06,0,1.7612E-06,567794.685441743
-3.9,-4.56023E-06,0,1.7833E-06,560758.145012057
-3.85,-4.46773E-06,0,1.78790000000001E-06,559315.397952904
-3.8,-4.38144E-06,0,1.7733E-06,563920.374443128
-3.75,-4.2904E-06,0,1.7678E-06,565674.850096165
-3.7,-4.20466E-06,0,1.6645E-06,600781.015319917
-3.65,-4.12395E-06,0,1.6677E-06,599628.230497091
-3.6,-4.03789E-06,0,1.70400000000001E-06,586854.460093894
-3.55,-3.95355E-06,0,1.64919999999999E-06,606354.596167841
-3.5,-3.87297E-06,0,1.6072E-06,622200.099552016
-3.45,-3.79283E-06,0,1.6033E-06,623713.590719143
-3.4,-3.71264E-06,0,1.6158E-06,618888.476296571
-3.35,-3.63125E-06,0,1.65170000000001E-06,605436.822667552
-3.3,-3.54747E-06,0,1.5985E-06,625586.487331875
-3.25,-3.4714E-06,0,1.5151E-06,660022.440762986
-3.2,-3.39596E-06,0,1.5086E-06,662866.233594062
-3.15,-3.32054E-06,0,1.5004E-06,666488.936283658
-3.1,-3.24592E-06,0,1.50340000000001E-06,665158.972994542
-3.05,-3.1702E-06,0,1.5228E-06,656685.053848175
-3,-3.09364E-06,0,1.5115E-06,661594.442606683
-2.95,-3.01905E-06,0,1.4716E-06,679532.481652625
-2.9,-2.94648E-06,0,1.4671E-06,681616.79503783
-2.85,-2.87234E-06,0,1.46740000000001E-06,681477.443096631
-2.8,-2.79974E-06,0,1.4341E-06,697301.443413988
-2.75,-2.72893E-06,0,1.4469E-06,691132.766604464
-2.7,-2.65505E-06,0,1.4554E-06,687096.330905594
-2.65,-2.58339E-06,0,1.4358E-06,696475.832288622
-2.6,-2.51147E-06,0,1.423E-06,702740.688685873
-2.55,-2.44109E-06,0,1.3919E-06,718442.416840291
-2.5,-2.37228E-06,0,1.4095E-06,709471.443774387
-2.45,-2.30014E-06,0,1.4356E-06,696572.861521314
-2.4,-2.22872E-06,0,1.3902E-06,719320.961012805
-2.35,-2.16112E-06,0,1.3863E-06,721344.586308878
-2.3,-2.09009E-06,0,1.4272E-06,700672.645739911
-2.25,-2.0184E-06,0,1.4285E-06,700035.001750087
-2.2,-1.94724E-06,0,1.4158E-06,706314.451193672
-2.15,-1.87682E-06,0,1.3896E-06,719631.548647094
-2.1,-1.80828E-06,0,1.4081E-06,710176.834031675
-2.05,-1.73601E-06,0,1.4538E-06,687852.524418765
-2,-1.6629E-06,0,1.4285E-06,700035.001750086
-1.95,-1.59316E-06,0,1.4017E-06,713419.419276592
-1.9,-1.52273E-06,0,1.4312E-06,698714.365567355
-1.85,-1.45004E-06,0,1.4632E-06,683433.570256971
-1.8,-1.37641E-06,0,1.4754E-06,677782.296326421
-1.75,-1.3025E-06,0,1.4442E-06,692424.871901399
-1.7,-1.23199E-06,0,1.4469E-06,691132.766604463
-1.65,-1.15781E-06,0,1.5097E-06,662383.254951313
-1.6,-1.08102E-06,0,1.4796E-06,675858.340091918
-1.55,-1.00985E-06,0,1.4374E-06,695700.570474469
-1.5,-9.3728E-07,0,1.4793E-06,675995.403231258
-1.45,-8.6192E-07,0,1.4939E-06,669388.847981792
-1.4,-7.8789E-07,0,1.433E-06,697836.706210746
-1.35,-7.1862E-07,0,1.3849E-06,722073.795941946
-1.3,-6.494E-07,0,1.3896E-06,719631.548647093
-1.25,-5.7966E-07,0,1.3602E-06,735186.002058521
-1.2,-5.1338E-07,0,1.3004E-06,768994.155644416
-1.15,-4.4962E-07,0,1.2213E-06,818799.639728157
-1.1,-3.9125E-07,0,1.15286E-06,867408.011380394
-1.05,-3.34334E-07,0,1.07644E-06,928988.146111256
-1,-2.83606E-07,0,9.8551E-07,1014703.04715325
-0.95,-2.35783E-07,0,9.245E-07,1081665.76527853
-0.9,-1.91156E-07,0,8.52399999999999E-07,1173158.1417175
-0.85,-1.50543E-07,0,7.3001E-07,1369844.24870892
-0.8,-1.18155E-07,0,6.2026E-07,1612227.13055815
-0.75,-8.8517E-08,0,5.3441E-07,1871222.46963941
-0.7,-6.4714E-08,0,4.1447E-07,2412719.85909716
-0.65,-4.707E-08,0,3.3972E-07,2943600.61226893
-0.6,-3.0742E-08,0,2.809E-07,3559985.76005696
-0.55,-1.898E-08,0,1.7719E-07,5643659.34872171
-0.5,-1.3023E-08,0,1.1012E-07,9081002.54268072
-0.45,-7.968E-09,0,1.0591E-07,9441979.03880653
-0.4,-2.432E-09,0,7.628E-08,13109596.2244363
-0.35,-3.4E-10,0,1.44E-08,69444444.4444445
-0.3,-9.92E-10,0,1.069E-08,93545369.5042096
-0.25,7.29E-10,0,1.973E-08,50684237.2022301
-0.2,9.81E-10,0,-1.683E-08,-59417706.47653
-0.15,-9.54E-10,0,-9.24E-09,-108225108.225108
-0.1,5.7E-11,0,3.066E-08,32615786.0404436
-0.05,2.112E-09,0,1.116E-08,89605734.7670251
0,1.173E-09,0,-1.784E-08,-56053811.6591928
0.05,3.28E-10,0,7.42E-09,134770889.487871
0.1,1.915E-09,0,1.303E-08,76745970.8365311
0.15,1.631E-09,0,-1.742E-08,-57405281.2858783
0.2,1.73E-10,0,1.49999999999998E-10,6666666666.66674
0.25,1.646E-09,0,2.413E-08,41442188.1475342
0.3,2.586E-09,0,-9.16E-09,-109170305.676856
0.35,7.3E-10,0,-1.392E-08,-71839080.4597701
0.4,1.194E-09,0,2.129E-08,46970408.6425552
0.45,2.859E-09,0,1.49E-09,671140939.597315
0.5,1.343E-09,0,-1.676E-08,-59665871.1217184
0.55,1.183E-09,0,1.424E-08,70224719.1011236
0.6,2.767E-09,0,1.309E-08,76394194.0412528
0.65,2.492E-09,0,-1.669E-08,-59916117.4355902
0.7,1.098E-09,0,2.05E-09,487804878.04878
0.75,2.697E-09,0,2.646E-08,37792894.9357521
0.8,3.744E-09,0,-5.58E-09,-179211469.53405
0.85,2.139E-09,0,-1.085E-08,-92165898.6175115
0.9,2.659E-09,0,2.533E-08,39478878.7998421
0.95,4.672E-09,0,6.49E-09,154083204.930663
1,3.308E-09,0,-2.168E-08,-46125461.2546126
1.05,2.504E-09,0,1.158E-08,86355785.8376512
1.1,4.466E-09,0,2.49E-08,40160642.5702812
1.15,4.994E-09,0,-8.24000000000001E-09,-121359223.300971
1.2,3.642E-09,0,-2.88E-09,-347222222.222222
1.25,4.706E-09,0,3.176E-08,31486146.0957179
1.3,6.818E-09,0,8.47999999999999E-09,117924528.301887
1.35,5.554E-09,0,-1.603E-08,-62383031.8153463
1.4,5.215E-09,0,1.978E-08,50556117.2901921
1.45,7.532E-09,0,3.658E-08,27337342.8102788
1.5,8.873E-09,0,-5.16999999999999E-09,-193423597.678917
1.55,7.015E-09,0,1.19000000000001E-09,840336134.453776
1.6,8.992E-09,0,2.505E-08,39920159.6806387
1.65,9.52E-09,0,1.259E-08,79428117.5536139
1.7,1.0251E-08,0,2.328E-08,42955326.4604811
1.75,1.1848E-08,0,1.822E-08,54884742.0417125
1.8,1.2073E-08,0,-2.645E-08,-37807183.3648394
1.85,9.203E-09,0,-2.493E-08,-40112314.4805456
1.9,9.58E-09,0,2.71E-08,36900369.00369
1.95,1.1913E-08,0,4.59900000000001E-08,21743857.3602957
2,1.4179E-08,0,5.06E-09,197628458.498024
2.05,1.2419E-08,0,6.25E-09,160000000
2.1,1.4804E-08,0,2.902E-08,34458993.7973812
2.15,1.5321E-08,0,-7.39999999999995E-10,-1351351351.35136
2.2,1.473E-08,0,2.108E-08,47438330.170778
2.25,1.7429E-08,0,4.37299999999999E-08,22867596.6155957
2.3,1.9103E-08,0,7.69999999999999E-09,129870129.87013
2.35,1.8199E-08,0,2.93000000000002E-09,341296928.327642
2.4,1.9396E-08,0,4.051E-08,24685262.8980499
2.45,2.225E-08,0,5.75299999999999E-08,17382235.3554667
2.5,2.5149E-08,0,8.39999999999999E-09,119047619.047619
2.55,2.309E-08,0,1.01000000000002E-09,990099009.900971
2.6,2.525E-08,0,3.22000000000001E-08,31055900.6211179
2.65,2.631E-08,0,5.37999999999997E-09,185873605.947956
2.7,2.5788E-08,0,2.355E-08,42462845.0106157
2.75,2.8665E-08,0,4.87199999999999E-08,20525451.5599343
2.8,3.066E-08,0,1.431E-08,69881201.9566737
2.85,3.0096E-08,0,8.03000000000007E-09,124533001.245329
2.9,3.1463E-08,0,4.82899999999999E-08,20708221.1638021
2.95,3.4925E-08,0,3.63E-08,27548209.3663912
3,3.5093E-08,0,8.42000000000001E-09,118764845.605701
3.05,3.5767E-08,0,3.98199999999999E-08,25113008.538423
3.1,3.9075E-08,0,5.58700000000002E-08,17898693.3953821
3.15,4.1354E-08,0,2.263E-08,44189129.4741494
3.2,4.1338E-08,0,2.437E-08,41034058.2683628
3.25,4.3791E-08,0,5.734E-08,17439832.5776073
