Setup title,"Gate Scan Cycles"
Application test name,gate_scan_cycles
Test date,12/8/2017
Test time,15:12:22
Device ID,1
Count,1
Flags,
Remarks,
Name,Gate,Source,Drain,False,VgStart,VgStop,VgStep,Vd,IgLimit,IntegTime,curr_cycle,Vs,HoldTime,DelayTime,DrainMinRng
Value,"SMU1:HP	HPSMU","SMU3:HR	HRSMU","SMU4:HR	HRSMU","SMU2:HR	HRSMU",-100,100,1,3.5,0.01,MEDIUM,0,0,0,0,1nA
Name,Polarity,Lg,Wg,Temp,IdMax,test_cycles
Value,1,1E-06,1E-05,25,0.01,5
Vgate,Idrain,Isource,Igate,t,cycle,Vdrain
-100,1.368E-09,1.11985E-06,-2.7308E-06,0.02391,0,3.5
-99,1.999E-09,4.72382E-08,-9.7169E-08,0.26108,0,3.5
-98,4.04E-10,-7.4754E-09,1.8221E-08,0.48385,0,3.5
-97,-1.17E-10,-1.15951E-08,2.518E-08,0.68769,0,3.5
-96,-2.82E-10,-5.1257E-09,1.1466E-08,0.93874,0,3.5
-95,4E-11,-9.4075E-09,2.3036E-08,1.17072,0,3.5
-94,-1.03E-10,-9.6139E-09,2.3935E-08,1.4109,0,3.5
-93,-3.35E-10,-9.727E-09,2.4129E-08,1.65123,0,3.5
-92,6.56E-10,-1.03608E-08,2.4366E-08,1.89158,0,3.5
-91,2.33E-10,-1.08761E-08,2.5545E-08,2.13731,0,3.5
-90,8.7E-11,-1.27208E-08,2.6934E-08,2.34922,0,3.5
-89,1.78E-10,-1.28961E-08,2.708E-08,2.55304,0,3.5
-88,-2.4E-11,-1.02273E-08,2.1767E-08,2.80574,0,3.5
-87,-2.42E-10,-1.2823E-08,2.6778E-08,3.00949,0,3.5
-86,-2.19E-10,-1.2895E-08,2.7124E-08,3.21317,0,3.5
-85,-1.45E-10,-1.01614E-08,2.1631E-08,3.46577,0,3.5
-84,-8.57E-10,-1.26854E-08,2.6706E-08,3.66963,0,3.5
-83,-9E-11,-1.27979E-08,2.7411E-08,3.87333,0,3.5
