Setup title,gate_scan_cycles
Application test name,gate_scan_cycles
Test date,12/7/2017
Test time,18:09:08
Device ID,1
Count,30
Flags,
Remarks,
Name,Gate,Source,Drain,False,VgStart,VgStop,VgStep,Vd,IgLimit,IntegTime,curr_cycle,Vs,HoldTime,DelayTime,DrainMinRng
Value,"SMU1:HP	HPSMU","SMU4:HR	HRSMU","SMU3:HR	HRSMU","SMU2:HR	HRSMU",-50,100,1,-6,0.01,MEDIUM,0,0,0,0,1nA
Name,Polarity,Lg,Wg,Temp,IdMax,test_cycles
Value,1,1E-06,1E-05,25,0.01,11
Vgate,Idrain,Isource,Igate,t,cycle,Vdrain
-50,1.97609E-08,-2.8E-11,-3.2963E-07,0.08094,0,-6
-49,-4.4282E-09,-3.27E-10,2.6225E-08,0.32289,0,-6
-48,-3.3896E-09,-6.42E-10,1.9956E-08,0.51662,0,-6
-47,-6.881E-10,-3.95E-10,5.168E-09,0.76753,0,-6
-46,-7.2149E-09,-6.19E-10,3.9439E-08,0.93491,0,-6
-45,-1.1954E-09,-5.93E-10,1.4829E-08,1.18854,0,-6
-44,-7.289E-10,-7.9E-10,5.566E-09,1.46717,0,-6
-43,-7.4931E-09,-3.37E-10,4.0097E-08,1.63454,0,-6
-42,-7.8934E-09,-3.19E-10,4.2702E-08,1.7918,0,-6
-41,-1.9445E-09,-4.3E-11,1.5393E-08,2.04645,0,-6
-40,-9.446E-10,6E-12,6.674E-09,2.30568,0,-6
-39,-7.6083E-09,-1.83E-10,4.0674E-08,2.47311,0,-6
-38,-1.4378E-09,-1.37E-10,1.5491E-08,2.72742,0,-6
-37,-9.268E-10,7E-12,6.031E-09,3.00619,0,-6
-36,-7.6717E-09,-6.1E-11,4.0514E-08,3.17365,0,-6
-35,-8.225E-09,-1.2E-10,4.3136E-08,3.33098,0,-6
-34,-3.3083E-09,-1.12E-10,2.4619E-08,3.53587,0,-6
-33,-7.8914E-09,-2.3E-11,4.0786E-08,3.71442,0,-6
-32,-8.4354E-09,-1.75E-10,4.3411E-08,3.87174,0,-6
-31,-9.933E-09,-8E-11,4.3143E-08,4.02948,0,-6
-30,-1.15748E-08,1.87E-10,5.922E-08,4.15968,0,-6
-29,-3.9881E-09,1.58E-10,2.323E-08,4.35337,0,-6
-28,-1.3842E-09,-3.4E-11,7.638E-09,4.60437,0,-6
-27,-8.1509E-09,-1.45E-10,4.1294E-08,4.77167,0,-6
-26,-2.454E-09,9E-12,1.6305E-08,5.02554,0,-6
-25,-1.2604E-09,6E-12,6.782E-09,5.28501,0,-6
-24,-8.1759E-09,-8.3E-11,4.085E-08,5.4524,0,-6
-23,-1.8371E-09,-1.15E-10,1.645E-08,5.70601,0,-6
-22,-1.2766E-09,1.3E-11,6.703E-09,5.98487,0,-6
-21,-8.2457E-09,-1.65E-10,4.0845E-08,6.15228,0,-6
-20,-8.9308E-09,-1.64E-10,4.4135E-08,6.30953,0,-6
-19,-3.7498E-09,-1.19E-10,2.5506E-08,6.51423,0,-6
-18,-8.5344E-09,5E-12,4.184E-08,6.69273,0,-6
-17,-9.0127E-09,0,4.4121E-08,6.85,0,-6
-16,-3.8034E-09,3.3E-11,2.4878E-08,7.08209,0,-6
-15,-4.1427E-09,6.2E-11,2.2556E-08,7.29407,0,-6
-14,-3.9556E-09,-1.16E-10,2.2822E-08,7.49778,0,-6
-13,-2.4544E-09,2.12E-10,1.74E-08,7.76552,0,-6
-12,-4.1539E-09,5.7E-11,2.3483E-08,8.03222,0,-6
-11,-1.3838E-09,-2E-12,7.528E-09,8.28333,0,-6
-10,-8.5561E-09,-1.31E-10,4.1567E-08,8.45077,0,-6
-9,-1.9545E-09,-1.13E-10,1.7077E-08,8.70446,0,-6
-8,-1.3586E-09,-4E-12,7.264E-09,8.98315,0,-6
-7,-8.6403E-09,-1.7E-10,4.1816E-08,9.15049,0,-6
-6,-7.2035E-08,6.2169E-08,1.7156E-08,9.40408,0,-6
-5,-5.8109E-08,5.1059E-08,7.6022E-08,9.65079,0,-6
-4,-7.7026E-08,5.1845E-08,5.403E-08,9.81727,0,-6
-3,-5.4682E-08,4.8002E-08,3.8746E-08,10.0209,0,-6
-2,-7.5355E-08,4.1432E-08,7.436E-08,10.17719,0,-6
-1,-7.546E-08,6.5941E-08,5.52E-08,10.39199,0,-6
0,-8.5395E-08,6.6828E-08,2.9375E-08,10.58067,0,-6
1,-7.2705E-08,5.0713E-08,9.4304E-08,10.73685,0,-6
2,-6.5502E-08,6.134E-08,2.9097E-08,10.9404,0,-6
3,-5.2002E-08,4.3213E-08,8.1766E-08,11.09673,0,-6
4,-5.075E-08,3.9552E-08,6.0404E-08,11.31165,0,-6
5,-4.9333E-08,4.4546E-08,5.6091E-08,11.53064,0,-6
6,-4.9835E-08,3.8817E-08,5.8621E-08,11.74959,0,-6
7,-7.2903E-08,7.5213E-08,1.4372E-08,12.06153,0,-6
8,-1.78938E-07,6.6092E-08,7.9138E-08,12.21792,0,-6
9,-4.8198E-07,4.55859E-07,-1.6783E-08,12.44973,0,-6
10,-1.58661E-06,1.2559E-06,1.3562E-08,12.73223,0,-6
11,-7.11997E-07,9.5498E-07,2.9339E-08,12.92459,0,-6
12,-4.53228E-07,5.9551E-07,5.983E-08,13.14089,0,-6
13,-4.17605E-07,3.51778E-07,2.32E-10,13.39096,0,-6
14,-2.83353E-07,4.94553E-07,1.1078E-08,13.61428,0,-6
15,-1.76901E-07,1.68968E-07,3.0824E-08,13.83491,0,-6
16,-2.03927E-07,1.75944E-07,2.3761E-08,14.05537,0,-6
17,-1.80571E-07,2.18296E-07,2.1985E-08,14.27598,0,-6
18,-1.77638E-07,1.89676E-07,5.082E-09,14.61793,0,-6
19,-1.86474E-07,2.0049E-07,7.536E-09,14.8894,0,-6
20,-1.96501E-07,1.88265E-07,1.2133E-08,15.12926,0,-6
21,-1.9618E-07,2.05385E-07,2.5504E-08,15.34987,0,-6
22,-1.70452E-07,1.90438E-07,-3.703E-09,15.61775,0,-6
23,-1.79498E-07,1.77819E-07,5.079E-09,15.93855,0,-6
24,-1.79315E-07,1.66005E-07,1.6205E-08,16.18855,0,-6
