Setup title,VFET_cycle
Application test name,gate_scan_cycles
Test date,1/19/2018
Test time,15:59:15
Device ID,ratiosample
Count,9
Flags,!
Remarks,
Name,Gate,Source,Drain,False,VgStart,VgStop,VgStep,Vd,IgLimit,IntegTime,curr_cycle,Vs,HoldTime,DelayTime,DrainMinRng
Value,"SMU1:HP	HPSMU","SMU4:HR	HRSMU","SMU3:HR	HRSMU","SMU2:HR	HRSMU",-100,100,1,0.5,0.01,MEDIUM,0,0,0,0,1nA
Name,Polarity,Lg,Wg,Temp,IdMax,test_cycles
Value,1,1E-06,1E-05,25,0.01,2
Vgate,Idrain,Isource,Igate,t,cycle,Vdrain
-100,1.574E-09,1.0907E-08,-1.8678E-08,0.08675,0,0.5
-99,7.94E-10,4.568E-09,-6.159E-09,0.3894,0,0.5
-98,4.15E-10,2.956E-09,-3.259E-09,0.68585,0,0.5
-97,3.58E-10,2.306E-09,3.336E-09,0.86535,0,0.5
-96,8.7E-11,1.938E-09,-1.725E-09,1.08506,0,0.5
-95,2.08E-10,1.544E-09,-1.803E-09,1.39615,0,0.5
-94,3.06E-10,1.495E-09,-1.406E-09,1.67052,0,0.5
-93,4.1E-11,8.3E-11,-9.22E-10,1.96053,0,0.5
-92,1.01E-10,8.05E-10,-1.89E-10,2.18554,0,0.5
-91,7.8E-11,1.216E-09,-7.28E-10,2.45203,0,0.5
-90,1.16E-10,6.73E-10,3.577E-09,2.69662,0,0.5
-89,8.37E-10,9.31E-10,-7.94E-10,2.96975,0,0.5
-88,-6.843E-09,5.28E-10,2.608E-09,3.21956,0,0.5
-87,-6.58E-09,5.08E-10,5.82E-10,3.46578,0,0.5
-86,-8.203E-09,2.04E-10,6.73E-10,3.6861,0,0.5
-85,-9.662E-09,1.1E-11,6.87E-10,3.90619,0,0.5
-84,4.33E-10,-4.42E-10,6.34E-10,4.12658,0,0.5
-83,-3.06E-10,6.91E-10,-1.4E-10,4.39283,0,0.5
