Setup title,gate_scan_cycles
Application test name,gate_scan_cycles
Test date,12/7/2017
Test time,17:49:12
Device ID,1
Count,23
Flags,
Remarks,
Name,Gate,Source,Drain,False,VgStart,VgStop,VgStep,Vd,IgLimit,IntegTime,curr_cycle,Vs,HoldTime,DelayTime,DrainMinRng
Value,"SMU1:HP	HPSMU","SMU4:HR	HRSMU","SMU3:HR	HRSMU","SMU2:HR	HRSMU",-50,100,5,-6,0.01,LONG,0,0,0,0,1nA
Name,Polarity,Lg,Wg,Temp,IdMax,test_cycles
Value,1,1E-06,1E-05,25,0.01,11
Vgate,Idrain,Isource,Igate,t,cycle,Vdrain
-50,-2.079E-10,6.1E-11,4.2E-10,0.67573,0,-6
-45,1.631E-10,-5.2E-11,2.4103E-08,2.71029,0,-6
-40,6.89E-11,-1.2E-11,1.6089E-08,4.80213,0,-6
-35,7.5E-12,2.17E-10,3.0865E-08,6.84649,0,-6
-30,-2.1E-12,2.2E-11,3.0906E-08,8.87131,0,-6
-25,-2.29E-11,6E-12,1.6924E-08,10.96298,0,-6
-20,-6.6305E-08,1E-11,3.2355E-08,12.98788,0,-6
-15,-7.7353E-08,7.3094E-08,2.7827E-08,15.65316,0,-6
-10,-8.4455E-08,8.1003E-08,1.2934E-08,17.70092,0,-6
-5,-8.441E-08,8.6925E-08,2.7274E-08,20.36641,0,-6
0,-9.9703E-08,1.00752E-07,2.9835E-08,22.39129,0,-6
5,-9.8092E-08,9.2871E-08,2.1862E-08,25.05939,0,-6
10,-8.6757E-08,9.2084E-08,2.618E-08,27.74421,0,-6
15,-8.9509E-08,9.3773E-08,3.0958E-08,29.76849,0,-6
20,-8.9885E-08,9.4554E-08,2.9744E-08,31.76871,0,-6
25,-9.1783E-08,9.395E-08,3.0114E-08,33.79009,0,-6
30,-9.1276E-08,8.8331E-08,2.4487E-08,36.45955,0,-6
35,-9.3285E-08,9.3344E-08,3.0385E-08,38.48401,0,-6
40,-1.11443E-07,1.09332E-07,3.0256E-08,40.50855,0,-6
45,-1.0664E-07,1.08976E-07,2.2577E-08,43.17822,0,-6
50,-1.17441E-07,1.17364E-07,2.7336E-08,45.204,0,-6
55,-1.31842E-07,1.31641E-07,2.7089E-08,47.20447,0,-6
60,-1.48855E-07,1.51334E-07,2.5807E-08,49.20624,0,-6
65,-1.85357E-07,1.8833E-07,2.6142E-08,51.2458,0,-6
70,-2.85304E-07,2.95039E-07,2.5374E-08,53.26561,0,-6
75,-5.22971E-07,5.5993E-07,2.484E-08,55.26607,0,-6
80,-1.07927E-06,1.16444E-06,2.6062E-08,57.26638,0,-6
85,-1.98108E-06,2.12142E-06,3.2937E-08,59.2386,0,-6
90,-3.16132E-06,3.37277E-06,3.3824E-08,61.21088,0,-6
95,-4.48272E-06,4.75563E-06,3.4068E-08,63.18319,0,-6
100,-5.70189E-06,6.03733E-06,3.7026E-08,65.15534,0,-6
100,-4.92996E-06,5.11197E-06,1.3485E-08,67.09452,0,-6
95,-2.47285E-06,2.55075E-06,8.856E-09,69.04914,0,-6
90,-1.02205E-06,1.03923E-06,7.415E-09,71.04931,0,-6
85,-3.89315E-07,3.82718E-07,3.303E-09,73.05108,0,-6
80,-2.04389E-07,2.02931E-07,3.539E-09,75.08682,0,-6
75,-1.54478E-07,1.52312E-07,-8.03E-10,77.08502,0,-6
70,-1.37754E-07,1.40617E-07,1.74E-10,79.14781,0,-6
65,-1.4242E-07,1.41404E-07,-4.587E-09,81.14996,0,-6
60,-1.49576E-07,1.47758E-07,-1.369E-09,83.17628,0,-6
55,-1.38317E-07,1.39261E-07,-3.47E-09,85.17641,0,-6
50,-1.37818E-07,1.41494E-07,-1.25E-09,87.14664,0,-6
45,-1.24983E-07,1.3175E-07,-1.696E-09,89.17498,0,-6
