Setup title,gate_scan_cycles
Application test name,gate_scan_cycles
Test date,12/6/2017
Test time,17:31:03
Device ID,1
Count,20
Flags,!
Remarks,first_VFET_LED
Name,Gate,Source,Drain,VgStart,VgStop,VgStep,VdStart,VdStop,VdStep,IgLimit,IntegTime,curr_cycle,Vs,HoldTime,DelayTime,DrainMinRng
Value,"SMU1:HP	HPSMU","SMU4:HR	HRSMU","SMU3:HR	HRSMU",-50,100,0.5,-5,-5,2,0.01,MEDIUM,0,0,0,0,1nA
Name,Polarity,Lg,Wg,Temp,IdMax,test_cycles
Value,1,1E-06,1E-05,25,0.01,10
Vgate,Idrain,Isource,Igate,Rds,Vdrain
-50,-1.77564E-07,1.83403E-07,3.68E-10,563177220.607781,-5
-49.5,-1.67334E-07,1.67484E-07,4.011E-09,597607180.847885,-5
-49,-1.71593E-07,1.68106E-07,5.1999E-08,582774355.597256,-5
-48.5,-1.82079E-07,1.80024E-07,7.851E-09,549212155.163418,-5
-48,-1.67123E-07,1.65136E-07,5.5247E-08,598361685.704541,-5
-47.5,-1.71028E-07,1.70166E-07,5.313E-08,584699581.3551,-5
-47,-1.70371E-07,1.682E-07,5.4825E-08,586954352.560001,-5
-46.5,-1.7182E-07,1.71619E-07,4.8158E-08,582004423.233617,-5
-46,-1.81228E-07,1.75682E-07,8.357E-09,551791113.955901,-5
-45.5,-1.68149E-07,1.78842E-07,5.4309E-08,594710643.536387,-5
-45,-1.6904E-07,1.69503E-07,5.1318E-08,591575958.353053,-5
-44.5,-1.66748E-07,1.76468E-07,5.5641E-08,599707342.816705,-5
-44,-1.72241E-07,1.68791E-07,5.3008E-08,580581859.139229,-5
-43.5,-1.87865E-07,1.77013E-07,9.836E-09,532297128.256993,-5
-43,-1.79599E-07,1.86476E-07,5.3846E-08,556795973.251521,-5
-42.5,-1.80769E-07,1.80406E-07,5.2069E-08,553192195.564505,-5
-42,-1.8459E-07,1.82322E-07,5.4952E-08,541741156.075627,-5
-41.5,-1.88072E-07,1.92797E-07,5.3389E-08,531711259.517632,-5
-41,-1.872E-07,1.85358E-07,7.173E-09,534188034.188034,-5
-40.5,-2.12728E-07,1.88862E-07,5.606E-08,470083862.961152,-5
-40,-2.04335E-07,2.02708E-07,3.424E-09,489392419.311425,-5
-39.5,-2.03497E-07,2.01667E-07,5.4421E-08,491407735.740576,-5
-39,-1.87264E-07,1.96882E-07,5.7997E-08,534005468.215995,-5
-38.5,-1.92387E-07,1.91055E-07,5.2173E-08,519785640.401898,-5
-38,-1.87468E-07,1.90938E-07,2.4565E-08,533424371.092666,-5
-37.5,-1.71412E-07,1.7773E-07,4.701E-09,583389727.673675,-5
-37,-1.78151E-07,1.75292E-07,5.168E-08,561321575.517398,-5
-36.5,-1.83302E-07,1.71945E-07,9.399E-09,545547784.530447,-5
-36,-1.79037E-07,1.70004E-07,5.762E-08,558543764.696683,-5
-35.5,-1.80465E-07,1.81548E-07,5.2008E-08,554124068.37891,-5
-35,-1.75288E-07,1.8534E-07,5.7834E-08,570489708.365661,-5
-34.5,-1.73877E-07,1.7239E-07,5.2798E-08,575119193.452843,-5
-34,-1.7842E-07,1.85209E-07,5.4052E-08,560475283.040018,-5
-33.5,-1.78275E-07,1.8032E-07,5.3891E-08,560931145.701865,-5
-33,-1.76927E-07,1.84031E-07,5.5788E-08,565204858.500964,-5
-32.5,-1.81406E-07,1.78174E-07,5.3106E-08,551249683.031432,-5
-32,-1.86415E-07,1.82466E-07,5.5061E-08,536437518.44004,-5
-31.5,-1.8366E-07,1.79748E-07,5.5584E-08,544484373.298486,-5
-31,-1.85302E-07,1.81192E-07,5.6196E-08,539659582.735211,-5
-30.5,-1.81438E-07,1.86657E-07,5.2275E-08,551152459.793428,-5
-30,-1.86816E-07,1.78888E-07,5.8532E-08,535286056.868791,-5
-29.5,-1.84701E-07,1.86723E-07,5.3983E-08,541415585.189035,-5
-29,-1.91839E-07,1.8439E-07,5.6467E-08,521270440.317141,-5
-28.5,-1.94337E-07,1.88744E-07,5.6236E-08,514570050.993892,-5
-28,-1.97127E-07,1.929E-07,2.5113E-08,507287180.345666,-5
