Setup title,Graphene-Transistor-cycle
Application test name,"TFT Id-Vg-tian-cycle"
Test date,12/6/2017
Test time,12:59:50
Device ID,
Count,8
Flags,
Remarks,
Name,Gate,Source,Drain,VgStart,VgStop,VgStep,Vs,VdStart,VdStop,VdStep,IgLimit,IntegTime,HoldTime,DelayTime,DrainMinRng
Value,"SMU1:HP	HPSMU","SMU4:HR	HRSMU","SMU3:HR	HRSMU",-50,100,0.5,0,-5,-5,2,0.01,MEDIUM,0,0,1nA
Name,Polarity,Lg,Wg,Temp,IdMax
Value,1,1E-06,1E-05,25,0.01
Vgate,Idrain,Isource,Igate,Rds,Vdrain
-50,1.38581E-07,-3.69E-10,-1.32605E-06,-721599642.086578,-5
-49.5,1.07349E-08,7.2E-11,-3.4076E-08,-9315410483.56296,-5
-49,-3.2864E-09,1.08E-10,2.1222E-08,30428432327.1665,-5
-48.5,1.242E-10,3E-12,1.0102E-08,-805152979066.023,-5
-48,-1.0503E-09,-5.8E-11,1.3855E-08,95210892126.0592,-5
-47.5,-4.0445E-09,-8.3E-11,2.8236E-08,24724935097.0454,-5
-47,-1.923E-09,2.4E-11,1.4435E-08,52002080083.2033,-5
-46.5,-1.6202E-09,-2.5E-11,1.1485E-08,61720775212.9367,-5
-46,-6.497E-09,2.51E-10,2.889E-08,15391719255.0408,-5
-45.5,-7.539E-10,8.7E-11,7.551E-09,132643586682.584,-5
-45,-6.4641E-09,1.57E-10,2.8594E-08,15470057703.3152,-5
-44.5,-2.9037E-09,4.18E-10,2.2464E-08,34438819437.2697,-5
-44,-6.2168E-09,8.38E-10,3.0377E-08,16085445888.56,-5
-43.5,-2.8014E-09,9.69E-10,2.3143E-08,35696437495.5379,-5
-43,-6.5623E-09,5.58E-10,3.0355E-08,15238559651.3418,-5
-42.5,-6.584E-10,7.44E-10,8.153E-09,151883353584.447,-5
-42,-7.2501E-09,7.5E-10,2.9128E-08,13792913201.1972,-5
-41.5,-4.0164E-09,-5.8E-11,2.2193E-08,24897918534.0106,-5
-41,-7.5238E-09,-3.4E-11,2.9955E-08,13291156064.7545,-5
-40.5,-1.5501E-09,-6.7E-11,8.356E-09,64511966969.8729,-5
-40,-7.2095E-09,-2.2E-11,2.8954E-08,13870587419.3772,-5
-39.5,-4.1249E-09,-3.1E-11,2.2479E-08,24243011951.8049,-5
-39,-6.984E-10,-3.1E-11,3.866E-09,143184421534.937,-5
-38.5,-3.0272E-09,-6E-12,1.3674E-08,33033826638.4778,-5
-38,-3.1023E-09,-5.2E-11,1.4142E-08,32234148857.2994,-5
-37.5,-3.132E-09,-4.1E-11,1.4328E-08,31928480204.3423,-5
-37,-3.1579E-09,-1.4E-11,1.4311E-08,31666613888.9769,-5
-36.5,-3.2004E-09,-4.5E-11,1.4386E-08,31246094238.2202,-5
-36,-3.1802E-09,1E-11,1.4525E-08,31444563235.0167,-5
-35.5,-3.1933E-09,2.6E-11,1.4477E-08,31315566968.34,-5
-35,-2.3611E-09,-3.1E-11,1.5159E-08,42353140485.367,-5
-34.5,-2.5096E-09,-1.1E-11,1.5206E-08,39846987567.7399,-5
-34,-7.5105E-09,4.8E-11,2.9454E-08,13314692763.4645,-5
-33.5,-2.5444E-09,-5.2E-11,1.2999E-08,39301996541.4243,-5
-33,-2.445E-09,-4.7E-11,1.5173E-08,40899795501.0225,-5
-32.5,-4.2712E-09,-4.2E-11,1.8937E-08,23412624086.9077,-5
-32,-7.8186E-09,7E-11,3.0358E-08,12790013557.4144,-5
-31.5,-1.6943E-09,-2.5E-11,8.522E-09,59021424777.1941,-5
-31,-7.514E-09,1E-11,2.92E-08,13308490817.1413,-5
-30.5,-4.3756E-09,-2.8E-11,2.2758E-08,22854008593.1072,-5
-30,-7.8883E-09,-2.7E-11,3.0457E-08,12677002649.4936,-5
-29.5,-4.4799E-09,-6E-12,2.3073E-08,22321926828.7239,-5
-29,-7.9489E-09,-1E-11,3.0564E-08,12580357030.5325,-5
-28.5,-1.9744E-09,-2.4E-11,1.3295E-08,50648298217.1799,-5
-28,-2.5844E-09,-6.4E-11,1.5874E-08,38693700665.5317,-5
-27.5,-5.5137E-09,-1.21E-10,2.9779E-08,18136641456.735,-5
-27,-2.5816E-09,7.7E-11,1.2925E-08,38735667802.9129,-5
-26.5,-2.5398E-09,-4.2E-11,1.3024E-08,39373178990.4717,-5
-26,-7.7595E-09,-1E-11,2.9722E-08,12887428313.68,-5
-25.5,-1.11322E-07,1.1034E-07,-2.6106E-08,898295036.021631,-5
-25,-1.24439E-07,1.06534E-07,5.0517E-08,803606586.359582,-5
-24.5,-1.2326E-07,1.34997E-07,1.0079E-08,811293201.362973,-5
-24,-1.2227E-07,1.13474E-07,5.2633E-08,817862108.448516,-5
-23.5,-1.20345E-07,1.18647E-07,6.1483E-08,830944368.274544,-5
-23,-1.1959E-07,1.27677E-07,5.3736E-08,836190316.91613,-5
-22.5,-1.28843E-07,1.21474E-07,4.9338E-08,776138400.999666,-5
-22,-1.25023E-07,1.32345E-07,4.8295E-08,799852827.079817,-5
-21.5,-1.26362E-07,1.2132E-07,5.8031E-08,791377154.524303,-5
-21,-1.30543E-07,1.27112E-07,5.5775E-08,766031116.183939,-5
-20.5,-1.28504E-07,1.29466E-07,1.1911E-08,778185893.046131,-5
-20,-1.22537E-07,1.16321E-07,1.0031E-08,816080041.130434,-5
-19.5,-1.22542E-07,1.27116E-07,5.7667E-08,816046743.157448,-5
-19,-1.25119E-07,1.17321E-07,5.1704E-08,799239124.353615,-5
-18.5,-1.29948E-07,1.27815E-07,5.3513E-08,769538584.664635,-5
-18,-1.24765E-07,1.18437E-07,2.855E-09,801506832.84575,-5
-17.5,-1.21797E-07,1.13254E-07,5.6096E-08,821038285.01523,-5
-17,-1.30137E-07,1.23878E-07,4.7985E-08,768420971.745161,-5
-16.5,-1.27598E-07,1.37881E-07,5.6044E-08,783711343.437985,-5
-16,-1.27299E-07,1.24283E-07,5.3464E-08,785552125.311275,-5
-15.5,-1.26994E-07,1.35405E-07,5.1235E-08,787438776.635117,-5
-15,-1.2825E-07,1.23146E-07,5.4577E-08,779727095.516569,-5
-14.5,-1.35527E-07,1.29626E-07,5.5197E-08,737860352.549676,-5
-14,-1.33267E-07,1.31771E-07,1.0779E-08,750373310.722084,-5
-13.5,-1.31413E-07,1.29418E-07,5.1676E-08,760959722.401893,-5
-13,-1.30545E-07,1.30549E-07,1.5053E-08,766019380.290321,-5
-12.5,-1.33459E-07,1.3983E-07,-1.023E-09,749293790.602357,-5
-12,-1.41855E-07,1.22972E-07,8.085E-09,704945190.511438,-5
-11.5,-1.37435E-07,1.47962E-07,1.0471E-08,727616691.526904,-5
-11,-1.42746E-07,1.47289E-07,3.978E-09,700545024.028694,-5
-10.5,-1.4611E-07,1.39316E-07,5.884E-09,684415851.071111,-5
-10,-1.39935E-07,1.48049E-07,6.0642E-08,714617500.982599,-5
-9.5,-1.4174E-07,1.35427E-07,5.5395E-08,705517144.066601,-5
-9,-1.51982E-07,1.45897E-07,5.8665E-08,657972654.656472,-5
-8.5,-1.44809E-07,1.44009E-07,1.0701E-08,690564812.96052,-5
-8,-1.51824E-07,1.46511E-07,1.1003E-08,658657392.770576,-5
