Setup title,Graphene-Transistor-cycle
Application test name,"TFT Id-Vg-tian-cycle"
Test date,12/6/2017
Test time,12:55:00
Device ID,
Count,4
Flags,
Remarks,
Name,Gate,Source,Drain,VgStart,VgStop,VgStep,Vs,VdStart,VdStop,VdStep,IgLimit,IntegTime,HoldTime,DelayTime,DrainMinRng
Value,"SMU1:HP	HPSMU","SMU4:HR	HRSMU","SMU3:HR	HRSMU",-50,100,0.2,0,-3.5,-3.5,2,0.01,MEDIUM,0,0,1nA
Name,Polarity,Lg,Wg,Temp,IdMax
Value,1,1E-06,1E-05,25,0.01
Vgate,Idrain,Isource,Igate,Rds,Vdrain
-50,1.50495E-07,-1E-09,-1.41702E-06,-465131731.951228,-3.5
-49.8,1.49821E-08,-1.71E-10,-5.4187E-08,-4672242209.03612,-3.5
-49.6,1.7203E-09,-2.43E-10,1.667E-09,-40690577224.9026,-3.5
-49.4,1.979E-10,-1.19E-10,3.944E-09,-353713996968.166,-3.5
-49.2,-1.5928E-09,-1.71E-10,9.783E-09,43947764942.2401,-3.5
-49,-1.8594E-09,-7.5E-11,1.0859E-08,37646552651.3929,-3.5
-48.8,-1.9877E-09,-7.6E-11,1.1304E-08,35216581979.1719,-3.5
-48.6,-2.1276E-09,-2E-11,1.1418E-08,32900921225.7943,-3.5
-48.4,-2.22E-09,-2.4E-11,1.1655E-08,31531531531.5315,-3.5
-48.2,-2.3187E-09,-1.8E-11,1.1787E-08,30189330228.1451,-3.5
-48,-9.057E-10,-1.25E-10,8.933E-09,77288285304.1846,-3.5
-47.8,-3.452E-10,2.37E-10,6.42E-09,202780996523.754,-3.5
-47.6,-2.3223E-09,2.15E-10,1.1085E-08,30142531111.3982,-3.5
-47.4,-2.7454E-09,2.61E-10,1.213E-08,25497195308.5161,-3.5
-47.2,-3.0251E-09,1.44E-10,1.1946E-08,23139730917.9862,-3.5
-47,-3.1172E-09,1.14E-10,1.1995E-08,22456050301.5527,-3.5
-46.8,-5.07E-10,1.24E-10,4.321E-09,138067061143.984,-3.5
-46.6,-2.5939E-09,8.5E-11,1.1365E-08,26986391148.4637,-3.5
-46.4,-2.8596E-09,-9.2E-11,1.2272E-08,24478948104.63,-3.5
-46.2,-2.8798E-09,1.4E-11,1.2455E-08,24307243558.5805,-3.5
-46,-2.9354E-09,-6.2E-11,1.2484E-08,23846835184.302,-3.5
-45.8,-2.9674E-09,1.1E-11,1.2441E-08,23589674462.4924,-3.5
-45.6,-3.0374E-09,-6E-11,1.2422E-08,23046026206.6241,-3.5
-45.4,-3.048E-09,-4.3E-11,1.2479E-08,22965879265.0919,-3.5
-45.2,-3.0618E-09,-2.8E-11,1.2463E-08,22862368541.3809,-3.5
-45,-3.0703E-09,-2.4E-11,1.2556E-08,22799075008.9568,-3.5
-44.8,-3.0702E-09,-6.3E-11,1.257E-08,22799817601.4592,-3.5
-44.6,-3.276E-09,-1.09E-10,1.2564E-08,21367521367.5214,-3.5
-44.4,-3.2349E-09,-5.43E-10,1.2446E-08,21638999659.9586,-3.5
-44.2,-3.2288E-09,-6.87E-10,1.2423E-08,21679881070.3667,-3.5
-44,-1.9458E-09,-6.61E-10,9.587E-09,35974920341.2478,-3.5
-43.8,-1.4529E-09,-2.87E-10,6.899E-09,48179503062.8398,-3.5
-43.6,-3.0812E-09,-6.2E-11,1.1686E-08,22718421394.262,-3.5
-43.4,-3.213E-09,3.5E-11,1.2503E-08,21786492374.7277,-3.5
-43.2,-3.2504E-09,-9.9E-11,1.2569E-08,21535810977.1105,-3.5
-43,-3.2043E-09,-1.15E-10,1.2727E-08,21845644914.6459,-3.5
-42.8,-3.2517E-09,-1.13E-10,1.2764E-08,21527201156.3182,-3.5
-42.6,-5.898E-10,1.64E-10,2.694E-09,118684299762.631,-3.5
-42.4,-6.038E-10,-6E-11,3.468E-09,115932427956.277,-3.5
-42.2,-2.913E-09,4.3E-11,1.1534E-08,24030209406.1105,-3.5
-42,-3.1593E-09,4.1E-11,1.2678E-08,22156806887.6017,-3.5
-41.8,-3.2462E-09,1.3E-11,1.2736E-08,21563674450.1263,-3.5
-41.6,-3.2712E-09,8E-12,1.2852E-08,21398875030.5698,-3.5
-41.4,-3.2798E-09,-4.2E-11,1.2823E-08,21342764802.7319,-3.5
-41.2,-1.7891E-09,-1.3E-10,1.0073E-08,39125817450.1146,-3.5
-41,-1.3001E-09,1.3E-11,7.092E-09,53842012152.9113,-3.5
-40.8,-3.0305E-09,7E-12,1.1947E-08,23098498597.5912,-3.5
-40.6,-3.2464E-09,7.7E-11,1.278E-08,21562345983.243,-3.5
-40.4,-3.3285E-09,-2.2E-11,1.2808E-08,21030494216.6141,-3.5
-40.2,-3.3206E-09,2E-11,1.2878E-08,21080527615.4912,-3.5
-40,-3.3434E-09,-2E-11,1.2954E-08,20936770951.7258,-3.5
-39.8,-3.3992E-09,6.2E-11,1.3127E-08,20593080724.8764,-3.5
-39.6,-1.834E-09,-1.22E-10,1.0127E-08,38167938931.2977,-3.5
-39.4,-1.337E-09,-2.7E-11,7.191E-09,52356020942.4084,-3.5
-39.2,-3.065E-09,4E-12,1.1968E-08,22838499184.3393,-3.5
-39,-3.2733E-09,4.9E-11,1.2772E-08,21385146488.2534,-3.5
-38.8,-3.3329E-09,-2.5E-11,1.2902E-08,21002730354.9461,-3.5
-38.6,-9.7121E-09,5.557E-09,1.1242E-08,7207504041.35048,-3.5
-38.4,-2.11727E-08,2.2294E-08,9.25E-09,3306144232.90369,-3.5
-38.2,-3.4966E-08,3.3185E-08,-1.227E-09,2001944746.325,-3.5
-38,-4.0127E-08,3.9526E-08,1.0681E-08,1744461335.26055,-3.5
-37.8,-4.3226E-08,3.8843E-08,1.4888E-08,1619395734.04895,-3.5
-37.6,-4.5016E-08,4.3805E-08,1.3274E-08,1555002665.71886,-3.5
-37.4,-4.8436E-08,4.5933E-08,1.5629E-08,1445206045.09043,-3.5
-37.2,-5.0596E-08,5.0539E-08,1.3086E-08,1383508577.75318,-3.5
-37,-5.2577E-08,5.2329E-08,1.2354E-08,1331380641.72547,-3.5
-36.8,-5.8369E-08,5.927E-08,7.339E-09,1199266734.05404,-3.5
-36.6,-6.0059E-08,5.9624E-08,1.262E-08,1165520571.43809,-3.5
-36.4,-6.23E-08,5.9557E-08,1.2438E-08,1123595505.61798,-3.5
-36.2,-6.4422E-08,6.2539E-08,1.1872E-08,1086585327.99354,-3.5
-36,-6.5124E-08,6.1749E-08,1.8033E-08,1074872550.82612,-3.5
-35.8,-6.6357E-08,6.2521E-08,1.6726E-08,1054900010.549,-3.5
-35.6,-6.8309E-08,6.3043E-08,1.6628E-08,1024755156.71434,-3.5
-35.4,-6.9225E-08,6.3978E-08,1.8095E-08,1011195377.39256,-3.5
-35.2,-6.8802E-08,6.6653E-08,1.3875E-08,1017412284.52661,-3.5
-35,-7.1155E-08,6.6174E-08,1.8119E-08,983767830.791933,-3.5
-34.8,-7.1032E-08,6.676E-08,1.9197E-08,985471336.862259,-3.5
-34.6,-7.2583E-08,6.8738E-08,1.9268E-08,964413154.595429,-3.5
-34.4,-7.3347E-08,6.8041E-08,2.0256E-08,954367595.129998,-3.5
-34.2,-7.4114E-08,7.3076E-08,1.3471E-08,944490919.394446,-3.5
