Setup title,vfet-test
Application test name,"TFT Id-Vg-tian"
Test date,11/28/2017
Test time,15:11:12
Device ID,
Count,96
Flags,!
Remarks,gr-ots-air-7
Name,Gate,Source,Drain,VgStart,VgStop,VgStep,Vs,VdStart,VdStop,VdStep,IgLimit,IntegTime,HoldTime,DelayTime,DrainMinRng
Value,"SMU1:HP	HPSMU","SMU4:HR	HRSMU","SMU3:HR	HRSMU",-110,100,1,0,-0.5,-5,0.5,0.01,MEDIUM,0,0,1nA
Name,Polarity,Lg,Wg,Temp,IdMax
Value,1,1E-06,1E-05,25,0.01
Vgate,Idrain,Isource,Igate,Rds,Vdrain
-110,5.6482E-09,8.02E-10,-1.8381E-08,-1770475549.73266,-0.5
-109,3.1812E-09,7.5E-10,-4.8984E-09,-3143467873.75833,-0.5
-108,1.9564E-09,7.19E-10,-3.1196E-09,-5111429155.5919,-0.5
-107,1.495E-09,7.25E-10,-2.3067E-09,-6688963210.70234,-0.5
-106,1.0669E-09,6.97E-10,-1.9147E-09,-9372949667.26029,-0.5
-105,8.802E-10,6.86E-10,-1.5387E-09,-11361054305.8396,-0.5
-104,6.653E-10,6.86E-10,-1.3915E-09,-15030813166.9923,-0.5
-103,5.41E-10,6.63E-10,-1.1082E-09,-18484288354.8983,-0.5
-102,4.168E-10,6.91E-10,-1.0415E-09,-23992322456.8138,-0.5
-101,2.036E-10,6.88E-10,-7.21E-10,-49115913555.9921,-0.5
-100,2.178E-10,7.26E-10,-8.602E-10,-45913682277.3186,-0.5
-99,8.64E-11,7.17E-10,-6.715E-10,-115740740740.741,-0.5
-98,8.83E-11,6.71E-10,-3.59E-10,-113250283125.708,-0.5
-97,-2.94E-11,6.66E-10,-4.989E-10,340136054421.769,-0.5
-96,-1.17E-10,7.36E-10,-4.432E-10,85470085470.0855,-0.5
-95,-1.006E-10,6.54E-10,-4.005E-10,99403578528.827,-0.5
-94,-1.709E-10,6.75E-10,-4.577E-10,58513750731.4219,-0.5
-93,-2.233E-10,6.55E-10,-2.663E-10,44782803403.4931,-0.5
-92,-2.909E-10,7.21E-10,-3.871E-10,34376074252.3204,-0.5
-91,-2.152E-10,7.35E-10,-3.318E-10,46468401486.9888,-0.5
-90,-2.854E-10,7.21E-10,-1.995E-10,35038542396.6363,-0.5
-89,-4.276E-10,7.84E-10,-2.201E-10,23386342376.0524,-0.5
-88,-4.042E-10,7.67E-10,-2.629E-10,24740227610.094,-0.5
-87,-4.398E-10,7.44E-10,-1.962E-10,22737608003.638,-0.5
-86,-3.778E-10,8.28E-10,-2.044E-10,26469031233.4569,-0.5
-85,-3.966E-10,7.74E-10,-2.67E-11,25214321734.7453,-0.5
-84,-6.609E-10,8.15E-10,-1.173E-10,15130882130.4282,-0.5
-83,-5.03E-10,7.37E-10,-1.504E-10,19880715705.7654,-0.5
-82,-6.323E-10,8.84E-10,-1.532E-10,15815277558.1211,-0.5
-81,-6.45E-10,8.35E-10,-5.84E-11,15503875968.9923,-0.5
-80,-7.565E-10,8.3E-10,-1.286E-10,13218770654.3291,-0.5
-79,-6.92E-10,7.71E-10,-3.93E-11,14450867052.0231,-0.5
-78,-6.654E-10,8.37E-10,-8.18E-11,15028554253.0809,-0.5
-77,-6.236E-10,8.5E-10,-5.8E-12,16035920461.8345,-0.5
-76,-5.882E-10,8.06E-10,6.5E-12,17001020061.2037,-0.5
-75,-6.339E-10,7.74E-10,-9.22E-11,15775358889.4147,-0.5
-74,-7.134E-10,8.26E-10,-1.5E-12,14017381553.1259,-0.5
-73,-7.699E-10,8.3E-10,8E-12,12988699831.1469,-0.5
-72,-7.26E-10,8.79E-10,-3.02E-11,13774104683.1956,-0.5
-71,-9.49E-10,9.22E-10,-9.8E-12,10537407797.6818,-0.5
-70,-8.604E-10,8.69E-10,2.03E-11,11622501162.2501,-0.5
-69,-9.179E-10,9.27E-10,-1.46E-11,10894432944.7652,-0.5
-68,-8.414E-10,9.68E-10,7.86E-11,11884953648.6808,-0.5
-67,-9.139E-10,1.023E-09,-2.97E-11,10942116205.2741,-0.5
-66,-8.697E-10,9.75E-10,-2.08E-11,11498217776.2447,-0.5
-65,-9.272E-10,1.102E-09,4.16E-11,10785159620.3624,-0.5
-64,-1.0169E-09,1.011E-09,1.114E-10,9833808634.08398,-0.5
-63,-1.0137E-09,1.121E-09,3.98E-10,9864851533.98442,-0.5
-62,-1.0288E-09,1.081E-09,1.425E-10,9720062208.39813,-0.5
-61,-1.1679E-09,1.11E-09,1.631E-10,8562376915.83184,-0.5
-60,-1.258E-09,1.148E-09,1.433E-10,7949125596.18442,-0.5
-59,-1.4555E-09,1.331E-09,1.097E-10,6870491240.12367,-0.5
-58,-1.371E-09,1.347E-09,1.082E-10,7293946024.79942,-0.5
-57,-1.3045E-09,1.598E-09,7.4E-11,7665772326.5619,-0.5
-56,-1.531E-09,1.472E-09,9.1E-12,6531678641.41084,-0.5
-55,-1.7194E-09,1.632E-09,1.194E-10,5815982319.41375,-0.5
-54,-1.707E-09,1.617E-09,1.704E-10,5858230814.29408,-0.5
-53,-1.8414E-09,1.822E-09,1.292E-10,5430650591.94091,-0.5
-52,-1.984E-09,1.767E-09,1.501E-10,5040322580.64516,-0.5
-51,-2.2442E-09,2.046E-09,1.467E-10,4455930843.9533,-0.5
-50,-2.29E-09,1.998E-09,1.382E-10,4366812227.07424,-0.5
-49,-2.5301E-09,2.414E-09,1.251E-10,3952412948.10482,-0.5
-48,-2.548E-09,2.401E-09,2.518E-10,3924646781.78964,-0.5
-47,-2.6946E-09,2.673E-09,2.071E-10,3711125955.61493,-0.5
-46,-2.811E-09,2.749E-09,2.436E-10,3557452863.74956,-0.5
-45,-3.2319E-09,3.07E-09,1.699E-10,3094155140.93877,-0.5
-44,-3.3135E-09,3.135E-09,2.225E-10,3017956843.21714,-0.5
-43,-3.3417E-09,3.341E-09,2.03E-11,2992488852.97902,-0.5
-42,-3.6723E-09,3.626E-09,5.657E-10,2723089072.24355,-0.5
-41,-3.976E-09,3.819E-09,3.461E-10,2515090543.25956,-0.5
-40,-4.1823E-09,4.101E-09,1.73E-10,2391028859.71834,-0.5
-39,-4.521E-09,4.23E-09,2.144E-10,2211900022.119,-0.5
-38,-4.7408E-09,4.642E-09,1.443E-10,2109348633.14209,-0.5
-37,-5.041E-09,4.837E-09,2.479E-10,1983733386.23289,-0.5
-36,-5.3657E-09,5.152E-09,2.598E-10,1863689732.93326,-0.5
-35,-5.539E-09,5.224E-09,2.246E-10,1805380032.49684,-0.5
-34,-6.0347E-09,5.516E-09,2.04E-10,1657083202.14758,-0.5
-33,-6.571E-09,5.505E-09,1.383E-10,1521838380.76396,-0.5
-32,-6.166E-09,6.405E-09,2.835E-10,1621796951.02173,-0.5
-31,-6.883E-09,6.732E-09,3.942E-10,1452854859.79951,-0.5
-30,-7.134E-09,7.148E-09,3.148E-10,1401738155.31259,-0.5
-29,-7.618E-09,7.55E-09,3.037E-10,1312680493.56787,-0.5
-28,-8.03E-09,7.963E-09,4.394E-10,1245330012.4533,-0.5
-27,-8.407E-09,8.316E-09,3.76E-10,1189484953.01534,-0.5
-26,-8.912E-09,8.776E-09,4.111E-10,1122082585.27828,-0.5
-25,-9.25E-09,9.209E-09,4.609E-10,1081081081.08108,-0.5
