Setup title,vfet-test
Application test name,"TFT Id-Vg-tian"
Test date,11/28/2017
Test time,12:07:40
Device ID,
Count,40
Flags,!
Remarks,gr-ots3
Name,Gate,Source,Drain,VgStart,VgStop,VgStep,Vs,VdStart,VdStop,VdStep,IgLimit,IntegTime,HoldTime,DelayTime,DrainMinRng
Value,"SMU1:HP	HPSMU","SMU4:HR	HRSMU","SMU3:HR	HRSMU",-110,100,1,0,-0.5,-5,0.5,0.01,MEDIUM,0,0,1nA
Name,Polarity,Lg,Wg,Temp,IdMax
Value,1,1E-06,1E-05,25,0.01
Vgate,Idrain,Isource,Igate,Rds,Vdrain
-110,4.7406E-09,1.278E-09,-1.99459E-08,-2109437623.92946,-0.5
-109,1.8071E-09,1.16E-09,-3.7877E-09,-5533728072.60251,-0.5
-108,9.469E-10,1.084E-09,-2.2833E-09,-10560777273.2073,-0.5
-107,5.868E-10,1.039E-09,-1.6776E-09,-17041581458.7594,-0.5
-106,2.05E-10,1.014E-09,-1.2672E-09,-48780487804.8781,-0.5
-105,-7E-12,9.94E-10,-1.1133E-09,1428571428571.43,-0.5
-104,-8.65E-11,1.019E-09,-8.434E-10,115606936416.185,-0.5
-103,-2.831E-10,9.46E-10,-7.425E-10,35323207347.2271,-0.5
-102,-1.899E-10,9.84E-10,-5.941E-10,52659294365.4555,-0.5
-101,-3.397E-10,9.36E-10,-5.748E-10,29437739181.6309,-0.5
-100,-3.397E-10,1.222E-09,-4.827E-10,29437739181.6309,-0.5
-99,-4.839E-10,1.108E-09,-3.16E-10,20665426741.0622,-0.5
-98,-5.1E-10,9.2E-10,-1.389E-10,19607843137.2549,-0.5
-97,-5.252E-10,9.09E-10,-7.78E-11,19040365575.019,-0.5
-96,-6.393E-10,9.54E-10,-1.516E-10,15642108556.2334,-0.5
-95,-5.591E-10,9.74E-10,2.72E-11,17885888034.3409,-0.5
-94,-4.384E-10,1.045E-09,3.117E-10,22810218978.1022,-0.5
-93,-1.2492E-09,7.37E-10,-1.329E-10,8005123278.8985,-0.5
-92,-1.2042E-09,5.15E-10,-1.527E-10,8304268393.95449,-0.5
-91,1.95E-10,1.59E-09,-9.37E-11,-51282051282.0513,-0.5
-90,-8.37E-10,8.85E-10,1.603E-10,11947431302.27,-0.5
-89,-7.888E-10,8.35E-10,2.03E-11,12677484787.0183,-0.5
-88,-6.518E-10,8.99E-10,1.149E-10,15342129487.5729,-0.5
-87,-8.367E-10,8.12E-10,2.012E-10,11951715071.1127,-0.5
-86,-8.09E-10,9.2E-10,1.568E-10,12360939431.3968,-0.5
-85,-8.385E-10,8.73E-10,1.5E-11,11926058437.6863,-0.5
-84,-1.0928E-09,9.01E-10,2.332E-10,9150805270.86384,-0.5
-83,-9.82E-10,8.94E-10,3.52E-10,10183299389.002,-0.5
-82,-9.267E-10,9.35E-10,1.826E-10,10790978741.7719,-0.5
-81,-9.213E-10,9.01E-10,6.155E-10,10854227721.6976,-0.5
-80,-9.471E-10,9E-10,2.631E-10,10558547143.913,-0.5
-79,-1.0619E-09,8.93E-10,8.87E-10,9417082587.8143,-0.5
-78,-9.531E-10,9.37E-10,3.388E-10,10492078480.747,-0.5
-77,-9.679E-10,9.23E-10,2.217E-10,10331645831.1809,-0.5
-76,-1.0397E-09,9.23E-10,2.72E-10,9618159084.35126,-0.5
-75,-1.0377E-09,9.27E-10,2.219E-10,9636696540.42594,-0.5
-74,-1.0158E-09,9.14E-10,8.851E-10,9844457570.38787,-0.5
-73,-1.0113E-09,9.29E-10,3.746E-10,9888262632.25551,-0.5
-72,-1.0336E-09,8.48E-10,1.589E-10,9674922600.6192,-0.5
-71,-1.1616E-09,8.75E-10,3.923E-10,8608815426.99725,-0.5
-70,-9.75E-10,9.17E-10,2.422E-10,10256410256.4103,-0.5
-69,-1.0793E-09,9.35E-10,8.345E-10,9265264523.30214,-0.5
-68,-1.0013E-09,9.47E-10,3.684E-10,9987016878.05853,-0.5
-67,-1.062E-09,9.24E-10,2.565E-10,9416195856.87383,-0.5
-66,-1.084E-09,9.43E-10,2.985E-10,9225092250.92251,-0.5
-65,-1.0457E-09,9.77E-10,2.948E-10,9562972171.75098,-0.5
-64,-1.2118E-09,9.81E-10,3.464E-10,8252186829.50982,-0.5
-63,-1.237E-09,9.79E-10,3.515E-10,8084074373.48424,-0.5
-62,-1.0933E-09,1.018E-09,3.153E-10,9146620323.79036,-0.5
-61,-1.0548E-09,1.046E-09,4.877E-10,9480470231.32347,-0.5
-60,-1.1431E-09,1.039E-09,2.391E-10,8748141020.03324,-0.5
-59,-1.0773E-09,1.049E-09,1.28E-10,9282465422.8163,-0.5
-58,-1.258E-09,1.124E-09,3.875E-10,7949125596.18442,-0.5
-57,-1.214E-09,1.091E-09,2.624E-10,8237232289.95058,-0.5
-56,-1.2829E-09,1.13E-09,2.869E-10,7794839816.04178,-0.5
-55,-1.3056E-09,1.147E-09,3.492E-10,7659313725.4902,-0.5
-54,-1.2583E-09,1.258E-09,1.913E-10,7947230390.20901,-0.5
-53,-1.3213E-09,1.07E-09,-2.6E-11,7568303943.08636,-0.5
-52,-1.5E-09,1.103E-09,2.302E-10,6666666666.66667,-0.5
-51,-1.5159E-09,1.227E-09,1.786E-10,6596741209.84234,-0.5
-50,-1.6992E-09,1.316E-09,3.177E-10,5885122410.54614,-0.5
-49,-1.5132E-09,1.311E-09,3.946E-10,6608511763.15094,-0.5
-48,-1.5648E-09,1.398E-09,3.177E-10,6390593047.03477,-0.5
-47,-1.5896E-09,1.42E-09,1.74E-10,6290890790.13588,-0.5
-46,-1.7862E-09,1.525E-09,3.275E-10,5598477214.19774,-0.5
-45,-1.6221E-09,1.461E-09,3.555E-10,6164848036.4959,-0.5
-44,-1.7439E-09,1.531E-09,3.531E-10,5734273754.22903,-0.5
-43,-1.7742E-09,1.59E-09,5.576E-10,5636343140.5704,-0.5
-42,-1.8484E-09,1.663E-09,3.433E-10,5410084397.3166,-0.5
-41,-1.9588E-09,1.718E-09,1.778E-10,5105166428.42557,-0.5
-40,-1.8745E-09,1.809E-09,1.02E-10,5334755934.91598,-0.5
-39,-2.12E-09,1.87E-09,3.469E-10,4716981132.07547,-0.5
-38,-2.062E-09,1.964E-09,2.825E-10,4849660523.76334,-0.5
-37,-2.2257E-09,2.023E-09,3.098E-10,4492968504.29078,-0.5
-36,-2.2748E-09,2.074E-09,3.36E-10,4395990856.33902,-0.5
-35,-2.277E-09,2.213E-09,3.546E-10,4391743522.1783,-0.5
-34,-2.1552E-09,3.438E-09,5E-10,4639940608.76021,-0.5
-33,-2.526E-09,2.431E-09,2.942E-10,3958828186.85669,-0.5
-32,-2.571E-09,2.516E-09,2.355E-10,3889537145.07974,-0.5
-31,-2.7155E-09,2.523E-09,3.124E-10,3682563063.89247,-0.5
-30,-2.9498E-09,2.617E-09,3.148E-10,3390060343.07411,-0.5
-29,-2.9727E-09,2.739E-09,2.394E-10,3363945234.97157,-0.5
-28,-2.9696E-09,2.92E-09,2E-10,3367456896.55172,-0.5
-27,-3.252E-09,3.074E-09,3.395E-10,3075030750.3075,-0.5
-26,-3.3346E-09,3.149E-09,2.467E-10,2998860433.03545,-0.5
-25,-3.4347E-09,3.233E-09,3.018E-10,2911462427.57737,-0.5
