Setup title,vfet-test
Application test name,"TFT Id-Vg-tian"
Test date,11/28/2017
Test time,11:55:31
Device ID,
Count,36
Flags,!
Remarks,gr-ots-air2
Name,Gate,Source,Drain,VgStart,VgStop,VgStep,Vs,VdStart,VdStop,VdStep,IgLimit,IntegTime,HoldTime,DelayTime,DrainMinRng
Value,"SMU1:HP	HPSMU","SMU4:HR	HRSMU","SMU3:HR	HRSMU",-110,100,1,0,-0.5,-5,0.5,0.01,MEDIUM,0,0,1nA
Name,Polarity,Lg,Wg,Temp,IdMax
Value,1,1E-06,1E-05,25,0.01
Vgate,Idrain,Isource,Igate,Rds,Vdrain
-110,-1.17964E-08,2.0011E-08,-2.28214E-08,847716252.415991,-0.5
-109,-1.60289E-08,1.896E-08,-4.1471E-09,623873129.160454,-0.5
-108,-1.68856E-08,1.9034E-08,-2.2421E-09,592220590.325485,-0.5
-107,-1.72774E-08,1.8731E-08,-1.4627E-09,578790790.280945,-0.5
-106,-1.71392E-08,1.8235E-08,-1.0894E-09,583457804.331591,-0.5
-105,-1.75969E-08,1.8571E-08,-9.036E-10,568281913.291546,-0.5
-104,-1.73182E-08,1.7806E-08,-5.813E-10,577427215.299512,-0.5
-103,-1.7196E-08,1.7644E-08,-3.784E-10,581530588.508956,-0.5
-102,-1.70472E-08,1.7485E-08,-2.318E-10,586606598.151016,-0.5
-101,-1.69462E-08,1.7566E-08,-2.333E-10,590102795.907047,-0.5
-100,-1.73639E-08,1.7298E-08,-1.015E-10,575907486.221413,-0.5
-99,-1.74247E-08,1.7719E-08,-6.96E-11,573897972.418463,-0.5
-98,-1.6891E-08,1.7625E-08,1.465E-10,592031259.250488,-0.5
-97,-1.7099E-08,1.7551E-08,-6.102E-10,584829522.19428,-0.5
-96,-1.6897E-08,1.6899E-08,1.31E-11,591821033.319524,-0.5
-95,-1.6664E-08,1.6823E-08,2.417E-10,600096015.362458,-0.5
-94,-1.6705E-08,1.6681E-08,-1.2E-11,598623166.716552,-0.5
-93,-1.6819E-08,1.6932E-08,3.944E-10,594565669.778227,-0.5
-92,-1.7058E-08,1.6866E-08,6.308E-10,586235197.561262,-0.5
-91,-1.6994E-08,1.6861E-08,4.236E-10,588442979.87525,-0.5
-90,-1.673E-08,1.6603E-08,5.712E-10,597728631.201435,-0.5
-89,-1.694E-08,1.6465E-08,8.246E-10,590318772.136954,-0.5
-88,-1.6811E-08,1.6561E-08,4.797E-10,594848611.028493,-0.5
-87,-1.6437E-08,1.6318E-08,8.236E-10,608383524.974144,-0.5
-86,-1.6014E-08,1.6462E-08,9.366E-10,624453603.09729,-0.5
-85,-2.5971E-08,1.4209E-08,-1.589E-10,385044857.725925,-0.5
-84,-1.5195E-08,1.4707E-08,-7.6979E-09,658111220.796315,-0.5
-83,-1.8269E-08,1.4581E-08,1.3626E-09,547375335.267393,-0.5
-82,-1.4044E-08,1.6478E-08,6.62E-10,712047849.615494,-0.5
-81,-1.078E-08,2.096E-08,4.9083E-09,927643784.786642,-0.5
-80,-1.5931E-08,1.6182E-08,1.6501E-09,627706986.378758,-0.5
-79,-1.8711E-08,1.6222E-08,1.3071E-09,534444978.889423,-0.5
-78,-1.6779E-08,1.6079E-08,8.953E-10,595983074.080696,-0.5
-77,-1.6708E-08,1.5828E-08,5.242E-10,598515681.110845,-0.5
-76,-1.6678E-08,1.711E-08,1.1029E-09,599592277.251469,-0.5
-75,-1.779E-08,1.6131E-08,8.503E-10,562113546.936481,-0.5
-74,-1.6847E-08,1.6295E-08,3.007E-10,593577491.541521,-0.5
-73,-1.8072E-08,1.592E-08,5.364E-10,553342186.808322,-0.5
-72,-1.7072E-08,1.5926E-08,5.01E-11,585754451.733833,-0.5
-71,-1.6533E-08,1.622E-08,1.848E-10,604850904.252102,-0.5
-70,-1.6582E-08,1.6222E-08,6.661E-10,603063562.89953,-0.5
-69,-1.6529E-08,1.6408E-08,7.623E-10,604997277.512251,-0.5
-68,-1.6404E-08,1.6354E-08,3.536E-10,609607412.82614,-0.5
-67,-1.6426E-08,1.6532E-08,5.653E-10,608790941.190795,-0.5
-66,-1.6762E-08,1.6517E-08,7.916E-10,596587519.389094,-0.5
-65,-1.6653E-08,1.6636E-08,3.276E-10,600492403.771092,-0.5
-64,-1.7005E-08,1.6458E-08,4.937E-10,588062334.607468,-0.5
-63,-1.6834E-08,1.6683E-08,6.091E-10,594035879.767138,-0.5
-62,-1.6824E-08,1.6909E-08,4.058E-10,594388968.140751,-0.5
-61,-1.6815E-08,1.6963E-08,5.717E-10,594707106.749926,-0.5
-60,-1.6726E-08,1.6615E-08,2.925E-10,597871577.185221,-0.5
-59,-1.6868E-08,1.6688E-08,3.914E-10,592838510.789661,-0.5
-58,-1.6615E-08,1.6691E-08,4.501E-10,601865783.930184,-0.5
-57,-1.7037E-08,1.6646E-08,5.677E-10,586957797.734343,-0.5
-56,-1.7107E-08,1.6929E-08,3.385E-10,584556029.695446,-0.5
-55,-1.7306E-08,1.6723E-08,5.133E-10,577834277.129319,-0.5
-54,-1.7069E-08,1.6924E-08,2.751E-10,585857402.308278,-0.5
-53,-1.7161E-08,1.7106E-08,3.66E-10,582716624.905309,-0.5
-52,-1.7252E-08,1.7191E-08,5.604E-10,579642939.948991,-0.5
-51,-1.7588E-08,1.7115E-08,2.938E-10,568569479.190357,-0.5
-50,-1.7443E-08,1.7416E-08,2.591E-10,573295878.002637,-0.5
-49,-1.7525E-08,1.7574E-08,4.515E-10,570613409.415121,-0.5
-48,-1.7458E-08,1.7138E-08,2.611E-10,572803299.347004,-0.5
-47,-1.7293E-08,1.7546E-08,4.133E-10,578268663.621118,-0.5
-46,-1.7612E-08,1.7628E-08,5.753E-10,567794685.441744,-0.5
-45,-1.7839E-08,1.7674E-08,2.95E-10,560569538.65127,-0.5
-44,-1.817E-08,1.8194E-08,3.333E-10,550357732.526142,-0.5
-43,-1.839E-08,1.8105E-08,5.971E-10,543773790.103317,-0.5
-42,-1.8497E-08,1.8489E-08,2.751E-10,540628209.979997,-0.5
-41,-1.8763E-08,1.8855E-08,3.426E-10,532963811.757182,-0.5
-40,-1.9098E-08,1.8901E-08,5.374E-10,523615038.223898,-0.5
-39,-1.9176E-08,1.9107E-08,3.276E-10,521485189.820609,-0.5
-38,-1.936E-08,1.9452E-08,2.694E-10,516528925.619835,-0.5
-37,-1.9664E-08,1.9514E-08,4.79E-10,508543531.326281,-0.5
-36,-1.9638E-08,1.9596E-08,3E-10,509216824.523882,-0.5
-35,-1.9868E-08,1.9953E-08,3.599E-10,503321924.70304,-0.5
-34,-2.0169E-08,2.0158E-08,3.424E-10,495810402.102236,-0.5
-33,-2.0564E-08,2.0617E-08,3.883E-10,486286714.646956,-0.5
-32,-2.0685E-08,2.0597E-08,2.538E-10,483442107.80759,-0.5
-31,-2.0881E-08,2.0876E-08,4.728E-10,478904267.037019,-0.5
-30,-2.1302E-08,2.1243E-08,1.901E-10,469439489.249836,-0.5
-29,-2.1444E-08,2.134E-08,2.755E-10,466330908.41261,-0.5
-28,-2.1884E-08,2.1558E-08,5.16E-10,456954852.860537,-0.5
-27,-2.2094E-08,2.2028E-08,2.705E-10,452611568.751697,-0.5
-26,-2.2398E-08,2.2437E-08,3.824E-10,446468434.681668,-0.5
