Setup title,VFET_cycle
Application test name,gate_scan_cycles
Test date,1/11/2018
Test time,12:21:48
Device ID,0
Count,94
Flags,!
Remarks,ots-1
Name,Gate,Source,Drain,False,VgStart,VgStop,VgStep,Vd,IgLimit,IntegTime,curr_cycle,Vs,HoldTime,DelayTime,DrainMinRng
Value,"SMU1:HP	HPSMU","SMU4:HR	HRSMU","SMU3:HR	HRSMU","SMU2:HR	HRSMU",-100,100,1,1,0.01,MEDIUM,0,0,0,0,1nA
Name,Polarity,Lg,Wg,Temp,IdMax,test_cycles
Value,1,1E-06,1E-05,25,0.01,2
Vgate,Idrain,Isource,Igate,t,cycle,Vdrain
-100,8.774E-09,1.11547E-08,-3.4833E-08,0.03343,0,1
-99,9.009E-09,9.18E-11,-1.0847E-08,0.2633,0,1
-98,9.339E-09,-3.2594E-09,-6.71E-09,0.46086,0,1
-97,9.374E-09,-5.1375E-09,-4.707E-09,0.66026,0,1
-96,9.709E-09,-6.4286E-09,-3.279E-09,0.9239,0,1
-95,1.0061E-08,-7.3294E-09,-2.413E-09,1.12006,0,1
-94,9.978E-09,-8.0778E-09,-1.983E-09,1.38247,0,1
-93,1.0365E-08,-8.6229E-09,-1.473E-09,1.57982,0,1
-92,1.052E-08,-9.1849E-09,-1.22E-09,1.84333,0,1
-91,1.0906E-08,-9.641E-09,-8.88E-10,2.0395,0,1
-90,1.0787E-08,-1.00042E-08,-8.3E-10,2.30298,0,1
-89,1.1096E-08,-1.04848E-08,-5.25E-10,2.50032,0,1
-88,1.152E-08,-1.08447E-08,-9.01E-10,2.76047,0,1
-87,1.1772E-08,-1.11865E-08,-6.66E-10,3.10019,0,1
-86,1.2219E-08,-1.16606E-08,-5.34E-10,3.43992,0,1
-85,1.2353E-08,-1.20436E-08,-4.51E-10,3.77945,0,1
-84,1.2773E-08,-1.21052E-08,-3.73E-10,4.12022,0,1
-83,1.2911E-08,-1.25167E-08,-2.28E-10,4.42354,0,1
