Setup title,VFET_cycle
Application test name,gate_scan_cycles
Test date,1/11/2018
Test time,10:31:29
Device ID,0
Count,22
Flags,!
Remarks,pristine-1
Name,Gate,Source,Drain,False,VgStart,VgStop,VgStep,Vd,IgLimit,IntegTime,curr_cycle,Vs,HoldTime,DelayTime,DrainMinRng
Value,"SMU1:HP	HPSMU","SMU4:HR	HRSMU","SMU3:HR	HRSMU","SMU2:HR	HRSMU",-100,100,1,1,0.01,MEDIUM,0,0,0,0,1nA
Name,Polarity,Lg,Wg,Temp,IdMax,test_cycles
Value,1,1E-06,1E-05,25,0.01,2
Vgate,Idrain,Isource,Igate,t,cycle,Vdrain
-100,2.02E-10,8.573E-09,-1.6349E-08,0.0794,0,1
-99,2.82E-10,4.152E-09,-4.997E-09,0.47909,0,1
-98,6.8E-11,2.998E-09,-3.108E-09,0.73596,0,1
-97,7.7E-11,2.172E-09,-2.353E-09,1.09854,0,1
-96,9.6E-11,1.784E-09,-2.031E-09,1.40713,0,1
-95,4.4E-11,1.585E-09,-1.545E-09,1.73585,0,1
-94,7.2E-11,1.375E-09,-1.43E-09,2.06452,0,1
-93,7E-11,1.166E-09,-1.117E-09,2.37765,0,1
-92,6.8E-11,1.119E-09,-1.004E-09,2.61703,0,1
-91,9E-11,9.57E-10,-1.064E-09,2.94581,0,1
-90,8.5E-11,9.75E-10,-8.73E-10,3.27451,0,1
-89,1.38E-10,8.65E-10,-9.29E-10,3.58783,0,1
-88,1.72E-10,6.34E-10,-5.58E-10,3.85141,0,1
-87,3.81E-10,5.37E-10,-4.63E-10,4.11503,0,1
-86,4.27E-10,1.4E-10,-3.64E-10,4.39789,0,1
-85,5.02E-10,2.81E-10,-4.21E-10,4.63717,0,1
-84,7.72E-10,4.03E-10,-2.4E-10,4.96591,0,1
-83,6.83E-10,3.08E-10,-6E-11,5.29487,0,1
-82,5.1E-10,8.2E-11,-2.48E-10,5.60829,0,1
-81,3.76E-10,-8.3E-11,-1.52E-10,5.87195,0,1
