Setup title,VFET_cycle
Application test name,gate_scan_cycles
Test date,1/10/2018
Test time,17:29:42
Device ID,pressure-idvg5
Count,12
Flags,!
Remarks,pressure-idvg6
Name,Gate,Source,Drain,False,VgStart,VgStop,VgStep,Vd,IgLimit,IntegTime,curr_cycle,Vs,HoldTime,DelayTime,DrainMinRng
Value,"SMU1:HP	HPSMU","SMU4:HR	HRSMU","SMU3:HR	HRSMU","SMU2:HR	HRSMU",-100,100,1,1,0.01,MEDIUM,0,0,0,0,1nA
Name,Polarity,Lg,Wg,Temp,IdMax,test_cycles
Value,1,1E-06,1E-05,25,0.01,7
Vgate,Idrain,Isource,Igate,t,cycle,Vdrain
-100,1.37E-10,5.3676E-09,-9.237E-09,0.09126,0,1
-99,4.5E-11,2.6907E-09,-3.881E-09,0.36734,0,1
-98,1.32E-10,1.8238E-09,-2.459E-09,0.66199,0,1
-97,1.88E-10,1.3994E-09,-1.891E-09,0.91847,0,1
-96,1.84E-10,1.2011E-09,-1.437E-09,1.11762,0,1
-95,9.4E-11,9.649E-10,-1.315E-09,1.37666,0,1
-94,-7.9E-11,8.402E-10,-1.051E-09,1.71549,0,1
-93,5.9E-11,7.103E-10,-1.124E-09,2.0466,0,1
-92,4.8E-11,6.52E-10,-7.12E-10,2.29753,0,1
-91,2.08E-10,5.435E-10,-7.44E-10,2.55665,0,1
-90,5.04E-10,4.224E-10,-6.03E-10,2.89568,0,1
-89,8.79E-10,-2.988E-10,-7.2E-10,3.22654,0,1
-88,1.607E-09,-3.363E-10,-3.99E-10,3.55767,0,1
-87,1.785E-09,-1.1739E-09,-3.29E-10,3.89685,0,1
-86,3.984E-09,-1.2413E-09,-2.56E-10,4.22787,0,1
-85,1.886E-09,-1.1167E-09,3.94E-10,4.4987,0,1
-84,1.584E-09,-1.4681E-09,-2.11E-10,4.75769,0,1
-83,1.069E-09,-1.9747E-09,-8.43E-10,5.03879,0,1
-82,1.128E-09,-2.0627E-09,-1.078E-09,5.30572,0,1
-81,1.613E-09,-2.1552E-09,-5.83E-10,5.61928,0,1
-80,1.614E-09,-1.7661E-09,2.835E-09,5.95833,0,1
-79,1.701E-09,-1.9293E-09,-3.02E-10,6.29728,0,1
-78,1.837E-09,-2.0488E-09,-3.55E-10,6.62844,0,1
-77,2.05E-09,-2.0037E-09,-1.62E-10,6.96024,0,1
-76,2.123E-09,-1.9965E-09,-7.5E-11,7.29927,0,1
-75,2.151E-09,-1.9745E-09,4E-12,7.63834,0,1
-74,2.068E-09,-2.0986E-09,2.45E-10,7.85877,0,1
-73,2.184E-09,-2.1188E-09,1.59E-10,8.1214,0,1
-72,2.216E-09,-2.1594E-09,4.6E-11,8.38046,0,1
-71,2.337E-09,-2.2116E-09,7.1E-11,8.71961,0,1
-70,2.211E-09,-2.1832E-09,1.5E-11,9.05872,0,1
-69,3.118E-09,-2.347E-09,-1.49E-10,9.38997,0,1
-68,3.22E-09,-1.8696E-09,5.65E-10,9.66074,0,1
-67,2.593E-09,-2.0052E-09,3.18E-10,9.91969,0,1
-66,1.854E-09,-3.2596E-09,-8.1E-11,10.25871,0,1
-65,2.743E-09,-2.949E-09,-1.94E-10,10.58991,0,1
-64,2.939E-09,-2.9786E-09,1.42E-10,10.92136,0,1
-63,3.001E-09,-2.9487E-09,7.2E-11,11.26053,0,1
-62,2.824E-09,-2.8194E-09,3.48E-10,11.59963,0,1
