Setup title,VFET_cycle
Application test name,gate_scan_cycles
Test date,1/10/2018
Test time,17:11:56
Device ID,pressure-idvg5
Count,6
Flags,!
Remarks,3
Name,Gate,Source,Drain,False,VgStart,VgStop,VgStep,Vd,IgLimit,IntegTime,curr_cycle,Vs,HoldTime,DelayTime,DrainMinRng
Value,"SMU1:HP	HPSMU","SMU4:HR	HRSMU","SMU3:HR	HRSMU","SMU2:HR	HRSMU",-110,100,1,1,0.01,MEDIUM,0,0,0,0,1nA
Name,Polarity,Lg,Wg,Temp,IdMax,test_cycles
Value,1,1E-06,1E-05,25,0.01,1
Vgate,Idrain,Isource,Igate,t,cycle,Vdrain
-110,3.85E-10,5.0886E-09,-1.1127E-08,0.03196,0,1
-109,1.74E-10,1.8637E-09,-2.75E-09,0.36797,0,1
-108,3.14E-10,1.2453E-09,-1.649E-09,0.70907,0,1
-107,1.5E-10,1.0864E-09,-1.268E-09,0.94894,0,1
-106,7E-11,7.846E-10,-1.156E-09,1.18867,0,1
-105,4.1E-11,6.352E-10,-8.18E-10,1.38729,0,1
-104,1.37E-10,7.198E-10,-8.4E-10,1.66417,0,1
-103,1.02E-10,6.435E-10,-7.77E-10,2.00364,0,1
-102,3.9E-11,4.779E-10,-6.44E-10,2.32785,0,1
-101,5.6E-11,3.799E-10,-5.69E-10,2.66775,0,1
-100,1.75E-10,3.009E-10,-4.56E-10,3.00801,0,1
-99,1.8083E-08,-9.4485E-09,-3.87E-10,3.31285,0,1
-98,3.3503E-08,-3.2394E-08,-4.7E-10,3.62748,0,1
-97,4.1961E-08,-3.7227E-08,-2.48E-10,3.9571,0,1
-96,4.2277E-08,-4.2202E-08,-4.41E-10,4.34774,0,1
-95,4.3115E-08,-4.2624E-08,-2.17E-10,4.67735,0,1
-94,5.1705E-08,-4.5316E-08,1.43E-10,4.86514,0,1
-93,5.0247E-08,-4.9428E-08,-3.5E-11,5.14936,0,1
-92,5.8808E-08,-5.4288E-08,-1.86E-10,5.54273,0,1
-91,5.6301E-08,-5.7593E-08,6.2E-11,5.80888,0,1
-90,5.7761E-08,-5.5581E-08,-5.7E-11,6.2497,0,1
-89,5.8406E-08,-5.6571E-08,2.21E-10,6.42557,0,1
-88,5.8065E-08,-5.8416E-08,1.07E-10,6.69016,0,1
-87,5.884E-08,-6.0469E-08,3.74E-10,6.94741,0,1
-86,6.1752E-08,-5.9791E-08,4.98E-10,7.18692,0,1
-85,6.237E-08,-6.4021E-08,-3.9E-11,7.56226,0,1
-84,6.9314E-08,-6.561E-08,-1.91E-10,7.82838,0,1
-83,6.4163E-08,-6.4697E-08,-3E-11,8.26914,0,1
-82,6.6892E-08,-6.6684E-08,1.9E-10,8.44493,0,1
-81,6.8591E-08,-7.0269E-08,4.06E-10,8.70954,0,1
-80,7.1395E-08,-6.8188E-08,5.61E-10,8.96688,0,1
-79,7.4217E-08,-7.1874E-08,5.49E-10,9.2063,0,1
-78,7.4265E-08,-7.6512E-08,4.53E-10,9.38553,0,1
-77,7.7082E-08,-7.7482E-08,3.1E-11,9.71647,0,1
-76,8.0566E-08,-7.9725E-08,5.18E-10,9.90433,0,1
-75,8.0026E-08,-8.0249E-08,7.6E-11,10.23533,0,1
-74,7.7531E-08,-8.0896E-08,8.9E-11,10.48592,0,1
-73,8.1074E-08,-8.121E-08,4.62E-10,10.81709,0,1
-72,8.2411E-08,-8.3231E-08,6.3E-11,11.10366,0,1
-71,8.1556E-08,-8.2565E-08,4.12E-10,11.42928,0,1
-70,8.4158E-08,-8.5821E-08,1.51E-10,11.73987,0,1
-69,8.5647E-08,-8.5116E-08,9.3E-11,12.05161,0,1
-68,8.6747E-08,-8.6346E-08,7E-11,12.28427,0,1
-67,8.9422E-08,-8.8817E-08,4.97E-10,12.61561,0,1
-66,9.4504E-08,-9.1413E-08,1.5E-11,12.9021,0,1
-65,9.4725E-08,-9.6593E-08,2E-10,13.23213,0,1
-64,9.6838E-08,-9.5254E-08,1.38E-10,13.54475,0,1
-63,1.01793E-07,-9.9145E-08,6.17E-10,13.8759,0,1
-62,1.01466E-07,-1.01898E-07,2.77E-10,14.16245,0,1
-61,1.03412E-07,-1.04861E-07,3.21E-10,14.49223,0,1
-60,1.06098E-07,-1.05118E-07,1.83E-10,14.74283,0,1
-59,1.08035E-07,-1.06146E-07,5.18E-10,15.01706,0,1
-58,1.10748E-07,-1.12131E-07,1.462E-09,15.32149,0,1
-57,1.17198E-07,-1.13827E-07,1.283E-09,15.63885,0,1
-56,1.19203E-07,-1.17442E-07,9.03E-10,15.95078,0,1
-55,1.1956E-07,-1.19199E-07,4.78E-10,16.18348,0,1
-54,1.23962E-07,-1.26496E-07,9.2E-11,16.58063,0,1
-53,1.28254E-07,-1.31859E-07,1.63E-10,16.82494,0,1
-52,1.30293E-07,-1.3298E-07,-9.6E-11,17.10132,0,1
-51,1.3358E-07,-1.33339E-07,-1.81E-10,17.41875,0,1
-50,1.33666E-07,-1.34646E-07,-4.13E-10,17.73041,0,1
-49,1.40182E-07,-1.37655E-07,-7.78E-10,17.96299,0,1
-48,1.42147E-07,-1.43561E-07,1.7E-11,18.30507,0,1
-47,1.4422E-07,-1.4389E-07,3.4E-11,18.66128,0,1
-46,1.4944E-07,-1.48142E-07,5.3E-11,18.97854,0,1
-45,1.52178E-07,-1.53026E-07,1.28E-10,19.29036,0,1
-44,1.56464E-07,-1.55745E-07,5E-12,19.52311,0,1
-43,1.61151E-07,-1.6323E-07,2.33E-10,19.77493,0,1
-42,1.72014E-07,-1.71847E-07,1.93E-10,20.07128,0,1
-41,1.75059E-07,-1.7697E-07,2.63E-10,20.30399,0,1
-40,1.77291E-07,-1.79065E-07,2.12E-10,20.55593,0,1
-39,1.79806E-07,-1.79524E-07,1.88E-10,20.83091,0,1
-38,1.85583E-07,-1.85884E-07,3.34E-10,21.06354,0,1
-37,1.96164E-07,-1.93316E-07,2.6E-10,21.31539,0,1
-36,1.96591E-07,-1.98033E-07,1.67E-10,21.67335,0,1
-35,2.01009E-07,-2.01181E-07,1.74E-10,21.92397,0,1
-34,2.05351E-07,-2.06335E-07,2.66E-10,22.17594,0,1
-33,2.11863E-07,-2.08514E-07,2.09E-10,22.4701,0,1
-32,2.1927E-07,-2.17613E-07,2.63E-10,22.71061,0,1
-31,2.26061E-07,-2.23402E-07,2.2E-10,22.96109,0,1
-30,2.30689E-07,-2.31371E-07,3.15E-10,23.21176,0,1
-29,2.39691E-07,-2.385E-07,2.37E-10,23.46253,0,1
-28,2.44101E-07,-2.44326E-07,2.55E-10,23.75355,0,1
-27,2.53831E-07,-2.5309E-07,2.65E-10,24.00417,0,1
-26,2.6503E-07,-2.65167E-07,3.44E-10,24.25615,0,1
-25,2.76174E-07,-2.75056E-07,2.96E-10,24.55047,0,1
-24,2.91064E-07,-2.86433E-07,2.66E-10,24.79104,0,1
-23,3.05652E-07,-2.97383E-07,3E-10,25.04171,0,1
-22,3.08434E-07,-3.09004E-07,2.99E-10,25.29246,0,1
-21,3.22805E-07,-3.23245E-07,3.6E-10,25.54313,0,1
-20,3.38435E-07,-3.3663E-07,3.03E-10,25.79371,0,1
-19,3.53073E-07,-3.55119E-07,3.28E-10,26.0444,0,1
-18,3.72586E-07,-3.67202E-07,2.27E-10,26.39115,0,1
-17,3.84289E-07,-3.87517E-07,2.53E-10,26.64177,0,1
-16,3.99346E-07,-3.99434E-07,3.94E-10,26.89248,0,1
-15,4.1586E-07,-4.25015E-07,3.43E-10,27.1434,0,1
-14,4.43085E-07,-4.42164E-07,3.51E-10,27.39419,0,1
-13,4.6338E-07,-4.57484E-07,2.63E-10,27.64507,0,1
-12,5.01106E-07,-5.0686E-07,2.94E-10,27.94924,0,1
-11,5.05857E-07,-5.04099E-07,3.41E-10,28.18996,0,1
-10,5.28057E-07,-5.35776E-07,3.55E-10,28.44079,0,1
-9,5.51154E-07,-5.56046E-07,2.82E-10,28.69172,0,1
-8,6.05313E-07,-6.00357E-07,3.99E-10,28.94263,0,1
-7,6.34357E-07,-6.40482E-07,3.17E-10,29.19343,0,1
-6,6.69953E-07,-6.7494E-07,4.33E-10,29.44425,0,1
-5,7.10067E-07,-7.11635E-07,7.71E-10,29.63245,0,1
-4,7.4966E-07,-7.72423E-07,3.7E-10,29.8733,0,1
-3,8.09737E-07,-8.03055E-07,5.15E-10,30.12433,0,1
-2,8.31629E-07,-8.30203E-07,7.5E-10,30.3125,0,1
-1,8.89603E-07,-8.88074E-07,4.47E-10,30.55341,0,1
0,9.4448E-07,-9.58702E-07,4.19E-10,30.81465,0,1
1,1.01817E-06,-1.01559E-06,4.55E-10,31.136,0,1
2,1.07747E-06,-1.08029E-06,3.5E-10,31.39917,0,1
3,1.16089E-06,-1.16167E-06,3.27E-10,31.66396,0,1
4,1.25206E-06,-1.25642E-06,5.78E-10,31.85534,0,1
5,1.34982E-06,-1.35013E-06,6.13E-10,32.03479,0,1
6,1.45816E-06,-1.45084E-06,6.65E-10,32.21412,0,1
7,1.5765E-06,-1.5782E-06,7.56E-10,32.39357,0,1
8,1.70022E-06,-1.70215E-06,6.13E-10,32.57293,0,1
9,1.83468E-06,-1.83622E-06,5.99E-10,32.81637,0,1
10,1.97301E-06,-1.96997E-06,4.38E-10,33.12681,0,1
11,2.12827E-06,-2.14567E-06,5.23E-10,33.38236,0,1
12,2.36501E-06,-2.30979E-06,5.58E-10,33.57377,0,1
13,2.50185E-06,-2.53428E-06,6.67E-10,33.75311,0,1
14,2.61719E-06,-2.61667E-06,6.76E-10,33.99636,0,1
15,2.78904E-06,-2.79549E-06,8.75E-10,34.25187,0,1
