Setup title,VFET_cycle
Application test name,gate_scan_cycles
Test date,1/10/2018
Test time,16:52:03
Device ID,1
Count,64
Flags,
Remarks,
Name,Gate,Source,Drain,False,VgStart,VgStop,VgStep,Vd,IgLimit,IntegTime,curr_cycle,Vs,HoldTime,DelayTime,DrainMinRng
Value,"SMU1:HP	HPSMU","SMU4:HR	HRSMU","SMU3:HR	HRSMU","SMU2:HR	HRSMU",-100,100,1,1,0.01,MEDIUM,0,0,0,0,1nA
Name,Polarity,Lg,Wg,Temp,IdMax,test_cycles
Value,1,1E-06,1E-05,25,0.01,9
Vgate,Idrain,Isource,Igate,t,cycle,Vdrain
-100,3.02E-10,5.9397E-09,-1.1916E-08,0.0324,0,1
-99,2.48E-10,2.8414E-09,-3.574E-09,0.2908,0,1
-98,1.76E-10,2.155E-09,-2.353E-09,0.51139,0,1
-97,2.49E-10,1.4476E-09,-1.805E-09,0.74976,0,1
-96,-8.5E-11,1.0829E-09,-1.45E-09,1.01038,0,1
-95,-3.2E-11,8.656E-10,-1.301E-09,1.31523,0,1
-94,-1.82E-10,7.223E-10,-1.08E-09,1.63067,0,1
-93,1.23E-10,6.984E-10,-1.112E-09,1.93707,0,1
-92,1.25E-10,5.595E-10,-6.89E-10,2.18994,0,1
-91,9.7E-11,4.771E-10,-6.71E-10,2.4488,0,1
-90,-1.7E-11,4.55E-10,-5.9E-10,2.78778,0,1
-89,6.2E-11,4.653E-10,-6.16E-10,3.11908,0,1
-88,1.04E-10,4.26E-10,-4.55E-10,3.37021,0,1
-87,-4.2E-11,3.227E-10,-3.37E-10,3.62927,0,1
-86,-2E-11,3.372E-10,-3.01E-10,3.91033,0,1
-85,1.21E-10,3.051E-10,-3.39E-10,4.17718,0,1
-84,4E-11,2.62E-10,-2.77E-10,4.471,0,1
-83,2.5E-11,2.237E-10,-3.27E-10,4.77394,0,1
-82,6.9E-11,1.633E-10,-1.75E-10,4.99152,0,1
-81,1.04E-10,1.839E-10,-8.8E-11,5.21214,0,1
-80,-8.8E-11,2.269E-10,-1.67E-10,5.50912,0,1
-79,-3E-12,2.047E-10,-2.68E-10,5.84035,0,1
-78,1.16E-10,1.044E-10,9.5E-11,6.11102,0,1
-77,6.4E-11,1.223E-10,-9E-12,6.36993,0,1
-76,-6.5E-11,7.94E-11,-1.2E-11,6.70893,0,1
-75,1.7E-11,9.89E-11,-1.54E-10,7.04001,0,1
-74,6E-12,1.125E-10,1.4E-11,7.37183,0,1
-73,1.7E-11,2.66E-11,-5.7E-11,7.67478,0,1
-72,6.3E-11,-1.19E-11,9.5E-11,7.89233,0,1
-71,6.3E-11,-6.1E-11,1.39E-10,8.11292,0,1
-70,7.5E-11,-8.9E-12,1.09E-10,8.33345,0,1
-69,-2.5E-11,6.26E-11,2.4E-11,8.63017,0,1
-68,4E-12,-5.2E-12,-4.9E-11,8.9612,0,1
-67,-1E-12,-3.83E-11,3.58E-10,9.23206,0,1
-66,-2E-12,-5.73E-11,7.2E-11,9.49095,0,1
-65,6.4E-11,-3.66E-11,7.2E-11,9.77221,0,1
-64,1.11E-10,-2.02E-11,4.5E-11,10.03903,0,1
-63,-2.7E-11,-4.35E-11,9.3E-11,10.33289,0,1
-62,2.6E-11,-4.51E-11,7.2E-11,10.63609,0,1
-61,9.5E-11,-1.266E-10,2.26E-10,10.85369,0,1
-60,1.22E-10,-7.87E-11,2.7E-10,11.07439,0,1
-59,8.1E-11,-1.55E-11,1.2E-10,11.37123,0,1
-58,8E-11,-1.616E-10,4.35E-10,11.59153,0,1
-57,-1.8E-11,-1.195E-10,1.67E-10,11.89338,0,1
-56,1.51E-10,-2.246E-10,1.06E-10,12.19638,0,1
-55,6.13E-10,-2.973E-10,2.63E-10,12.41399,0,1
-54,6.13E-10,-6.84E-10,3.5E-10,12.63463,0,1
-53,4.521E-09,-6.581E-10,1.74E-10,12.93147,0,1
-52,5.259E-09,-4.9063E-09,1.37E-10,13.26265,0,1
-51,5.666E-09,-5.3707E-09,5.23E-10,13.53325,0,1
-50,5.534E-09,-5.4408E-09,2.27E-10,13.79224,0,1
-49,5.584E-09,-5.572E-09,2.23E-10,14.07325,0,1
-48,5.946E-09,-5.9854E-09,9.9E-11,14.33996,0,1
-47,6E-09,-6.2775E-09,1.72E-10,14.65382,0,1
-46,6.428E-09,-6.5993E-09,1.42E-10,14.95689,0,1
-45,6.79E-09,-6.938E-09,3.12E-10,15.17456,0,1
-44,7.067E-09,-7.0933E-09,3.71E-10,15.39506,0,1
-43,7.187E-09,-7.2409E-09,2E-10,15.69186,0,1
-42,7.912E-09,-7.8076E-09,4.2E-11,16.02299,0,1
-41,7.96E-09,-8.2029E-09,2.56E-10,16.35475,0,1
-40,8.447E-09,-8.5765E-09,1.84E-10,16.65772,0,1
-39,8.999E-09,-9.0717E-09,3.36E-10,16.87528,0,1
-38,9.411E-09,-9.3757E-09,3.33E-10,17.0959,0,1
-37,9.788E-09,-9.9583E-09,1.91E-10,17.39272,0,1
-36,1.051E-08,-1.04832E-08,1.57E-10,17.72383,0,1
-35,1.1098E-08,-1.11456E-08,4.55E-10,17.99443,0,1
-34,1.1558E-08,-1.17192E-08,3.29E-10,18.25351,0,1
-33,1.2072E-08,-1.24332E-08,3.16E-10,18.53472,0,1
-32,1.3185E-08,-1.3292E-08,1.8E-10,18.80153,0,1
-31,1.3552E-08,-1.36182E-08,6.04E-10,19.1065,0,1
-30,1.4077E-08,-1.40698E-08,2.42E-10,19.3817,0,1
-29,1.4631E-08,-1.48546E-08,6.2E-10,19.68675,0,1
-28,1.5556E-08,-1.54791E-08,2.35E-10,19.9619,0,1
-27,1.6489E-08,-1.64642E-08,6.15E-10,20.26689,0,1
-26,1.8083E-08,-1.76132E-08,2.59E-10,20.54198,0,1
-25,1.8319E-08,-1.88066E-08,6.49E-10,20.8469,0,1
-24,2.0344E-08,-1.9944E-08,2.39E-10,21.12188,0,1
-23,2.0639E-08,-2.10755E-08,6.2E-10,21.42694,0,1
-22,2.235E-08,-2.21262E-08,2.32E-10,21.70204,0,1
-21,2.3589E-08,-2.36603E-08,2.7E-10,22.02576,0,1
-20,2.495E-08,-2.4991E-08,2.06E-10,22.3655,0,1
-19,2.6861E-08,-2.668E-08,2.37E-10,22.69419,0,1
-18,2.8613E-08,-2.8486E-08,2.52E-10,23.0229,0,1
-17,3.0013E-08,-3.0112E-08,3.25E-10,23.37331,0,1
-16,3.1847E-08,-3.2005E-08,2.47E-10,23.70202,0,1
-15,3.4144E-08,-3.4334E-08,6.58E-10,24.02747,0,1
-14,3.5532E-08,-3.6198E-08,-8E-12,24.33406,0,1
-13,3.8249E-08,-3.9408E-08,-1.48E-10,24.66275,0,1
-12,4.0694E-08,-4.172E-08,1.05E-10,24.98818,0,1
-11,4.3233E-08,-4.3731E-08,1.84E-10,25.29481,0,1
-10,4.6142E-08,-4.6092E-08,2.76E-10,25.62348,0,1
-9,4.8934E-08,-4.9276E-08,2.89E-10,25.95208,0,1
-8,5.2399E-08,-5.2187E-08,2.81E-10,26.26525,0,1
-7,5.5293E-08,-5.5573E-08,3.04E-10,26.55986,0,1
-6,5.952E-08,-5.9356E-08,4.2E-10,26.8958,0,1
-5,6.3378E-08,-6.3808E-08,2.23E-10,27.22443,0,1
-4,6.8752E-08,-6.8031E-08,3.18E-10,27.51643,0,1
-3,7.2785E-08,-7.3134E-08,5.81E-10,27.84735,0,1
-2,7.7565E-08,-7.7954E-08,3.58E-10,28.13252,0,1
-1,8.3846E-08,-8.3616E-08,3.51E-10,28.44592,0,1
0,8.9542E-08,-8.955E-08,3.37E-10,28.74061,0,1
1,9.9028E-08,-9.5652E-08,7.77E-10,29.03421,0,1
2,1.02992E-07,-1.03507E-07,9.43E-10,29.30748,0,1
3,1.10732E-07,-1.11814E-07,-3.26E-10,29.60185,0,1
4,1.2076E-07,-1.19788E-07,3.43E-10,29.87576,0,1
5,1.29818E-07,-1.29455E-07,6.4E-10,30.2067,0,1
6,1.39302E-07,-1.37345E-07,6.72E-10,30.47643,0,1
7,1.49149E-07,-1.49146E-07,-4.9E-11,30.83776,0,1
8,1.6013E-07,-1.60417E-07,6.73E-10,31.1761,0,1
9,1.71106E-07,-1.72943E-07,9.5E-11,31.4876,0,1
10,1.84793E-07,-1.84407E-07,4.33E-10,31.73684,0,1
11,1.97856E-07,-1.96842E-07,4.56E-10,31.98745,0,1
12,2.10106E-07,-2.10713E-07,4.52E-10,32.22985,0,1
13,2.23498E-07,-2.23333E-07,5.63E-10,32.45097,0,1
14,2.36268E-07,-2.37092E-07,4.64E-10,32.71759,0,1
15,2.51917E-07,-2.50653E-07,5.22E-10,32.95702,0,1
16,2.65467E-07,-2.65122E-07,5.52E-10,33.20775,0,1
17,2.79908E-07,-2.78524E-07,8.73E-10,33.42889,0,1
18,2.94717E-07,-2.92299E-07,9.66E-10,33.65015,0,1
19,3.07924E-07,-3.07235E-07,8.14E-10,33.91684,0,1
20,3.21436E-07,-3.21578E-07,7.44E-10,34.15617,0,1
21,3.35672E-07,-3.3624E-07,5.21E-10,34.4483,0,1
22,3.50379E-07,-3.50718E-07,5.15E-10,34.69782,0,1
23,3.64885E-07,-3.64362E-07,5.52E-10,34.92911,0,1
24,3.7749E-07,-3.77136E-07,6.02E-10,35.15043,0,1
25,3.91558E-07,-3.91979E-07,5.82E-10,35.37157,0,1
26,4.05027E-07,-4.05031E-07,6.04E-10,35.63812,0,1
27,4.19813E-07,-4.19739E-07,6.64E-10,35.87747,0,1
28,4.3315E-07,-4.33735E-07,5.18E-10,36.10872,0,1
29,4.45647E-07,-4.46658E-07,6.45E-10,36.32992,0,1
30,4.61465E-07,-4.60345E-07,6.07E-10,36.63912,0,1
31,4.73702E-07,-4.74432E-07,6.61E-10,36.87047,0,1
32,4.88266E-07,-4.87423E-07,6.89E-10,37.09172,0,1
33,5.00662E-07,-4.99854E-07,6.9E-10,37.35831,0,1
34,5.1369E-07,-5.15222E-07,6.54E-10,37.5977,0,1
35,5.28703E-07,-5.2885E-07,6.63E-10,37.829,0,1
