Setup title,VFET_cycle
Application test name,gate_scan_cycles
Test date,1/10/2018
Test time,11:14:55
Device ID,1
Count,16
Flags,!
Remarks,pressure-idvg1
Name,Gate,Source,Drain,False,VgStart,VgStop,VgStep,Vd,IgLimit,IntegTime,curr_cycle,Vs,HoldTime,DelayTime,DrainMinRng
Value,"SMU1:HP	HPSMU","SMU4:HR	HRSMU","SMU3:HR	HRSMU","SMU2:HR	HRSMU",-100,100,1,1,0.01,MEDIUM,0,0,0,0,1nA
Name,Polarity,Lg,Wg,Temp,IdMax,test_cycles
Value,1,1E-06,1E-05,25,0.01,6
Vgate,Idrain,Isource,Igate,t,cycle,Vdrain
-100,-2.768E-09,1.1347E-09,-1.44E-08,0.13705,0,1
-99,8.09E-10,3.661E-09,-2.529E-09,0.43503,0,1
-98,-8E-11,1.234E-09,-9.94E-10,0.76495,0,1
-97,-6.81E-10,3.79E-10,-1.931E-09,1.09488,0,1
-96,3.2E-11,-1.494E-09,-1.254E-09,1.42535,0,1
-95,-2.4E-10,8.41E-10,-6.61E-10,1.75662,0,1
-94,-4.81E-10,1.848E-10,-1.743E-09,2.08799,0,1
-93,-3.24E-10,2.38E-10,-9.59E-10,2.42963,0,1
-92,-4.3E-11,4.96E-10,-8.11E-10,2.71524,0,1
-91,-1.94E-10,5.015E-10,-4.84E-10,3.02608,0,1
-90,-6.7E-11,4.778E-10,-4.69E-10,3.3574,0,1
-89,-1.8E-11,4.22E-10,-4.07E-10,3.68905,0,1
-88,2.1E-11,3.334E-10,-4.12E-10,3.97207,0,1
-87,-1.9E-11,3.352E-10,-2E-10,4.20981,0,1
-86,3.3E-11,4.21E-10,-2.22E-10,4.5146,0,1
-85,1E-12,2.652E-10,-2.29E-10,4.84327,0,1
-84,-4E-11,2.51E-10,-2.39E-10,5.11346,0,1
-83,9.1E-11,2.248E-10,-1.23E-10,5.34971,0,1
-82,-5.1E-11,2.229E-10,-2.48E-10,5.64667,0,1
-81,-1.9E-11,2.901E-10,-2.51E-10,5.97789,0,1
-80,1.72E-10,2.666E-10,2.11E-10,6.30072,0,1
-79,2.59E-10,2.634E-10,1.72E-10,6.52949,0,1
-78,2.07E-10,2.353E-10,1.5E-10,6.75008,0,1
-77,1.73E-10,1.831E-10,4.8E-11,7.04684,0,1
-76,1.6E-11,1.612E-10,-3E-12,7.38607,0,1
-75,8.6E-11,8.33E-11,-1.26E-10,7.71714,0,1
-74,-3.9E-11,8.42E-11,-8.4E-11,8.04833,0,1
-73,-2.81E-10,-3.68E-11,-1.06E-10,8.3891,0,1
-72,-3.53E-10,-9.32E-11,-1.86E-10,8.69216,0,1
-71,7.7E-11,-1.637E-10,-2.14E-10,8.91048,0,1
-70,3.7E-11,-4.96E-11,-1.24E-10,9.20866,0,1
-69,2E-11,1.39E-11,-2.1E-11,9.54882,0,1
-68,2.4E-11,6.37E-11,7.8E-11,9.888,0,1
-67,-1.14E-10,7.06E-11,9.5E-11,10.22792,0,1
-66,-1.8E-11,1.3E-11,-8.7E-11,10.56064,0,1
-65,-1E-12,2.35E-11,3.08E-10,10.7485,0,1
-64,-5E-12,-2E-11,-3.05E-10,10.99057,0,1
-63,3.9E-11,5.08E-11,1.11E-10,11.22975,0,1
-62,1.9E-11,1.5E-11,1.64E-10,11.57059,0,1
-61,5.9E-11,-4.92E-11,1.05E-10,11.8543,0,1
-60,8.5E-11,-1.08E-11,2.18E-10,12.09231,0,1
-59,-4.3E-11,7.2E-12,1.28E-10,12.3904,0,1
-58,3E-11,-7.3E-12,1.11E-10,12.69343,0,1
-57,1.04E-10,-9.8E-11,2.19E-10,12.9117,0,1
-56,-2E-12,-5.21E-11,1.37E-10,13.21012,0,1
-55,1.1E-11,-3.3E-12,-5.4E-11,13.55005,0,1
-54,-8E-12,-4.73E-11,1.49E-10,13.89018,0,1
-53,-1.17E-10,-5.76E-11,1.42E-10,14.23108,0,1
-52,2.2E-11,-7.33E-11,1.16E-10,14.53502,0,1
-51,1.03E-10,-7.79E-11,3.22E-10,14.77276,0,1
-50,-1.24E-10,-3.83E-11,2.05E-10,15.06957,0,1
-49,-8E-11,-8.17E-11,1.02E-10,15.40057,0,1
-48,7.9E-11,-1.127E-10,2.39E-10,15.79033,0,1
-47,4.007E-09,-7.9E-11,2.15E-10,16.11089,0,1
-46,4.098E-09,-4.157E-09,2.21E-10,16.45174,0,1
-45,4.278E-09,-4.334E-09,1.28E-10,16.78162,0,1
-44,4.435E-09,-4.436E-09,2.65E-10,17.11039,0,1
-43,4.939E-09,-4.533E-09,3.01E-10,17.43903,0,1
-42,4.973E-09,-4.808E-09,3.18E-10,17.76772,0,1
-41,6.944E-09,-5.016E-09,1.64E-10,18.09748,0,1
-40,6.768E-09,-7.587E-09,-5E-12,18.48426,0,1
-39,7.825E-09,-7.863E-09,6.7E-11,18.80086,0,1
-38,7.865E-09,-8.572E-09,4.43E-10,19.13084,0,1
-37,8.325E-09,-8.788E-09,2E-11,19.45948,0,1
-36,7.09E-09,5.9E-10,-2.394E-09,19.77628,0,1
-35,-7.91E-10,-2.51E-11,1.615E-09,20.16832,0,1
-34,-9.46E-10,-2.69E-11,2.706E-09,20.41261,0,1
-33,-7.35E-10,8.9E-12,2.345E-09,20.67261,0,1
-32,2.61E-10,8.9E-12,1.776E-09,20.93909,0,1
-31,-1.354E-09,1.86E-11,7.059E-09,21.18357,0,1
-30,5.76E-10,-2.75E-11,2.733E-09,21.43159,0,1
-29,-8.03E-10,1.77E-11,2.39E-09,21.75482,0,1
-28,6.16E-10,-1.73E-11,2.65E-09,22.01113,0,1
-27,-8.15E-10,3.67E-11,2.444E-09,22.33443,0,1
-26,-5.27E-10,-3.04E-11,1.647E-09,22.63326,0,1
-25,-5.96E-10,1.94E-11,2.291E-09,22.89331,0,1
-24,4.56E-10,2.58E-11,1.724E-09,23.15967,0,1
-23,1.7006E-08,2.6E-12,2.27E-09,23.4651,0,1
-22,1.8367E-08,-1.83E-08,4.11E-10,23.79135,0,1
-21,2.2377E-08,-1.9505E-08,2.94E-10,24.11996,0,1
-20,2.4E-08,-2.4315E-08,2.84E-10,24.5056,0,1
-19,2.6026E-08,-2.6096E-08,1.64E-10,24.82331,0,1
-18,2.7872E-08,-2.8177E-08,3.25E-10,25.15314,0,1
-17,3.0091E-08,-3.0204E-08,2.24E-10,25.48287,0,1
-16,3.23E-08,-3.2476E-08,3.28E-10,25.81151,0,1
-15,3.4891E-08,-3.4985E-08,2.58E-10,26.14127,0,1
-14,3.7948E-08,-3.8215E-08,2.88E-10,26.46671,0,1
-13,4.1137E-08,-4.1383E-08,2.93E-10,26.75187,0,1
-12,4.4815E-08,-4.5136E-08,3.18E-10,27.08055,0,1
-11,4.8901E-08,-4.91E-08,2.79E-10,27.40316,0,1
-10,5.3378E-08,-5.3728E-08,3.47E-10,27.63564,0,1
-9,5.8749E-08,-5.9242E-08,5.15E-10,27.96671,0,1
-8,6.4443E-08,-6.478E-08,2.93E-10,28.25328,0,1
-7,7.1115E-08,-7.1401E-08,2.68E-10,28.64462,0,1
-6,7.8891E-08,-7.9262E-08,2.89E-10,28.96129,0,1
-5,8.7449E-08,-8.7582E-08,3.3E-10,29.29218,0,1
-4,9.7206E-08,-9.7456E-08,2.87E-10,29.62181,0,1
-3,1.08146E-07,-1.08369E-07,3.76E-10,29.93377,0,1
-2,1.20405E-07,-1.21059E-07,5.14E-10,30.2081,0,1
-1,1.33921E-07,-1.34403E-07,4.14E-10,30.51253,0,1
0,1.49472E-07,-1.49646E-07,3.87E-10,30.82937,0,1
