Setup title,VFET_cycle
Application test name,gate_scan_cycles
Test date,12/22/2017
Test time,12:11:15
Device ID,1
Count,2
Flags,
Remarks,
Name,Gate,Source,Drain,False,VgStart,VgStop,VgStep,Vd,IgLimit,IntegTime,curr_cycle,Vs,HoldTime,DelayTime,DrainMinRng
Value,"SMU1:HP	HPSMU","SMU3:HR	HRSMU","SMU4:HR	HRSMU","SMU2:HR	HRSMU",-100,100,1,3.5,0.01,MEDIUM,0,0,0,0,1nA
Name,Polarity,Lg,Wg,Temp,IdMax,test_cycles
Value,1,1E-06,1E-05,25,0.01,5
Vgate,Idrain,Isource,Igate,t,cycle,Vdrain
-100,6.8E-11,4.159E-09,-1.138E-08,0.03223,0,3.5
-99,1.01E-10,2.017E-09,-2.625E-09,0.36474,0,3.5
-98,9.3E-11,1.398E-09,-1.716E-09,0.67503,0,3.5
-97,2.7486E-08,-2.9283E-08,-1.132E-09,0.85253,0,3.5
-96,4.7951E-08,-3.494E-08,-9.96E-10,1.13717,0,3.5
-95,6.8918E-08,-5.0106E-08,-7.75E-10,1.3359,0,3.5
-94,6.5058E-08,-5.2958E-08,-5.6E-10,1.51366,0,3.5
-93,5.8793E-08,-5.9392E-08,-6.9E-10,1.78422,0,3.5
-92,4.5871E-08,-4.3333E-08,-5.84E-10,2.0351,0,3.5
-91,6.6726E-08,-5.9659E-08,-3.94E-10,2.2352,0,3.5
-90,7.2971E-08,-6.8069E-08,-2.67E-10,2.43539,0,3.5
-89,7.3638E-08,-7.5105E-08,-3.93E-10,2.73343,0,3.5
-88,7.7339E-08,-8.0322E-08,-8.18E-10,3.06518,0,3.5
-87,8.8604E-08,-8.6017E-08,-7.91E-10,3.33512,0,3.5
-86,9.4054E-08,-9.0967E-08,8E-12,3.5322,0,3.5
-85,1.01522E-07,-9.8822E-08,-1.91E-10,3.88608,0,3.5
-84,6.6624E-08,-9.2791E-08,-3.86E-10,4.17822,0,3.5
-83,9.5265E-08,-8.3093E-08,-3.53E-10,4.5001,0,3.5
