Setup title,"TFT Id-Vg-tian-cycle"
Application test name,"TFT Id-Vg-tian-cycle"
Test date,12/22/2017
Test time,11:58:07
Device ID,1
Count,4
Flags,!
Remarks,250nm-air-cycles
Name,Gate,Source,Drain,VgStart,VgStop,VgStep,Vs,VdStart,VdStop,VdStep,IgLimit,IntegTime,HoldTime,DelayTime,DrainMinRng
Value,"SMU1:HP	HPSMU","SMU4:HR	HRSMU","SMU3:HR	HRSMU",-100,100,1,0,-0.5,-5,0.5,0.01,MEDIUM,0,0,1nA
Name,Polarity,Lg,Wg,Temp,IdMax
Value,1,1E-06,1E-05,25,0.01
Vgate,Idrain,Isource,Igate,Rds,Vdrain
-100,5.342E-09,1.78E-10,-1.608E-08,-1871958068.13927,-0.5
-99,2.178E-09,6E-12,-3.478E-09,-4591368227.73186,-0.5
-98,1.57E-09,8E-11,-2.054E-09,-6369426751.59236,-0.5
-97,1.318E-09,7.4E-11,-1.485E-09,-7587253414.26404,-0.5
-96,1.1E-09,3.5E-11,-1.278E-09,-9090909090.90909,-0.5
-95,8.5E-10,1.4E-10,-1.139E-09,-11764705882.3529,-0.5
-94,7.21E-10,5.9E-11,-9.97E-10,-13869625520.111,-0.5
-93,6.76E-10,-3.5E-11,-6.76E-10,-14792899408.284,-0.5
-92,5.67E-10,2.5E-11,-5.62E-10,-17636684303.351,-0.5
-91,4.69E-10,-1.33E-10,-3.83E-10,-21321961620.4691,-0.5
-90,4.56E-10,-3.8E-11,-3.95E-10,-21929824561.4035,-0.5
-89,4.26E-10,3.7E-11,-4.68E-10,-23474178403.7559,-0.5
-88,3.79E-10,1.5E-11,-5.08E-10,-26385224274.4063,-0.5
-87,2.8E-10,-8E-12,-3.35E-10,-35714285714.2857,-0.5
-86,3.09E-10,5.7E-11,-1.2E-10,-32362459546.9256,-0.5
-85,2.75E-10,-5.2E-11,-2.77E-10,-36363636363.6364,-0.5
-84,2.69E-10,5.2E-11,-3.53E-10,-37174721189.5911,-0.5
-83,2.37E-10,1.13E-10,-1.34E-10,-42194092827.0042,-0.5
-82,2.5E-10,2.91E-10,-1.43E-10,-40000000000,-0.5
-81,2.75E-10,3.16E-10,1.66E-10,-36363636363.6364,-0.5
-80,1.99E-10,1.35E-10,7.4E-11,-50251256281.407,-0.5
-79,-3.46E-10,-1E-10,-3.16E-10,28901734104.0462,-0.5
-78,-5.51E-10,-5.1E-10,-1.275E-09,18148820326.6788,-0.5
-77,3E-12,9.3E-11,7.6E-11,-3333333333333.33,-0.5
-76,-8.7E-11,-1.56E-10,-1.99E-10,114942528735.632,-0.5
-75,-5.2E-11,1.62E-10,2.3E-11,192307692307.692,-0.5
-74,1.1E-11,5.9E-11,-2.42E-10,-909090909090.909,-0.5
-73,-7E-11,2.2E-11,1.55E-10,142857142857.143,-0.5
-72,-2E-11,-3.8E-11,-1.4E-11,500000000000,-0.5
-71,-4.3E-11,7E-12,2.52E-10,232558139534.884,-0.5
-70,-2.7E-11,-3.4E-11,3.09E-10,370370370370.37,-0.5
-69,8.2E-11,5.2E-11,2.5E-11,-121951219512.195,-0.5
-68,-3E-11,4.8E-11,2.31E-10,333333333333.333,-0.5
-67,0,6.1E-11,-1.6E-11,,-0.5
-66,-2.5E-11,-4E-12,1.3E-11,400000000000,-0.5
-65,-1.7E-11,-1.3E-11,3.82E-10,588235294117.647,-0.5
-64,2.36E-10,-8.8E-11,5.19E-10,-42372881355.9322,-0.5
-63,1.66E-10,1.15E-10,7.48E-10,-60240963855.4217,-0.5
-62,-3.4E-11,6.2E-11,5.1E-10,294117647058.824,-0.5
-61,3.34E-10,1.2E-11,3.62E-10,-29940119760.479,-0.5
-60,-1.16E-10,1.28E-10,7.14E-10,86206896551.7241,-0.5
-59,1.23E-10,1.62E-10,4.78E-10,-81300813008.1301,-0.5
-58,-1.49E-10,-4.6E-11,1.39E-10,67114093959.7315,-0.5
-57,-2.17E-10,-2.92E-10,3.15E-10,46082949308.7558,-0.5
-56,-1.72E-10,-2.72E-10,-1.47E-10,58139534883.7209,-0.5
-55,-1E-10,-2.68E-10,-8.7E-11,100000000000,-0.5
-54,-6.3E-11,-7.8E-11,3.51E-10,158730158730.159,-0.5
-53,-1.55E-10,1E-11,2.2E-11,64516129032.2581,-0.5
-52,-1.33E-10,-3.9E-11,1.08E-10,75187969924.812,-0.5
-51,-3.6E-11,-4.7E-11,4.8E-11,277777777777.778,-0.5
-50,-1.6E-11,-5.5E-11,1.55E-10,625000000000,-0.5
-49,-2.9E-11,8.3E-11,1.28E-10,344827586206.896,-0.5
-48,-1.3E-10,2.6E-11,3.51E-10,76923076923.0769,-0.5
-47,-5E-11,1.1E-11,9.7E-11,200000000000,-0.5
-46,-1.13E-10,2.9E-11,3.83E-10,88495575221.2389,-0.5
-45,-9.2E-11,5E-12,5.07E-10,108695652173.913,-0.5
-44,-2.03E-10,1.14E-10,1.61E-10,49261083743.8424,-0.5
-43,-1.21E-10,-4E-11,2.05E-10,82644628099.1736,-0.5
-42,-1.87E-10,9.6E-11,2.57E-10,53475935828.877,-0.5
-41,-1.62E-10,8.6E-11,4.59E-10,61728395061.7284,-0.5
-40,-1.46E-10,2.2E-10,1.94E-10,68493150684.9315,-0.5
-39,-2.4E-10,1.4E-10,3.8E-10,41666666666.6667,-0.5
-38,-2.2E-10,2.17E-10,2.48E-10,45454545454.5455,-0.5
-37,-2.98E-10,1.85E-10,4.38E-10,33557046979.8658,-0.5
-36,-2.75E-10,1.1E-10,5.71E-10,36363636363.6364,-0.5
-35,-3.33E-10,1.28E-10,7.29E-10,30030030030.03,-0.5
-34,-3.64E-10,1.56E-10,5.98E-10,27472527472.5275,-0.5
-33,-4.46E-10,1.03E-10,7.13E-10,22421524663.6771,-0.5
-32,-4.37E-10,1.6E-10,6.41E-10,22883295194.508,-0.5
-31,-4.58E-10,9.4E-11,7.81E-10,21834061135.3712,-0.5
-30,-4.47E-10,2.04E-10,6.7E-10,22371364653.2438,-0.5
-29,-4.66E-10,1.47E-10,8.05E-10,21459227467.8112,-0.5
-28,-4.98E-10,2.82E-10,4.45E-10,20080321285.1406,-0.5
-27,-4.74E-10,1.68E-10,4.05E-10,21097046413.5021,-0.5
-26,-5.01E-10,2.11E-10,4.82E-10,19960079840.3194,-0.5
-25,-5.72E-10,2.7E-10,7.56E-10,17482517482.5175,-0.5
-24,-6.23E-10,3.94E-10,4.06E-10,16051364365.9711,-0.5
-23,-7.27E-10,6.7E-10,7.42E-10,13755158184.3191,-0.5
-22,-6.88E-10,6.65E-10,6.79E-10,14534883720.9302,-0.5
-21,-6.77E-10,6.89E-10,1.038E-09,14771048744.4609,-0.5
-20,-8.42E-10,5.67E-10,5.45E-10,11876484560.5701,-0.5
-19,-8.27E-10,5.63E-10,6.13E-10,12091898428.0532,-0.5
-18,-9.04E-10,5.4E-10,9.38E-10,11061946902.6549,-0.5
-17,-9.15E-10,6.24E-10,6.59E-10,10928961748.6339,-0.5
-16,-1.034E-09,6.48E-10,9.95E-10,9671179883.94584,-0.5
-15,-9.69E-10,6.48E-10,5.58E-10,10319917440.6605,-0.5
-14,-1.097E-09,7.03E-10,1.131E-09,9115770282.58888,-0.5
-13,-1.221E-09,8.63E-10,6.46E-10,8190008190.00819,-0.5
