Setup title,vfet-test
Application test name,"TFT Id-Vg-tian"
Test date,12/22/2017
Test time,11:38:00
Device ID,1
Count,7
Flags,!
Remarks,250nm-cycle
Name,Gate,Source,Drain,VgStart,VgStop,VgStep,Vs,VdStart,VdStop,VdStep,IgLimit,IntegTime,HoldTime,DelayTime,DrainMinRng
Value,"SMU1:HP	HPSMU","SMU4:HR	HRSMU","SMU3:HR	HRSMU",-110,100,1,0,-0.5,-5,0.5,0.01,MEDIUM,0,0,1nA
Name,Polarity,Lg,Wg,Temp,IdMax
Value,1,1E-06,1E-05,25,0.01
Vgate,Idrain,Isource,Igate,Rds,Vdrain
-110,4.411E-09,2.24E-10,-1.5844E-08,-2267059623.6681,-0.5
-109,1.99E-09,1.11E-10,-3.366E-09,-5025125628.1407,-0.5
-108,1.467E-09,8.7E-11,-2.05E-09,-6816632583.50375,-0.5
-107,1.21E-09,3.7E-11,-1.472E-09,-8264462809.91736,-0.5
-106,1.044E-09,6.4E-11,-1.191E-09,-9578544061.30268,-0.5
-105,9.11E-10,4.1E-11,-1.041E-09,-10976948408.3425,-0.5
-104,7.88E-10,4E-11,-9.5E-10,-12690355329.9492,-0.5
-103,6.09E-10,5.8E-11,-7.21E-10,-16420361247.9475,-0.5
-102,5.69E-10,6.1E-11,-4.87E-10,-17574692442.8822,-0.5
-101,5.22E-10,3E-11,-6E-10,-19157088122.6054,-0.5
-100,4.93E-10,8.7E-11,-2.87E-10,-20283975659.2292,-0.5
-99,4.07E-10,3.1E-11,-1.82E-10,-24570024570.0246,-0.5
-98,3.56E-10,3.3E-11,-3.72E-10,-28089887640.4494,-0.5
-97,3.82E-10,5.7E-11,-2.03E-10,-26178010471.2042,-0.5
-96,3.11E-10,4.3E-11,-4.4E-10,-32154340836.0129,-0.5
-95,2.71E-10,3.6E-11,-9.3E-11,-36900369003.69,-0.5
-94,2.3E-10,1.12E-10,-1.85E-10,-43478260869.5652,-0.5
-93,2.5E-10,5.3E-11,-8.2E-11,-40000000000,-0.5
-92,1.18E-10,3.3E-11,-8.9E-11,-84745762711.8644,-0.5
-91,-7E-12,2.2E-11,4.6E-11,1428571428571.43,-0.5
-90,7.1E-11,6E-11,7.8E-11,-140845070422.535,-0.5
-89,1.53E-10,8E-12,1.21E-10,-65359477124.183,-0.5
-88,2.1E-11,3.6E-11,-6E-12,-476190476190.476,-0.5
-87,-1.7E-11,1.4E-11,3.01E-10,588235294117.647,-0.5
-86,2.5E-11,-2.1E-11,3.25E-10,-400000000000,-0.5
-85,-3E-11,-2E-12,2.59E-10,333333333333.333,-0.5
-84,-1.04E-10,5.8E-11,3.92E-10,96153846153.8461,-0.5
-83,-3.2E-11,9E-12,3.24E-10,312500000000,-0.5
-82,-6.6E-11,2E-11,2.47E-10,151515151515.151,-0.5
-81,-1.41E-10,5.3E-11,4.15E-10,70921985815.6028,-0.5
-80,-1.66E-10,1.37E-10,5.07E-10,60240963855.4217,-0.5
-79,-2.72E-10,3.1E-11,3.48E-10,36764705882.3529,-0.5
-78,-1.95E-10,6.2E-11,5.9E-10,51282051282.0513,-0.5
-77,-1.42E-10,9.4E-11,1.62E-10,70422535211.2676,-0.5
-76,-1.4E-10,1.03E-10,1.39E-10,71428571428.5714,-0.5
-75,-6.4E-11,6.8E-11,7E-11,156250000000,-0.5
-74,-1.49E-10,-1.2E-11,9E-11,67114093959.7315,-0.5
-73,-4.6E-11,1.1E-10,1.7E-11,217391304347.826,-0.5
-72,-7E-11,4E-11,2E-11,142857142857.143,-0.5
-71,-1.71E-10,7.3E-11,7.1E-11,58479532163.7427,-0.5
-70,-6.3E-11,4.5E-11,-3E-12,158730158730.159,-0.5
-69,-4.6E-11,5.8E-11,2.1E-11,217391304347.826,-0.5
-68,-9.5E-11,8.9E-11,1.35E-10,105263157894.737,-0.5
-67,-1.13E-10,3.2E-11,4.26E-10,88495575221.2389,-0.5
-66,-1.74E-10,1.4E-11,6.5E-10,57471264367.8161,-0.5
-65,-1.17E-10,6.3E-11,4.76E-10,85470085470.0855,-0.5
-64,-6.4E-11,3.5E-11,7.72E-10,156250000000,-0.5
-63,-1.17E-10,1.06E-10,1.92E-10,85470085470.0855,-0.5
-62,-1.34E-10,9.1E-11,0,74626865671.6418,-0.5
-61,-1.05E-10,9.1E-11,-1.6E-11,95238095238.0952,-0.5
-60,-9.6E-11,1.12E-10,6.4E-11,104166666666.667,-0.5
-59,-1.26E-10,9.4E-11,1.3E-11,79365079365.0794,-0.5
-58,-2.9E-11,7.5E-11,1.8E-11,344827586206.896,-0.5
-57,-1.58E-10,1.1E-10,4.9E-11,63291139240.5063,-0.5
-56,-1.35E-10,1.18E-10,1.7E-10,74074074074.0741,-0.5
-55,-3.3E-11,1.53E-10,2.45E-10,303030303030.303,-0.5
-54,-1.69E-10,1.37E-10,1.81E-10,59171597633.1361,-0.5
-53,-1.81E-10,2.19E-10,5.99E-10,55248618784.5304,-0.5
-52,-2.49E-10,2.97E-10,7.47E-10,40160642570.2811,-0.5
-51,-1.78E-10,2.76E-10,5.09E-10,56179775280.8989,-0.5
-50,-1.44E-10,2.71E-10,7.4E-10,69444444444.4444,-0.5
-49,-3.06E-10,1.89E-10,3.4E-11,32679738562.0915,-0.5
-48,-3.15E-10,2.01E-10,7.3E-11,31746031746.0317,-0.5
-47,-2.84E-10,1.65E-10,7.9E-11,35211267605.6338,-0.5
-46,-2.65E-10,2.73E-10,1.24E-10,37735849056.6038,-0.5
-45,-3.01E-10,2.33E-10,4.9E-11,33222591362.1262,-0.5
-44,-3.07E-10,2.31E-10,1.03E-10,32573289902.2801,-0.5
-43,-3.1E-10,2.02E-10,1.49E-10,32258064516.129,-0.5
-42,-3.23E-10,1.78E-10,4.29E-10,30959752321.9814,-0.5
-41,-3.73E-10,1.65E-10,4.95E-10,26809651474.5308,-0.5
-40,-3.13E-10,1.89E-10,3.75E-10,31948881789.1374,-0.5
-39,-2.81E-10,1.7E-10,6.27E-10,35587188612.0996,-0.5
-38,-5.05E-10,1.49E-10,6.22E-10,19801980198.0198,-0.5
-37,-4.51E-10,2.41E-10,4.51E-10,22172949002.2173,-0.5
-36,-4.24E-10,2.2E-10,6.35E-10,23584905660.3774,-0.5
-35,-5.44E-10,3.25E-10,2.48E-10,18382352941.1765,-0.5
-34,-4.28E-10,3.34E-10,3.05E-10,23364485981.3084,-0.5
-33,-4.87E-10,2.66E-10,6.88E-10,20533880903.4908,-0.5
-32,-6.02E-10,2.79E-10,5.49E-10,16611295681.0631,-0.5
-31,-5.23E-10,2.44E-10,7.57E-10,19120458891.0134,-0.5
-30,-6.03E-10,4.12E-10,3.79E-10,16583747927.0315,-0.5
-29,-6.29E-10,4.07E-10,2.92E-10,15898251192.3688,-0.5
-28,-7.57E-10,3.59E-10,3.39E-10,13210039630.1189,-0.5
-27,-5.54E-10,4E-10,3.59E-10,18050541516.2455,-0.5
-26,-6.72E-10,4.41E-10,3.89E-10,14880952380.9524,-0.5
-25,-6.87E-10,3.44E-10,5.18E-10,14556040756.9141,-0.5
-24,-7.96E-10,3.88E-10,6.09E-10,12562814070.3518,-0.5
-23,-7.95E-10,4.34E-10,6.54E-10,12578616352.2013,-0.5
-22,-8.12E-10,4.93E-10,5.07E-10,12315270935.9606,-0.5
