Setup title,vfet-test
Application test name,"TFT Id-Vg-tian"
Test date,12/22/2017
Test time,11:27:45
Device ID,1
Count,1
Flags,!
Remarks,250nm-500mv-5v
Name,Gate,Source,Drain,VgStart,VgStop,VgStep,Vs,VdStart,VdStop,VdStep,IgLimit,IntegTime,HoldTime,DelayTime,DrainMinRng
Value,"SMU1:HP	HPSMU","SMU4:HR	HRSMU","SMU3:HR	HRSMU",-110,100,1,0,-0.5,-5,0.5,0.01,MEDIUM,0,0,1nA
Name,Polarity,Lg,Wg,Temp,IdMax
Value,1,1E-06,1E-05,25,0.01
Vgate,Idrain,Isource,Igate,Rds,Vdrain
-110,4.388E-09,-4.7E-11,-1.3665E-08,-2278942570.64722,-0.5
-109,2.272E-09,-4E-11,-2.979E-09,-4401408450.70423,-0.5
-108,1.586E-09,2.3E-11,-1.907E-09,-6305170239.59647,-0.5
-107,1.314E-09,7.9E-11,-1.504E-09,-7610350076.1035,-0.5
-106,1.095E-09,5.5E-11,-1.239E-09,-9132420091.3242,-0.5
-105,9.28E-10,4.3E-11,-1.092E-09,-10775862068.9655,-0.5
-104,8.33E-10,3.7E-11,-8.63E-10,-12004801920.7683,-0.5
-103,7.99E-10,3E-12,-9.1E-10,-12515644555.6946,-0.5
-102,6.8E-10,1.3E-11,-7.2E-10,-14705882352.9412,-0.5
-101,6.85E-10,3.1E-11,-6.73E-10,-14598540145.9854,-0.5
-100,5.95E-10,2E-11,-6.18E-10,-16806722689.0756,-0.5
-99,6.12E-10,3.6E-11,-6.25E-10,-16339869281.0458,-0.5
-98,5.47E-10,2E-11,-5E-10,-18281535648.9945,-0.5
-97,4.89E-10,-7E-12,-4.09E-10,-20449897750.5113,-0.5
-96,4.7E-10,2.6E-11,-3.73E-10,-21276595744.6809,-0.5
-95,4.09E-10,2.3E-11,-3.8E-10,-24449877750.6112,-0.5
-94,3.91E-10,2.1E-11,-3.76E-10,-25575447570.3325,-0.5
-93,4.34E-10,1.5E-11,-3.47E-10,-23041474654.3779,-0.5
-92,4.08E-10,1.84E-10,-3.19E-10,-24509803921.5686,-0.5
-91,3.25E-10,1.9E-10,1.21E-10,-30769230769.2308,-0.5
-90,-3.2E-11,4.69E-10,-1.06E-10,312500000000,-0.5
-89,-2.76E-10,2.68E-10,-2.56E-10,36231884057.971,-0.5
-88,-2E-10,1.2E-10,-4.57E-10,50000000000,-0.5
-87,-1.98E-10,4.33E-10,-1.16E-10,50505050505.0505,-0.5
-86,-2.564E-10,4.3E-10,-1.11E-10,39001560062.4025,-0.5
-85,-2.83E-10,4.32E-10,1.35E-10,35335689045.9364,-0.5
-84,-4.375E-10,4.67E-10,2.36E-10,22857142857.1429,-0.5
-83,-4.06E-10,3.92E-10,2.4E-11,24630541871.9212,-0.5
-82,-3.115E-10,4.88E-10,8E-12,32102728731.9422,-0.5
-81,-4.231E-10,4.99E-10,1.26E-10,23635074450.4845,-0.5
-80,-4.137E-10,4.76E-10,1.23E-10,24172105390.3795,-0.5
-79,-5.462E-10,4.33E-10,3.4E-10,18308311973.636,-0.5
-78,-5.81E-10,4.62E-10,2.43E-10,17211703958.6919,-0.5
-77,-6.26E-10,4.94E-10,2.62E-10,15974440894.5687,-0.5
-76,-5.9E-10,5.09E-10,1.93E-10,16949152542.3729,-0.5
-75,-7.985E-10,4.4E-10,5.22E-10,12523481527.8647,-0.5
-74,-6.334E-10,4.66E-10,3.87E-10,15787811809.2832,-0.5
-73,-7.634E-10,4.87E-10,2.97E-10,13099292638.1975,-0.5
-72,-8.16E-10,5.12E-10,5.31E-10,12254901960.7843,-0.5
-71,-8.869E-10,5.22E-10,5.73E-10,11275228323.3735,-0.5
-70,-8.588E-10,6.05E-10,5.6E-10,11644154634.3735,-0.5
-69,-7.913E-10,5.51E-10,4.85E-10,12637432073.8026,-0.5
-68,-1.0561E-09,4.67E-10,9.13E-10,9468800303.00161,-0.5
-67,-1.092E-09,5E-10,8.35E-10,9157509157.50916,-0.5
-66,-1.1165E-09,6.13E-10,7.76E-10,8956560680.69861,-0.5
-65,-1.1916E-09,4.73E-10,9.12E-10,8392077878.48271,-0.5
-64,-1.1135E-09,5.74E-10,8.48E-10,8980691513.24652,-0.5
-63,-1.3172E-09,5.54E-10,1.234E-09,7591861524.4458,-0.5
-62,-1.3215E-09,5.33E-10,1.024E-09,7567158531.97125,-0.5
-61,-1.4315E-09,5.94E-10,1.022E-09,6985679357.3175,-0.5
-60,-1.5138E-09,5.59E-10,1.434E-09,6605892456.07082,-0.5
-59,-1.514E-09,5.69E-10,1.245E-09,6605019815.05944,-0.5
-58,-1.5088E-09,6.53E-10,1.242E-09,6627783669.14104,-0.5
-57,-1.8313E-09,6.25E-10,1.684E-09,5460601758.31377,-0.5
-56,-1.631E-09,6.43E-10,1.383E-09,6131207847.94604,-0.5
-55,-1.6146E-09,7.27E-10,1.324E-09,6193484454.35402,-0.5
-54,-1.5209E-09,7.01E-10,1.133E-09,6575054244.19752,-0.5
-53,-1.7536E-09,6.22E-10,1.673E-09,5702554744.52555,-0.5
-52,-1.635E-09,6.69E-10,1.381E-09,6116207951.07034,-0.5
-51,-1.6354E-09,7.47E-10,1.273E-09,6114711997.06494,-0.5
-50,-1.7886E-09,7.19E-10,1.658E-09,5590965000.5591,-0.5
-49,-1.637E-09,7.95E-10,1.225E-09,6108735491.75321,-0.5
-48,-1.4547E-09,8.26E-10,1.07E-09,6874269608.85406,-0.5
-47,-1.506E-09,7.86E-10,8.63E-10,6640106241.69987,-0.5
-46,-1.104E-09,9.86E-10,7.48E-10,9057971014.49276,-0.5
-45,-1.097E-09,9.38E-10,6.93E-10,9115770282.58888,-0.5
-44,-9.33E-10,1.085E-09,7.99E-10,10718113612.0043,-0.5
-43,-1.036E-09,1E-09,6.22E-10,9652509652.50965,-0.5
-42,-1.227E-09,9.43E-10,5.3E-10,8149959250.20375,-0.5
-41,-1.187E-09,1.003E-09,3.97E-10,8424599831.508,-0.5
-40,-1.229E-09,1.075E-09,1.226E-09,8136696501.2205,-0.5
-39,-1.356E-09,1.04E-09,1.143E-09,7374631268.43658,-0.5
-38,-1.377E-09,1.112E-09,4.36E-10,7262164124.90922,-0.5
-37,-1.548E-09,1.128E-09,1.028E-09,6459948320.41344,-0.5
-36,-1.562E-09,1.206E-09,1.513E-09,6402048655.56978,-0.5
-35,-1.582E-09,1.187E-09,9.52E-10,6321112515.80278,-0.5
-34,-1.488E-09,1.259E-09,5.25E-10,6720430107.52688,-0.5
-33,-1.5E-09,1.339E-09,3.84E-10,6666666666.66667,-0.5
-32,-1.544E-09,1.338E-09,7.06E-10,6476683937.82383,-0.5
-31,-1.499E-09,1.437E-09,3.09E-10,6671114076.0507,-0.5
-30,-1.64E-09,1.499E-09,5.41E-10,6097560975.60976,-0.5
-29,-1.782E-09,1.527E-09,6.39E-10,5611672278.33895,-0.5
-28,-1.722E-09,1.615E-09,3.39E-10,5807200929.15215,-0.5
-27,-1.872E-09,1.722E-09,5.78E-10,5341880341.88034,-0.5
-26,-1.866E-09,1.752E-09,8.07E-10,5359056806.00214,-0.5
-25,-2.022E-09,1.835E-09,5.51E-10,4945598417.40851,-0.5
-24,-2.041E-09,1.864E-09,3.97E-10,4899559039.68643,-0.5
