Setup title,"Gate Scan Cycles"
Application test name,gate_scan_cycles
Test date,12/20/2017
Test time,12:06:37
Device ID,1
Count,22
Flags,!
Remarks,
Name,Gate,Source,Drain,False,VgStart,VgStop,VgStep,Vd,IgLimit,IntegTime,curr_cycle,Vs,HoldTime,DelayTime,DrainMinRng
Value,"SMU1:HP	HPSMU","SMU3:HR	HRSMU","SMU4:HR	HRSMU","SMU2:HR	HRSMU",-100,100,1,1,0.01,MEDIUM,0,0,0,0,1nA
Name,Polarity,Lg,Wg,Temp,IdMax,test_cycles
Value,1,1E-06,1E-05,25,0.01,4
Vgate,Idrain,Isource,Igate,t,cycle,Vdrain
-100,4.57E-10,4.527E-09,-7.829E-09,0.08811,0,1
-99,1.34E-10,2.028E-09,-2.266E-09,0.44822,0,1
-98,1.72E-10,1.391E-09,-1.57E-09,0.62381,0,1
-97,1.08E-10,1.164E-09,-1.323E-09,0.86644,0,1
-96,-9E-12,1.036E-09,-1.129E-09,1.15121,0,1
-95,8.9E-11,7.57E-10,-9.19E-10,1.38248,0,1
-94,1.1E-11,7.53E-10,-8.27E-10,1.66575,0,1
-93,1.7E-10,6.82E-10,-6.44E-10,1.95044,0,1
-92,3.9E-11,6.08E-10,-6.19E-10,2.22475,0,1
-91,-1.2E-10,5.23E-10,-5.91E-10,2.50804,0,1
-90,8.9E-11,4.35E-10,-5.19E-10,2.81222,0,1
-89,3E-11,3.23E-10,-4.38E-10,3.04363,0,1
-88,-7.7E-11,3.09E-10,-4.14E-10,3.32693,0,1
-87,1E-12,3.6E-10,-4.37E-10,3.61155,0,1
-86,1.31E-10,2.82E-10,-2.92E-10,3.84293,0,1
-85,-1.2E-11,2.29E-10,-3.17E-10,4.12616,0,1
-84,-1.5E-11,1.52E-10,-2.93E-10,4.41086,0,1
-83,8.3E-11,2.48E-10,-2.54E-10,4.6827,0,1
-82,-2E-12,2.26E-10,-2.58E-10,4.966,0,1
-81,1.7E-11,1.29E-10,-1.68E-10,5.25079,0,1
-80,1.48E-10,2.28E-10,-1.46E-10,5.50417,0,1
-79,1.96E-10,3.09E-10,2.1E-11,5.74337,0,1
-78,-1.371E-09,6.1E-11,-1.33E-10,6.0266,0,1
-77,-4.3E-11,-6.4E-11,-1.47E-10,6.3113,0,1
-76,1.37E-10,4.83E-10,8.8E-11,6.54272,0,1
-75,-1.26E-10,3.74E-10,-4.8E-11,6.84739,0,1
-74,-2.9E-11,2.6E-11,-1.49E-10,7.13219,0,1
-73,6.3E-11,1.11E-10,-2.5E-11,7.36361,0,1
-72,-3.6E-11,7.4E-11,-7.3E-11,7.64674,0,1
-71,6.2E-11,7.2E-11,-1.21E-10,7.93154,0,1
-70,3.9E-11,5.9E-11,4E-12,8.16296,0,1
-69,-9E-12,5.9E-11,-8.2E-11,8.44618,0,1
-68,7E-12,-1.9E-11,-1.04E-10,8.73074,0,1
-67,2.13E-10,6.4E-11,-3.8E-11,8.99944,0,1
-66,5E-11,1E-11,4.55E-10,9.20538,0,1
-65,1.9E-11,1.1E-11,9.3E-11,9.44475,0,1
-64,-5.7E-11,4.7E-11,5.6E-11,9.72799,0,1
-63,4.6E-11,-1.22E-10,8.5E-11,10.03204,0,1
-62,-8.4E-11,-1.57E-10,1.07E-10,10.26353,0,1
-61,-6.5E-11,-2.72E-10,-2.7E-11,10.54667,0,1
-60,-3E-11,-2.21E-10,1.12E-10,10.83149,0,1
-59,-6.31E-10,-4.5E-10,-2.13E-10,11.06286,0,1
-58,-4.3E-10,-6.08E-10,-4.03E-10,11.34613,0,1
-57,2E-11,-3.01E-10,3.2E-11,11.63069,0,1
-56,1.31E-10,5E-11,2.18E-10,11.90242,0,1
-55,7.32E-10,3.11E-10,3.29E-10,12.18557,0,1
-54,1.57E-10,-8E-12,4.9E-10,12.47026,0,1
-53,9.8E-11,-3.2E-11,1.74E-10,12.74432,0,1
-52,-7E-11,1E-12,1.69E-10,13.02737,0,1
-51,1.05E-10,-2.92E-10,1.86E-10,13.33148,0,1
-50,-3.5E-11,-7.1E-11,1.4E-10,13.56275,0,1
-49,-3E-11,-1.28E-10,1.35E-10,13.8461,0,1
-48,1.12E-10,-2.48E-10,1.54E-10,14.13086,0,1
-47,-6.9E-11,-3.8E-11,2.17E-10,14.36231,0,1
-46,6E-12,-1.19E-10,2E-10,14.64533,0,1
-45,6.9E-11,-1.37E-10,1.4E-10,14.93016,0,1
-44,4.2E-11,-1.18E-10,1.65E-10,15.16147,0,1
-43,-4E-12,-1.27E-10,1.48E-10,15.44466,0,1
-42,1.31E-10,-2.2E-10,1.89E-10,15.72955,0,1
-41,-4.4E-11,4.4E-11,1.58E-10,16.00341,0,1
-40,-3.6E-11,-5E-12,1.53E-10,16.28657,0,1
-39,1.29E-10,-1.87E-10,2.2E-10,16.59065,0,1
-38,7E-12,-7.8E-11,1.73E-10,16.82215,0,1
-37,-2.9E-11,-1.49E-10,1.84E-10,17.10528,0,1
-36,1.27E-10,-2.08E-10,2.19E-10,17.39005,0,1
-35,-1.28E-10,-5.2E-11,2.62E-10,17.62144,0,1
-34,-1.8E-11,-9.3E-11,1.43E-10,17.90449,0,1
-33,1.88E-10,-2.59E-10,2.69E-10,18.1893,0,1
-32,-1.86E-10,-8.5E-11,2.3E-10,18.42061,0,1
-31,-5.4E-11,-1.46E-10,2.24E-10,18.70386,0,1
-30,2.11E-10,-2.9E-10,2.34E-10,18.98866,0,1
-29,-3.3E-11,-8.5E-11,1.85E-10,19.26043,0,1
-28,-4.6E-11,-9.7E-11,1.78E-10,19.54359,0,1
-27,1.12E-10,-3.23E-10,2.88E-10,19.82822,0,1
-26,7.1E-11,-2.44E-10,1.93E-10,20.09687,0,1
-25,1.63E-10,-4.7E-11,5.14E-10,20.3224,0,1
-24,-4E-12,-5.5E-11,2.72E-10,20.56162,0,1
-23,-5.9E-11,-7.6E-11,2.3E-10,20.84485,0,1
-22,1.3E-10,-2.42E-10,2.5E-10,21.14898,0,1
-21,-2.8E-11,-1.06E-10,2.47E-10,21.3804,0,1
-20,-3.3E-11,-1.82E-10,2.11E-10,21.66344,0,1
-19,1.2E-10,-3.69E-10,2.76E-10,21.9481,0,1
-18,-8.8E-11,-1.12E-10,2.14E-10,22.1795,0,1
-17,-6.8E-11,-1.58E-10,2.01E-10,22.46275,0,1
-16,1.71E-10,-2.64E-10,2.75E-10,22.74745,0,1
-15,-8.5E-11,-1.45E-10,2.55E-10,22.9789,0,1
-14,-4.1E-11,-2.11E-10,2.4E-10,23.26212,0,1
-13,5E-11,-2.55E-10,2.9E-10,23.54683,0,1
-12,-9.2E-11,-1.08E-10,1.84E-10,23.81859,0,1
-11,-5.1E-11,-1.66E-10,2.27E-10,24.10203,0,1
-10,1.27E-10,-3.11E-10,2.72E-10,24.38682,0,1
-9,-8.8E-11,-1.11E-10,2.53E-10,24.61819,0,1
-8,2E-12,-1.75E-10,2.08E-10,24.90117,0,1
-7,6.8E-11,-2.92E-10,2.82E-10,25.18605,0,1
-6,-1.1E-10,-8.3E-11,2.51E-10,25.45755,0,1
-5,-6E-11,-1.29E-10,2.36E-10,25.74074,0,1
-4,2.15E-10,-2.8E-10,3.22E-10,26.02539,0,1
-3,-4.6E-11,-7.1E-11,2.48E-10,26.29946,0,1
