Setup title,"Gate Scan Cycles"
Application test name,gate_scan_cycles
Test date,12/20/2017
Test time,11:58:25
Device ID,1
Count,21
Flags,
Remarks,
Name,Gate,Source,Drain,False,VgStart,VgStop,VgStep,Vd,IgLimit,IntegTime,curr_cycle,Vs,HoldTime,DelayTime,DrainMinRng
Value,"SMU1:HP	HPSMU","SMU3:HR	HRSMU","SMU4:HR	HRSMU","SMU2:HR	HRSMU",-100,100,1,1,0.01,MEDIUM,0,0,0,0,1nA
Name,Polarity,Lg,Wg,Temp,IdMax,test_cycles
Value,1,1E-06,1E-05,25,0.01,2
Vgate,Idrain,Isource,Igate,t,cycle,Vdrain
-100,1.76E-10,5.166E-09,-7.822E-09,0.08846,0,1
-99,1.82E-10,2.899E-09,-3.204E-09,0.31673,0,1
-98,1.33E-10,2.234E-09,-2.385E-09,0.49506,0,1
-97,4.6E-11,1.892E-09,-1.981E-09,0.73529,0,1
-96,1.83E-10,1.407E-09,-1.544E-09,1.02142,0,1
-95,1.23E-10,1.336E-09,-1.4E-09,1.23716,0,1
-94,1.21E-10,1.172E-09,-1.032E-09,1.43495,0,1
-93,3.7E-11,1.072E-09,-9.83E-10,1.67426,0,1
-92,1.3E-11,8.08E-10,-9.08E-10,1.9575,0,1
-91,1.46E-10,6.01E-10,-7.5E-10,2.24225,0,1
-90,1.71E-10,6.41E-10,-6.91E-10,2.47368,0,1
-89,3.26E-10,7.81E-10,-5.16E-10,2.75681,0,1
-88,2.25E-10,5.05E-10,-2.86E-10,3.04151,0,1
-87,2.45E-10,6.68E-10,-1.25E-10,3.27415,0,1
-86,3.57E-10,2.78E-10,-7.43E-10,3.55805,0,1
-85,5.32E-10,6.89E-10,-2.26E-10,3.86287,0,1
-84,1.9E-10,5.96E-10,-2.48E-10,4.0953,0,1
-83,2.83E-10,4.67E-10,-2.9E-10,4.37922,0,1
-82,1.06E-10,2.03E-10,-1.67E-10,4.59691,0,1
-81,1.16E-10,1.74E-10,-1.11E-10,4.79634,0,1
