Setup title,"Gate Scan Cycles"
Application test name,gate_scan_cycles
Test date,12/20/2017
Test time,11:44:10
Device ID,1
Count,14
Flags,
Remarks,
Name,Gate,Source,Drain,False,VgStart,VgStop,VgStep,Vd,IgLimit,IntegTime,curr_cycle,Vs,HoldTime,DelayTime,DrainMinRng
Value,"SMU1:HP	HPSMU","SMU3:HR	HRSMU","SMU4:HR	HRSMU","SMU2:HR	HRSMU",-100,100,1,5,0.01,MEDIUM,0,0,0,0,1nA
Name,Polarity,Lg,Wg,Temp,IdMax,test_cycles
Value,1,1E-06,1E-05,25,0.01,2
Vgate,Idrain,Isource,Igate,t,cycle,Vdrain
-100,0,3.347E-09,-5.643E-09,0.12246,0,5
-99,-3E-12,1.402E-09,-2.0421E-09,0.36756,0,5
-98,1.5E-11,9.52E-10,-1.452E-09,0.55101,0,5
-97,6.5E-11,7E-10,-1.0767E-09,0.71617,0,5
-96,-3E-12,5.21E-10,-7.092E-10,0.95288,0,5
-95,0,4.07E-10,-5.657E-10,1.1735,0,5
-94,1.05E-10,3.21E-10,-4.281E-10,1.44677,0,5
-93,-5E-12,1.17E-10,-3.384E-10,1.63897,0,5
-92,-3.3E-11,1.06E-10,-6.6E-11,1.82211,0,5
-91,5.9E-11,6.8E-11,-1.921E-10,2.02793,0,5
-90,2.8E-11,-9.6E-11,8.7E-11,2.21102,0,5
-89,9.6E-11,-9E-11,1.062E-10,2.37597,0,5
-88,-2.7E-11,-1.31E-10,-5.43E-11,2.61135,0,5
-87,1.16E-10,-1.49E-10,2.082E-10,2.83145,0,5
-86,3.5885E-08,-5.92E-10,3.431E-10,3.04487,0,5
-85,1.40254E-07,-1.25948E-07,2.461E-10,3.30518,0,5
-84,1.54125E-07,-1.52285E-07,1.015E-09,3.54113,0,5
-83,1.59668E-07,-1.57557E-07,5.89E-10,3.81744,0,5
-82,1.48449E-07,-1.50813E-07,4.385E-10,4.05286,0,5
-81,9.7505E-08,-1.56626E-07,9.51E-10,4.30051,0,5
