Setup title,VFET_cycle
Application test name,gate_scan_cycles
Test date,1/11/2018
Test time,12:36:03
Device ID,0
Count,109
Flags,!
Remarks,ots-graphene
Name,Gate,Source,Drain,False,VgStart,VgStop,VgStep,Vd,IgLimit,IntegTime,curr_cycle,Vs,HoldTime,DelayTime,DrainMinRng
Value,"SMU1:HP	HPSMU","SMU4:HR	HRSMU","SMU3:HR	HRSMU","SMU2:HR	HRSMU",-100,100,1,1,0.01,MEDIUM,0,0,0,0,1nA
Name,Polarity,Lg,Wg,Temp,IdMax,test_cycles
Value,1,1E-06,1E-05,25,0.01,2
Vgate,Idrain,Isource,Igate,t,cycle,Vdrain
-100,0.000221311,-0.000222075,-1.1419E-08,0.08741,0,1
-99,0.00021901,-0.000219409,-4.653E-09,0.27758,0,1
-98,0.000216796,-0.000217062,-2.951E-09,0.51945,0,1
-97,0.000214416,-0.000214716,-2.128E-09,0.80248,0,1
-96,0.000212724,-0.000212864,-1.521E-09,1.05694,0,1
-95,0.000211311,-0.000211433,-1.223E-09,1.24768,0,1
-94,0.000209945,-0.000209892,-1.048E-09,1.49015,0,1
-93,0.000208541,-0.000208541,-8.75E-10,1.72626,0,1
-92,0.000207092,-0.000207251,-8.05E-10,1.969,0,1
-91,0.000205481,-0.000205764,-6.86E-10,2.25271,0,1
-90,0.000204275,-0.000204351,-1.276E-09,2.50786,0,1
-89,0.000203158,-0.000203091,1.05E-10,2.69847,0,1
-88,0.000201926,-0.000202009,1.792E-09,2.94034,0,1
-87,0.000200745,-0.000200672,-1.09E-10,3.13113,0,1
-86,0.000199371,-0.000199393,-3.13E-10,3.30937,0,1
-85,0.00019818,-0.000198241,-3.28E-10,3.55197,0,1
-84,0.000197042,-0.000196937,-5.55E-10,3.7881,0,1
-83,0.000195825,-0.000195801,-2.66E-10,4.03095,0,1
-82,0.00019484,-0.000194747,1.85E-10,4.22164,0,1
-81,0.000193636,-0.000193636,1.418E-09,4.39995,0,1
