Setup title,VFET_cycle
Application test name,gate_scan_cycles
Test date,12/8/2017
Test time,17:04:11
Device ID,1
Count,2
Flags,!
Remarks,BEST_DEVICE_EVER
Name,Gate,Source,Drain,False,VgStart,VgStop,VgStep,Vd,IgLimit,IntegTime,curr_cycle,Vs,HoldTime,DelayTime,DrainMinRng
Value,"SMU1:HP	HPSMU","SMU3:HR	HRSMU","SMU4:HR	HRSMU","SMU2:HR	HRSMU",-100,100,1,1,0.01,MEDIUM,0,0,0,0,1nA
Name,Polarity,Lg,Wg,Temp,IdMax,test_cycles
Value,1,1E-06,1E-05,25,0.01,5
Vgate,Idrain,Isource,Igate,t,cycle,Vdrain
-100,1.52E-10,7.413E-09,-1.3602E-08,0.03331,0,1
-99,1.3E-10,2.929E-09,-3.698E-09,0.33248,0,1
-98,1.12E-10,2.003E-09,-1.389E-09,0.52007,0,1
-97,-9E-12,1.406E-09,-1.511E-09,0.84922,0,1
-96,8.5E-11,9.52E-10,-1.009E-09,1.17952,0,1
-95,9E-12,6.95E-10,-6.94E-10,1.50925,0,1
-94,1.37E-10,6.55E-10,-5.22E-10,1.83921,0,1
-93,9E-12,4.95E-10,-4.57E-10,2.16892,0,1
-92,8.3E-11,4.21E-10,-3.47E-10,2.49863,0,1
-91,7.1E-11,3.13E-10,-2.33E-10,2.82837,0,1
-90,1.17E-10,2.5E-10,-1.94E-10,3.14148,0,1
-89,6.7E-11,2.23E-10,-2.38E-10,3.38198,0,1
-88,-6.8E-11,1.66E-10,-2.27E-10,3.66588,0,1
-87,1.8E-11,2.43E-10,-1.56E-10,3.97757,0,1
-86,5.3E-11,7.9E-11,-2.17E-10,4.30742,0,1
-85,1.68E-10,9.7E-11,-1.91E-10,4.63718,0,1
-84,2.9E-11,8.5E-11,-1.2E-10,4.96684,0,1
-83,1.19E-10,2.47E-10,-1.28E-10,5.29682,0,1
-82,1.5E-11,3.1E-11,-9.7E-11,5.62659,0,1
-81,1.11E-10,1.4E-10,-7.8E-11,5.95716,0,1
