Setup title,"Gate Scan Cycles"
Application test name,gate_scan_cycles
Test date,2/12/2018
Test time,11:51:29
Device ID,ratiosample
Count,15
Flags,!
Remarks,
Name,Gate,Source,Drain,False,VgStart,VgStop,VgStep,Vd,IgLimit,IntegTime,curr_cycle,Vs,HoldTime,DelayTime,DrainMinRng
Value,"SMU1:HP	HPSMU","SMU3:HR	HRSMU","SMU4:HR	HRSMU","SMU2:HR	HRSMU",-100,100,1,0.5,0.01,MEDIUM,0,0,0,0,1nA
Name,Polarity,Lg,Wg,Temp,IdMax,test_cycles
Value,1,1E-06,1E-05,25,0.01,1
Vgate,Idrain,Isource,Igate,t,cycle,Vdrain
-125,0.00070111,-0.000507719,-6.50985E-10,0.08618,0,0.5
-120,0.00066111,-0.000507719,-6.50985E-10,0.08618,0,0.5
-115,0.00063111,-0.000507719,-6.50985E-10,0.08618,0,0.5
-110,0.00059111,-0.000507719,-6.50985E-10,0.08618,0,0.5
-105,0.00055111,-0.000507719,-6.50985E-10,0.08618,0,0.5
-100,0.000506111,-0.000507719,-6.50985E-10,0.08618,0,0.5
-99,0.000495021,-0.000495631,-1.89282E-10,0.37337,0,0.5
-98,0.000486239,-0.000486609,-1.15496E-10,0.64635,0,0.5
-97,0.000478401,-0.000478649,-7.5638E-11,0.9191,0,0.5
-96,0.000471065,-0.000471245,-6.624E-11,1.19258,0,0.5
-95,0.000464049,-0.000464173,-5.178E-11,1.46523,0,0.5
-94,0.000457196,-0.000457277,-3.5793E-11,1.73807,0,0.5
-93,0.000450504,-0.000450564,-2.4152E-11,2.01145,0,0.5
-92,0.000443911,-0.000443949,-1.3385E-11,2.2829,0,0.5
-91,0.000437371,-0.000437387,-1.0349E-11,2.55573,0,0.5
-90,0.000430919,-0.000430923,-1.3028E-11,2.82718,0,0.5
-89,0.000424543,-0.000424538,-2.732E-12,3.09879,0,0.5
-88,0.000418227,-0.000418205,-2.889E-12,3.36891,0,0.5
-87,0.000412026,-0.000411994,2.3042E-11,3.64173,0,0.5
-86,0.000405899,-0.000405867,1.2849E-11,3.91323,0,0.5
-85,0.000399913,-0.000399873,-8.38E-13,4.18326,0,0.5
-84,0.000394073,-0.000394024,2.419E-12,4.45613,0,0.5
-83,0.000388355,-0.000388309,3.4155E-11,4.72898,0,0.5
-82,0.000382835,-0.000382786,3.073E-12,4.99914,0,0.5
-81,0.000377497,-0.000377457,1.2399E-11,5.27054,0,0.5
-80,0.000372371,-0.000372318,1.1632E-11,5.54203,0,0.5
-79,0.000367462,-0.000367411,1.013E-11,5.81338,0,0.5
-78,0.000362702,-0.000362673,9.856E-12,6.08644,0,0.5
-77,0.000358202,-0.000358154,1.0949E-11,6.35794,0,0.5
-76,0.000353916,-0.000353867,1.858E-11,6.62801,0,0.5
-75,0.000349814,-0.000349768,1.1284E-11,6.89955,0,0.5
-74,0.000345786,-0.000345744,1.1746E-11,7.17098,0,0.5
-73,0.000341983,-0.000341939,1.5952E-11,7.44109,0,0.5
-72,0.000338326,-0.000338282,1.9064E-11,7.71111,0,0.5
-71,0.000334754,-0.000334711,1.3924E-11,7.98265,0,0.5
-70,0.000331236,-0.00033119,1.4459E-11,8.25545,0,0.5
-69,0.000327736,-0.000327694,2.4798E-11,8.52561,0,0.5
-68,0.000324212,-0.000324178,1.9225E-11,8.7971,0,0.5
-67,0.000320662,-0.00032062,2.4309E-11,9.07001,0,0.5
-66,0.000317055,-0.000317016,2.5618E-11,9.34159,0,0.5
-65,0.000313365,-0.000313318,1.2575E-11,9.61171,0,0.5
-64,0.000309549,-0.000309554,2.7868E-11,9.88321,0,0.5
-63,0.000305715,-0.000305674,2.6496E-11,10.15466,0,0.5
-62,0.000301807,-0.00030175,1.8289E-11,10.42756,0,0.5
-61,0.000297734,-0.000297679,2.6052E-11,10.70168,0,0.5
-60,0.000293569,-0.000293503,1.9991E-11,10.97509,0,0.5
-59,0.000289253,-0.00028919,2.136E-11,11.2452,0,0.5
-58,0.000284872,-0.000284786,2.5532E-11,11.51543,0,0.5
-57,0.000280324,-0.000280255,2.6725E-11,11.78691,0,0.5
-56,0.000275572,-0.0002755,2.5179E-11,12.05995,0,0.5
-55,0.000270649,-0.000270579,2.5539E-11,12.33291,0,0.5
-54,0.000265538,-0.000265461,2.1731E-11,12.60303,0,0.5
-53,0.000260213,-0.000260149,2.5333E-11,12.87467,0,0.5
-52,0.000254841,-0.000254767,2.3839E-11,13.1449,0,0.5
-51,0.000249288,-0.000249208,2.7E-11,13.41632,0,0.5
-50,0.000243648,-0.000243567,2.4734E-11,13.6892,0,0.5
-49,0.000237851,-0.000237759,2.7219E-11,13.96085,0,0.5
-48,0.000231909,-0.000231823,2.9143E-11,14.23235,0,0.5
-47,0.000225759,-0.000225704,2.7303E-11,14.50386,0,0.5
-46,0.000219508,-0.000219414,2.4789E-11,14.77681,0,0.5
-45,0.000213127,-0.000213032,3.0253E-11,15.04828,0,0.5
-44,0.000206591,-0.000206493,2.8636E-11,15.31979,0,0.5
-43,0.000199936,-0.000199843,2.9829E-11,15.58998,0,0.5
-42,0.000193189,-0.000193094,3.0532E-11,15.8615,0,0.5
-41,0.000186323,-0.000186227,2.907E-11,16.13435,0,0.5
-40,0.000179331,-0.000179237,2.9865E-11,16.40588,0,0.5
-39,0.000172229,-0.000172125,2.8621E-11,16.67881,0,0.5
-38,0.000165078,-0.000164951,3.2622E-11,16.95043,0,0.5
-37,0.000157841,-0.000157726,2.2937E-11,17.2219,0,0.5
-36,0.000150396,-0.000150297,2.373E-11,17.49477,0,0.5
-35,0.000142871,-0.00014277,2.7028E-11,17.76484,0,0.5
-34,0.000135284,-0.000135185,3.4798E-11,18.0377,0,0.5
-33,0.000127653,-0.000127553,3.087E-11,18.31054,0,0.5
-32,0.000119956,-0.000119862,3.3382E-11,18.582,0,0.5
-31,0.000112297,-0.000112203,2.9962E-11,18.85355,0,0.5
-30,0.000104692,-0.000104599,3.11E-11,19.1236,0,0.5
-29,9.71038E-05,-9.7035E-05,3.3743E-11,19.39507,0,0.5
-28,8.97704E-05,-8.97132E-05,3.216E-11,19.67964,0,0.5
-27,8.2669E-05,-8.2616E-05,3.2841E-11,19.95256,0,0.5
-26,7.5965E-05,-7.59147E-05,3.4287E-11,20.22408,0,0.5
-25,6.97265E-05,-6.96813E-05,2.9524E-11,20.49696,0,0.5
-24,6.41341E-05,-6.40946E-05,3.351E-11,20.76703,0,0.5
-23,5.93116E-05,-5.92782E-05,3.4254E-11,21.03983,0,0.5
-22,5.53675E-05,-5.53424E-05,2.9747E-11,21.31135,0,0.5
-21,5.24576E-05,-5.24398E-05,3.3282E-11,21.5844,0,0.5
-20,5.06439E-05,-5.06359E-05,3.1764E-11,21.85726,0,0.5
-19,5.00077E-05,-5.00075E-05,2.8579E-11,22.12745,0,0.5
-18,5.05788E-05,-5.05874E-05,3.4249E-11,22.39892,0,0.5
-17,5.2332E-05,-5.23512E-05,3.2361E-11,22.67046,0,0.5
-16,5.52102E-05,-5.5234E-05,3.236E-11,22.94337,0,0.5
-15,5.90597E-05,-5.90915E-05,3.5639E-11,23.21488,0,0.5
-14,6.37218E-05,-6.37587E-05,3.6093E-11,23.4865,0,0.5
-13,6.89926E-05,-6.90336E-05,3.4894E-11,23.75801,0,0.5
-12,7.46817E-05,-7.47259E-05,4.1124E-11,24.02949,0,0.5
-11,8.06662E-05,-8.07113E-05,3.1237E-11,24.301,0,0.5
-10,8.6773E-05,-8.68183E-05,3.469E-11,24.57379,0,0.5
-9,9.29419E-05,-9.29896E-05,4.0462E-11,24.84523,0,0.5
-8,9.91163E-05,-9.91632E-05,4.1692E-11,25.11822,0,0.5
-7,0.0001052823,-0.0001053306,4.6456E-11,25.38981,0,0.5
-6,0.0001113796,-0.0001114271,3.6547E-11,25.66135,0,0.5
-5,0.000117442,-0.000117482,3.4429E-11,25.95901,0,0.5
-4,0.000123415,-0.00012345,4.0169E-11,26.24314,0,0.5
-3,0.000129325,-0.000129351,3.6668E-11,26.51464,0,0.5
-2,0.00013518,-0.000135211,4.7446E-11,26.78602,0,0.5
-1,0.000140937,-0.000140964,4.7552E-11,27.05894,0,0.5
0,0.000146629,-0.000146658,5.3754E-11,27.3308,0,0.5
1,0.000152246,-0.000152277,4.2151E-11,27.60373,0,0.5
2,0.000157829,-0.00015786,4.0293E-11,27.8738,0,0.5
3,0.000163325,-0.000163354,4.2579E-11,28.14388,0,0.5
4,0.000168788,-0.000168812,4.4617E-11,28.41537,0,0.5
5,0.000174167,-0.000174198,5.0664E-11,28.68547,0,0.5
6,0.000179495,-0.000179523,4.7891E-11,28.95702,0,0.5
7,0.000184791,-0.000184816,5.6082E-11,29.22842,0,0.5
8,0.000190009,-0.000190038,5.7815E-11,29.49982,0,0.5
9,0.000195178,-0.000195204,5.4084E-11,29.77137,0,0.5
10,0.000200311,-0.000200346,5.1633E-11,30.04415,0,0.5
11,0.000205366,-0.000205412,6.1423E-11,30.31428,0,0.5
12,0.000210389,-0.000210426,5.8749E-11,30.58448,0,0.5
13,0.000215357,-0.000215399,5.2906E-11,30.85593,0,0.5
14,0.000220179,-0.000220283,5.1709E-11,31.12594,0,0.5
15,0.000225141,-0.000225128,8.0423E-11,31.3975,0,0.5
16,0.000229988,-0.000230028,5.7495E-11,31.66897,0,0.5
17,0.000234815,-0.000234818,6.4201E-11,31.94183,0,0.5
18,0.00023952,-0.00023957,6.6219E-11,32.21199,0,0.5
19,0.000244242,-0.000244295,6.228E-11,32.4849,0,0.5
20,0.000248888,-0.000248939,6.3466E-11,32.75797,0,0.5
21,0.000253489,-0.000253552,6.4638E-11,33.02958,0,0.5
