Setup title,VFET_cycle
Application test name,gate_scan_cycles
Test date,1/10/2018
Test time,10:46:47
Device ID,1
Count,8
Flags,
Remarks,
Name,Gate,Source,Drain,False,VgStart,VgStop,VgStep,Vd,IgLimit,IntegTime,curr_cycle,Vs,HoldTime,DelayTime,DrainMinRng
Value,"SMU1:HP	HPSMU","SMU4:HR	HRSMU","SMU3:HR	HRSMU","SMU2:HR	HRSMU",-100,100,1,1,0.01,MEDIUM,0,0,0,0,1nA
Name,Polarity,Lg,Wg,Temp,IdMax,test_cycles
Value,1,1E-06,1E-05,25,0.01,3
Vgate,Idrain,Isource,Igate,t,cycle,Vdrain
-100,0.000404201,-0.000405568,-1.1869E-08,0.03278,0,1
-99,0.000398052,-0.000398561,-4.028E-09,0.27042,0,1
-98,0.000393152,-0.000393481,-2.481E-09,0.51236,0,1
-97,0.000389337,-0.000389653,-2.045E-09,0.70312,0,1
-96,0.000385865,-0.000386015,-1.204E-09,0.88122,0,1
-95,0.000382525,-0.000382656,-1.363E-09,1.05982,0,1
-94,0.000379277,-0.000379398,-1.124E-09,1.2401,0,1
-93,0.000376116,-0.000376194,-9.56E-10,1.41962,0,1
-92,0.0003728,-0.00037287,-7E-10,1.66349,0,1
-91,0.00036957,-0.000369669,-7.22E-10,1.92014,0,1
-90,0.000366519,-0.000366593,-5.45E-10,2.11274,0,1
-89,0.000363567,-0.000363562,-6.07E-10,2.29036,0,1
-88,0.000360489,-0.000360448,-5.28E-10,2.53233,0,1
-87,0.000357582,-0.000357537,-4.38E-10,2.72245,0,1
-86,0.000354621,-0.000354597,-2.93E-10,2.90001,0,1
-85,0.000351536,-0.000351557,-4.14E-10,3.14189,0,1
-84,0.000348584,-0.000348571,-3.39E-10,3.33201,0,1
-83,0.000345659,-0.000345628,-2.41E-10,3.50956,0,1
-82,0.000342592,-0.000342607,-3.35E-10,3.75151,0,1
-81,0.000339637,-0.000339625,-2.82E-10,4.03456,0,1
-80,0.000336578,-0.000336565,-2.71E-10,4.28897,0,1
-79,0.000333605,-0.000333556,-7.4E-11,4.47894,0,1
-78,0.000330603,-0.000330576,-1.9E-10,4.72102,0,1
-77,0.000327485,-0.000327462,-1.83E-10,5.00407,0,1
-76,0.000324454,-0.000324426,-2.41E-10,5.25842,0,1
-75,0.000321394,-0.000321363,-1.8E-11,5.44856,0,1
